,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,205.544,98.177,108.743,110.274,99.317,77.227,89.304,85.979,81.831,73.784,67.281,61.641,50.651,35.817
total-depreciation-amortization-cash-flow,39.75,37.372,37.012,36.129,37.29,42.813,39.892,38.212,36.778,35.151,34.683,30.251,23.804,22.906
other-non-cash-items,23.969,40.004,21.531,33.201,28.002,11.742,14.45,26.776,18.592,29.089,14.732,28.906,29.254,9.286
total-non-cash-items,63.719,77.376,58.543,69.33,65.292,54.555,54.342,64.988,55.37,64.24,49.415,59.157,53.058,32.192
change-in-accounts-receivable,-5.57,1.072,-42.142,4.132,-45.785,-9.009,-24.421,26.896,-68.656,33.754,-6.659,-18.299,-12.527,-34.145
change-in-inventories,-0.351,0.421,0.559,-0.142,0.535,0.355,1.61,-0.94,-0.151,0.029,-0.898,-0.018,-0.078,0.52
change-in-accounts-payable,8.935,12.89,0.891,0.476,-26.304,39.86,4.954,-1.397,13.81,-8.109,5.585,-8.416,-13.017,32.431
change-in-assets-liabilities,-4.037,-1.337,-5.087,-12.914,5.945,-9.68,-0.041,-3.891,-1.017,-3.489,-1.865,-0.802,1.776,-2.161
total-change-in-assets-liabilities,17.875,-13.058,-31.893,-8.104,-54.33,19.065,-11.878,23.376,-51.189,22.808,-4.613,-21.214,-5.12,12.004
cash-flow-from-operating-activities,287.138,162.495,135.393,171.5,110.279,150.847,131.768,174.343,86.012,160.832,112.083,99.584,98.589,80.013
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
investing-activities-other,0.824,1.417,-0.09,0.432,0.294,0.235,0.468,-0.858,-0.592,0.573,8.28,-1.701,-1.025,-0.633
cash-flow-from-investing-activities,-105.225,-67.608,-39.862,-50.317,-43.527,-31.346,-40.684,-34.114,-35.7,-22.842,-28.627,-31.718,-27.732,-41.742
net-long-term-debt,-12.0,-7.55,17.5,-56.25,-39.456,,,,,-14.669,-18.713,72.603,-84.563,-56.592
net-current-debt,-1.531,6.7,-0.736,-1.177,9.714,-11.415,1.924,-0.826,-0.581,-5.309,7.344,-56.019,2.571,6.752
debt-issuance-retirement-net-total,-13.531,-0.85,16.764,-57.427,-29.742,-11.415,1.924,-0.826,-0.581,-19.978,-11.369,16.584,-81.992,-49.84
net-common-equity-issued-repurchased,-154.02,-81.771,-102.664,-59.633,-96.281,-81.137,-52.412,-139.85,-104.003,-3.68,-69.497,-101.623,-16.024,4.926
net-total-equity-issued-repurchased,-154.02,-81.771,-102.664,-59.633,-96.281,-81.137,-52.412,-139.85,-104.003,-3.68,-69.497,-101.623,-16.024,4.926
total-common-preferred-stock-dividends-paid,-18.662,-17.371,-16.439,-15.605,-14.255,-14.148,-13.026,-12.538,-11.881,-8.157,-5.543,-5.888,-6.322,-6.172
financial-activities-other,-1.99,0.916,7.391,12.077,3.24,2.086,3.88,1.149,3.654,2.613,1.593,-1.225,5.622,-1.5
cash-flow-from-financial-activities,-188.203,-99.076,-94.948,-120.588,-137.038,-104.614,-59.634,-152.065,-112.811,-29.202,-84.816,-92.152,-98.716,-52.586
net-cash-flow,-6.29,-4.189,0.583,0.595,-70.286,14.887,31.45,-11.836,-62.499,108.788,-1.36,-24.286,-27.859,-14.315
stock-based-compensation,18.016,14.259,9.631,12.629,7.851,7.823,8.49,10.971,11.923,13.024,7.303,10.819,1.211,5.873
common-stock-dividends-paid,-18.662,-17.371,-16.439,-15.605,-14.255,-14.148,-13.026,-12.538,-11.881,-8.157,-5.543,-5.888,-6.322,-6.172
