,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-15.717,38.802,8.731,4.954,-31.534,-51.969,-42.221,4.0978,-2.7749,6.6943,-142.9446,24.5795,16.6364,14.7524
total-depreciation-amortization-cash-flow,12.228,10.825,10.91,9.952,8.505,6.413,9.554,11.1976,12.7618,13.9304,11.1863,8.5112,7.166,7.5479
other-non-cash-items,31.872,-7.215,22.94,16.9,28.331,52.945,39.981,6.5496,18.9001,13.7607,178.0514,13.2588,14.6387,7.8552
total-non-cash-items,44.1,3.61,33.85,26.852,36.836,59.358,49.535,17.7472,31.6619,27.6911,189.2376,21.77,21.8047,15.4031
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-assets-liabilities,-3.111,2.663,-2.025,3.924,1.033,-0.308,1.212,1.4408,-4.0202,6.9507,2.5727,4.4768,6.4951,-8.8441
total-change-in-assets-liabilities,-7.386,3.096,-12.436,-13.571,-9.374,1.27,2.832,-3.5488,2.6346,38.0145,4.7924,-10.4697,-5.5234,0.6348
cash-flow-from-operating-activities,20.997,45.508,30.145,18.235,-4.072,8.659,10.146,18.2962,31.5216,72.3999,51.0854,35.8798,32.9177,30.7903
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
net-change-in-long-term-investments,,,,,,,2.652,,,,,,,
net-change-in-investments-total,,,,,,,2.652,,,,,,,
investing-activities-other,,,,-0.338,,,-0.258,-0.1979,-0.9813,-1.708,,,,-0.7853
cash-flow-from-investing-activities,-6.678,-91.38,-9.78,-24.07,-45.452,15.205,0.175,-4.196,-16.1986,-11.7128,-129.5606,-35.3281,-27.8475,-8.4125
net-long-term-debt,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,-16.124,55.5,1.5,4.5,47.916,-25.255,-8.679,-11.78,-9.4849,-70.7518,92.3222,17.1477,-3.9887,-19.1552
net-common-equity-issued-repurchased,-5.0,,,-0.543,-0.245,-0.3,-0.527,-2.4562,-0.2263,1.4429,-9.8538,-8.9827,-1.4715,-2.5098
net-total-equity-issued-repurchased,-5.0,,,-0.543,-0.245,-0.3,-0.527,-2.4562,-0.2263,1.4429,-9.8538,-8.9827,-1.4715,-2.5098
total-common-preferred-stock-dividends-paid,,,,-0.494,-0.119,,,,,,,,,
financial-activities-other,-2.643,-4.744,-3.664,-0.108,-1.093,-0.506,-1.377,,-1.4801,5.0922,-2.4836,0.2657,0.3901,-0.7129
cash-flow-from-financial-activities,-23.767,50.756,-2.164,3.355,46.459,-26.061,-10.583,-14.2362,-11.1913,-64.2167,79.9849,8.4307,-5.0702,-22.3778
net-cash-flow,-9.518,4.907,18.177,-2.542,-3.06,-2.408,-0.185,-0.3086,4.0958,-3.312,1.1063,9.0665,0.0,
stock-based-compensation,3.575,4.08,3.379,2.46,1.387,2.1,2.594,2.895,2.6569,1.9626,1.2301,0.2767,0.0468,0.1784
common-stock-dividends-paid,,,,-0.494,-0.119,,,,,,,,,
