,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31
net-income-loss,-126.757,-53.481,-66.745,-75.096,-73.673,-39.796,-38.444,-28.546,-29.251,-21.089,-23.827,-23.091
total-depreciation-amortization-cash-flow,0.962,0.551,0.3,0.209,0.317,0.302,0.32,0.435,0.472,0.451,0.434,0.375
other-non-cash-items,17.766,16.875,21.154,11.941,10.519,6.795,5.146,2.279,2.681,0.933,4.612,6.414
total-non-cash-items,18.728,17.426,21.454,12.15,10.836,7.097,5.466,2.714,3.153,1.384,5.046,6.789
change-in-accounts-receivable,-5.674,-5.107,-5.52,-6.125,-0.013,1.555,,,,,,
change-in-inventories,0.355,0.685,-0.656,0.096,-0.568,,,,,,,
change-in-accounts-payable,10.544,9.616,-0.421,4.352,5.459,-1.169,-0.002,0.339,1.462,0.207,-0.14,3.162
change-in-assets-liabilities,-0.933,-5.366,0.384,-0.586,-0.085,2.618,-1.571,-0.175,10.134,0.471,-0.752,-1.174
total-change-in-assets-liabilities,4.292,-0.172,-6.213,-2.263,4.793,3.004,-1.573,0.164,11.596,0.678,-0.892,1.988
cash-flow-from-operating-activities,-103.737,-36.227,-51.504,-65.209,-58.044,-29.695,-34.551,-25.668,-14.502,-19.027,-19.673,-14.314
net-change-in-property-plant-equipment,,,,,,,,,,,,
net-change-in-long-term-investments,25.718,-37.248,-16.209,-20.366,6.185,8.113,-0.265,18.15,20.731,-52.123,10.73,-5.557
net-change-in-investments-total,,,,,,,,,,,,
cash-flow-from-investing-activities,25.151,-37.598,-16.335,-20.606,6.157,7.909,-0.907,16.909,19.924,-52.402,10.566,-6.091
net-long-term-debt,110.571,,24.163,15.327,11.479,,0.298,8.891,-3.263,-4.12,15.868,-1.005
net-current-debt,-0.951,-0.431,,,,,,,,,,
debt-issuance-retirement-net-total,109.62,-0.431,24.163,15.327,11.479,,0.298,8.891,-3.263,-4.12,15.868,-1.005
net-common-equity-issued-repurchased,6.732,75.426,41.192,81.935,39.622,21.65,32.675,0.595,0.299,61.84,0.04,0.36
net-total-equity-issued-repurchased,,,,,,,,,,,,
financial-activities-other,-35.299,,3.343,-10.436,-0.244,,,,,-0.048,,0.239
cash-flow-from-financial-activities,81.053,74.995,68.698,86.826,50.857,21.65,32.973,9.486,-2.964,59.523,15.908,2.93
net-cash-flow,2.467,1.17,0.859,1.011,-1.03,-0.136,-2.485,0.727,2.458,-11.906,6.801,-17.475
stock-based-compensation,,,,,,,,,,,,
