,2019-04-30,2018-04-30,2017-04-30,2016-04-30,2015-04-30,2014-04-30,2013-04-30,2012-04-30,2011-04-30,2010-04-30,2009-04-30,2008-04-30,2007-04-30,2006-04-30,2005-04-30
net-income-loss,4650.0,3095.0,4024.0,3538.0,2675.0,3065.0,3467.0,3617.0,3096.0,3099.0,2070.0,2138.0,2802.0,2547.0,1804.0
total-depreciation-amortization-cash-flow,2659.0,2644.0,2917.0,2849.0,1382.0,858.0,923.0,918.0,975.0,939.0,853.0,782.0,583.0,544.0,463.0
other-non-cash-items,521.0,-955.0,-72.0,415.0,182.0,846.0,192.0,-83.0,682.0,-149.0,696.0,941.0,42.0,632.0,634.0
total-non-cash-items,3180.0,1689.0,2845.0,3264.0,1564.0,1704.0,1115.0,835.0,1657.0,790.0,1549.0,1723.0,625.0,1176.0,1097.0
change-in-accounts-receivable,-581.0,-275.0,-75.0,-435.0,-413.0,-70.0,1.0,-252.0,-342.0,-271.0,108.0,-461.0,-326.0,-217.0,-271.0
change-in-inventories,,,,,,,,,,,,,,,
change-in-assets-liabilities,-624.0,229.0,85.0,-403.0,643.0,444.0,-215.0,155.0,-532.0,130.0,-147.0,364.0,-115.0,-48.0,-164.0
total-change-in-assets-liabilities,-1080.0,-173.0,139.0,-1403.0,797.0,218.0,360.0,18.0,-1012.0,242.0,259.0,-372.0,-448.0,-1503.0,-77.0
cash-flow-from-operating-activities,7007.0,4684.0,6880.0,5218.0,4902.0,4959.0,4942.0,4470.0,3741.0,4131.0,3878.0,3489.0,2979.0,2220.0,2824.0
net-change-in-property-plant-equipment,-1134.0,-1068.0,-1254.0,-1046.0,-571.0,-396.0,-457.0,-484.0,-501.0,-573.0,-498.0,-513.0,-573.0,-407.0,-452.0
net-change-in-intangible-assets,,,,,,,,,,-62.0,-165.0,-93.0,-121.0,-837.0,-10.0
net-acquisitions-divestitures,-1827.0,5921.0,-1324.0,-1213.0,-14884.0,-385.0,-820.0,-170.0,-1332.0,-350.0,-1624.0,-4221.0,-8.0,-285.0,-108.0
net-change-in-short-term-investments,,,,,,,,,,,,,,,
net-change-in-investments-total,2151.0,1027.0,985.0,4518.0,-1692.0,-2784.0,-1810.0,-1987.0,275.0,-3687.0,-115.0,2124.0,-943.0,-1438.0,-1002.0
investing-activities-other,36.0,-22.0,22.0,-14.0,89.0,-29.0,-14.0,-21.0,-176.0,-87.0,-338.0,-87.0,-56.0,100.0,-31.0
cash-flow-from-investing-activities,-774.0,5858.0,-1571.0,2245.0,-17058.0,-3594.0,-3101.0,-2662.0,-1734.0,-4759.0,-2740.0,-2790.0,-1701.0,-2867.0,-1603.0
net-long-term-debt,-154.0,-7349.0,1277.0,-5132.0,18674.0,1429.0,766.0,1186.0,-1603.0,2980.0,950.0,288.0,-1880.0,5428.0,-2.0
net-current-debt,-713.0,-249.0,906.0,7.0,-1.0,2.0,-792.0,-585.0,1621.0,-444.0,-633.0,543.0,45.0,-18.0,90.0
debt-issuance-retirement-net-total,-867.0,-7598.0,2183.0,-5125.0,18673.0,1431.0,-26.0,601.0,18.0,2536.0,317.0,831.0,-1835.0,5410.0,88.0
net-common-equity-issued-repurchased,-1885.0,-1768.0,-3116.0,-2339.0,-1271.0,-1246.0,-980.0,-1344.0,-1055.0,-865.0,-343.0,-1141.0,-708.0,-3083.0,-177.0
net-total-equity-issued-repurchased,-1885.0,-1768.0,-3116.0,-2339.0,-1271.0,-1246.0,-980.0,-1344.0,-1055.0,-865.0,-343.0,-1141.0,-708.0,-3083.0,-177.0
total-common-preferred-stock-dividends-paid,-2693.0,-2494.0,-2376.0,-2139.0,-1337.0,-1116.0,-1055.0,-1021.0,-969.0,-907.0,-843.0,-565.0,-504.0,-465.0,-405.0
financial-activities-other,14.0,-94.0,26.0,60.0,-116.0,13.0,-40.0,-118.0,,,24.0,40.0,36.0,-558.0,
cash-flow-from-financial-activities,-5431.0,-11954.0,-3283.0,-9543.0,15949.0,-918.0,-2101.0,-1882.0,-2006.0,764.0,-845.0,-835.0,-3011.0,1304.0,-494.0
net-cash-flow,724.0,-1298.0,2091.0,-1967.0,3440.0,484.0,-253.0,-145.0,63.0,129.0,211.0,-196.0,-1738.0,762.0,638.0
stock-based-compensation,290.0,344.0,348.0,375.0,439.0,145.0,152.0,161.0,198.0,225.0,237.0,217.0,185.0,25.0,19.0
common-stock-dividends-paid,-2693.0,-2494.0,-2376.0,-2139.0,-1337.0,-1116.0,-1055.0,-1021.0,-969.0,-907.0,-843.0,-565.0,-504.0,-465.0,-405.0
