,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-08-31,2007-08-31,2006-08-31,2005-08-31
net-income-loss,97.902,61.23,56.091,43.634,42.836,-8.541,8.024,-157.693,47.33,10.374,54.815,45.121,37.151,33.084
total-depreciation-amortization-cash-flow,9.959,14.245,41.065,59.523,61.99,57.616,54.018,51.882,54.583,50.807,48.647,38.035,24.993,22.896
other-non-cash-items,33.79,45.824,-53.447,-51.103,-36.999,1.704,-0.551,187.385,26.103,18.818,5.756,-0.337,-5.995,7.841
total-non-cash-items,43.749,60.069,-12.382,8.42,24.991,59.32,53.467,239.267,80.686,69.625,54.403,37.698,18.998,30.737
change-in-accounts-receivable,,,,,,,,,,,,,,
change-in-accounts-payable,-0.095,-0.407,-3.376,5.248,-9.343,9.224,-0.995,1.466,-2.256,6.565,2.516,-1.143,5.599,-3.562
change-in-assets-liabilities,-10.192,-5.616,-2.006,-8.968,28.579,-1.794,16.621,9.636,-45.365,-13.039,14.051,49.762,41.179,2.551
total-change-in-assets-liabilities,-32.912,-16.023,1.892,12.45,-15.729,20.749,-20.793,-5.282,-55.129,32.869,-3.912,24.508,43.659,11.384
cash-flow-from-operating-activities,108.739,105.276,45.601,64.504,52.098,71.528,40.698,76.292,72.887,112.868,105.306,107.327,99.808,75.205
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,
net-change-in-long-term-investments,,,-1.298,-1.512,-7.05,-6.507,,,1.163,11.626,,-9.045,,7.04
net-change-in-investments-total,,,-1.298,-1.512,-7.05,-6.507,,,1.163,11.626,,-9.045,,7.04
investing-activities-other,1.416,,4.369,-1.121,-1.164,-1.21,-6.872,-6.889,-5.581,-5.456,-4.142,-493.084,,
cash-flow-from-investing-activities,-7.637,-5.91,-38.872,-37.363,-51.205,-49.893,-60.477,-79.702,-48.849,-62.426,-86.663,-531.636,-27.471,-10.241
net-long-term-debt,-120.111,-75.634,-11.449,-24.856,-14.389,-43.7741,19.195,22.131,-16.191,-51.903,47.093,298.81,-0.163,-48.226
net-current-debt,,,,,,,0.582,-0.709,-3.717,,,,,
debt-issuance-retirement-net-total,-120.111,-75.634,-11.449,-24.856,-14.389,-43.7741,19.777,21.422,-19.908,-51.903,47.093,298.81,-0.163,-48.226
net-common-equity-issued-repurchased,1.91,5.722,10.002,2.249,2.851,27.898,2.835,-18.865,-3.361,-0.009,-87.629,10.567,5.328,4.599
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-9.352,-4.4,-5.289,-2.788,11.361,-4.02,-2.055,0.433,-2.152,-1.516,9.48,7.795,13.823,-3.017
cash-flow-from-financial-activities,-127.553,-74.312,-6.736,-25.395,-0.177,-19.896,20.557,2.99,-25.421,-53.428,-31.056,317.172,18.988,-46.644
net-cash-flow,-26.507,26.838,1.369,-0.283,-0.472,0.825,0.895,-0.2,-1.292,-2.801,-12.413,-107.137,91.325,18.32
stock-based-compensation,,,,,,,,,,,,,,
