,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
net-income-loss,-368.009,-346.397,-349.137,-352.861,-160.031,-84.532,-73.983,-55.57,-37.83,-17.099
total-depreciation-amortization-cash-flow,8.124,4.137,107.111,92.923,4.221,0.25,0.353,0.185,0.083,0.006
other-non-cash-items,49.09,146.966,-16.531,-16.27,19.044,10.533,6.121,8.45,0.37,0.004
total-non-cash-items,57.214,151.103,90.58,76.653,23.265,10.783,6.474,8.635,0.453,0.01
change-in-accounts-receivable,-3.371,-6.061,-0.121,,,,,,,
change-in-inventories,-49.936,-27.508,,,,,,,,
change-in-accounts-payable,5.77,5.637,-1.544,8.105,-1.369,0.958,-0.758,1.656,0.866,0.534
change-in-assets-liabilities,-11.955,-44.234,-14.325,9.742,17.202,2.281,2.976,3.606,1.856,-1.611
total-change-in-assets-liabilities,-55.202,-65.61,-8.123,23.142,19.715,2.037,2.125,7.107,3.366,-0.866
cash-flow-from-operating-activities,-365.997,-260.904,-266.68,-253.066,-117.051,-71.712,-65.384,-39.828,-34.011,-17.955
net-change-in-property-plant-equipment,-9.242,-3.002,-0.701,-3.035,-2.286,-0.121,-1.058,-0.446,-0.77,-0.27
net-change-in-intangible-assets,-55.0,-1.1,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,
net-change-in-long-term-investments,-200.0,-50.0,200.0,-251.543,,,2.0,9.614,-12.051,
net-change-in-investments-total,,,,,,,,,,
cash-flow-from-investing-activities,-264.242,-54.102,199.299,-254.578,-2.286,-10.034,0.942,9.168,-12.821,-0.27
net-long-term-debt,,,,,,,,,,
debt-issuance-retirement-net-total,-0.245,,,,,,,,,
net-common-equity-issued-repurchased,97.857,562.075,5.176,304.48,1.163,260.842,70.291,130.444,0.029,0.037
net-total-equity-issued-repurchased,,,,,,,,,,
financial-activities-other,290.852,,,,278.313,,,27.902,,
cash-flow-from-financial-activities,388.464,562.075,5.176,304.48,279.476,260.842,70.291,158.346,0.029,75.536
net-cash-flow,-242.322,248.012,-62.57,-203.921,159.449,179.131,5.861,127.728,-46.803,57.311
stock-based-compensation,,,,,,,,,,
