,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-47.185,-21.214,-5.7964,-9.847,-8.2679,-18.0638,0.0,-9.2252,0.0,-6.1225,-3.35,0.0,-2.56,0.0,-3.15,0.0,-1.89,0.0,-2.8,-1.67,-1.73,-1.81
total-depreciation-amortization-cash-flow,0.216,0.707,0.0441,0.008,0.0934,0.1771,0.1,0.3497,0.15,0.2936,0.13,,0.11,,0.06,,1.82,,0.26,0.34,0.01,0.02
other-non-cash-items,13.382,3.517,3.7104,0.078,4.71,11.5556,,2.978,,2.1419,,,,,,,,,,,,
total-non-cash-items,,,,,,,,,,,,,,,,,,,,,,
change-in-accounts-payable,-0.78,-0.583,0.1013,1.25,-0.1417,-0.6691,,-0.1453,,0.0428,,,,,,,,,,,,
change-in-assets-liabilities,-0.999,0.709,-0.0607,-0.482,0.0855,0.1627,,0.8688,,-0.3707,,,,,,,,,,,,
total-change-in-assets-liabilities,2.22,1.055,0.1168,0.917,-0.2117,-1.0136,0.89,1.0294,0.5,-0.2156,1.71,,-0.02,,-0.04,,0.17,,-0.45,0.45,-0.05,0.09
cash-flow-from-operating-activities,-31.367,-15.935,-1.9251,-8.844,-3.6762,-7.3447,12.45,-4.8681,1.3,-3.9026,-1.2,,-2.29,,-3.07,,-1.57,,-2.2,-0.66,-0.92,-1.13
net-change-in-property-plant-equipment,-0.229,-0.237,-0.0025,-0.036,,-0.1226,-0.11,-0.0032,0.0,-0.0013,-0.001,,-0.004,,-0.002,,-0.001,,0.0,0.0,-0.001,0.0
net-change-in-intangible-assets,,,0.05,,0.0,-0.1369,,-0.6245,,-0.5278,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,1.05,,-2.0,-0.25,-0.75,1.24
investing-activities-other,-0.088,0.123,,,,,-0.42,,-0.25,,-0.25,,-0.22,,-0.25,,-0.46,,-0.35,-0.39,-0.28,-0.32
cash-flow-from-investing-activities,-0.317,-0.114,0.0475,-0.036,,-0.2596,-0.53,0.6469,-0.25,-0.529,-0.25,,-0.23,,-0.26,,0.58,,-2.35,-0.64,-1.03,0.92
net-long-term-debt,,2.5,1.1,,,,,,,,,,,,,,,,,,,
net-current-debt,,,,,,,0.0,-2.1871,0.0,-0.012,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
debt-issuance-retirement-net-total,,2.5,1.1,,,,0.0,-2.1871,0.0,-0.012,0.0,,0.0,,0.0,,0.0,,0.0,6.55,0.0,0.0
net-common-equity-issued-repurchased,55.738,17.006,,,1.1524,4.8276,,10.9173,,4.0447,,,,,,,,,,,,
net-total-equity-issued-repurchased,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
financial-activities-other,0.446,0.017,,,,,,,,,,,,,,,,,,-0.51,,
cash-flow-from-financial-activities,56.184,37.95,1.1,9.736,1.1524,4.8276,,8.7302,6.86,4.0326,0.09,,0.47,,0.14,,1.36,,0.0,6.03,2.01,0.0
net-cash-flow,24.5,21.901,-0.7776,0.856,-2.5238,-2.7767,11.92,4.509,7.91,-0.399,-1.36,,-2.05,,-3.18,,0.37,,-4.56,4.72,0.06,-0.21
stock-based-compensation,,,,,,,,,,,,,,,,,,,,,,
