,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31,2010-03-31,2009-03-31,2008-03-31,2007-03-31,2006-03-31,2005-03-31
net-income-loss,259.016,112.17,52.116,38.147,113.688,7.351,15.014,1.495,-11.755,-19.024,-31.597,-40.93,-27.881,-29.449,-2.342
total-depreciation-amortization-cash-flow,14.121,11.005,6.202,3.277,2.77,2.508,2.723,4.336,3.948,4.898,5.016,6.124,3.915,3.03,1.529
other-non-cash-items,48.062,88.298,51.465,50.971,-68.444,14.137,11.471,9.548,8.884,3.2,11.799,13.957,6.612,14.603,0.116
total-non-cash-items,62.183,99.303,57.667,54.248,-65.674,16.645,14.194,13.884,12.832,8.098,16.815,20.081,10.527,17.633,1.645
change-in-accounts-receivable,-22.023,-15.289,-11.55,-10.93,-7.97,-1.312,-2.586,-5.284,-1.923,2.21,-2.539,-2.797,-1.92,0.258,-2.563
change-in-inventories,-37.181,-15.686,-12.284,-11.473,-6.967,-0.622,-5.315,-6.229,-1.508,0.927,-1.598,-11.078,-4.095,-0.465,-1.491
change-in-accounts-payable,7.976,4.412,7.565,-2.645,3.372,-0.054,1.183,0.287,2.48,-1.387,-2.402,3.237,1.572,1.326,-0.238
change-in-assets-liabilities,-31.18,-0.086,-0.621,-0.572,0.83,-0.48,0.852,0.811,0.843,-0.485,1.068,0.282,0.359,0.531,-0.53
total-change-in-assets-liabilities,-69.002,-18.927,5.333,-15.6,-4.724,-0.53,-2.809,-11.745,0.497,3.564,-3.523,-8.025,-2.466,2.477,-4.467
cash-flow-from-operating-activities,252.197,192.546,115.116,76.795,43.29,23.466,26.399,3.634,1.574,-7.362,-18.305,-28.874,-19.82,-9.339,-5.164
net-change-in-property-plant-equipment,-44.004,-55.863,-50.415,-15.624,-5.188,-2.761,-2.836,-1.745,-1.804,-1.8,-3.751,-3.76,-2.373,-2.92,-0.697
net-change-in-intangible-assets,,,,,,,,,,,,-0.069,-0.047,-0.133,-0.036
net-acquisitions-divestitures,,,,,-15.697,,,,,-1.75,,,-0.009,-2.573,
net-change-in-short-term-investments,-29.716,-118.499,-73.019,-41.336,-26.128,-18.761,-7.429,-16.752,-1.004,5.979,-23.367,-31.936,17.524,12.995,2.649
net-change-in-long-term-investments,-42.735,-6.4,-2.899,-0.75,-2.85,-0.75,,1.017,,,,,,,
net-change-in-investments-total,-72.451,-124.899,-75.918,-42.086,-28.978,-19.511,-7.429,-15.735,-1.004,5.979,-23.367,-31.936,17.524,12.995,2.649
investing-activities-other,,,,,,,,,0.456,6.389,0.313,-5.14,,,
cash-flow-from-investing-activities,-116.455,-180.762,-126.333,-57.71,-49.863,-22.272,-10.265,-17.48,-2.352,8.818,-26.805,-40.905,15.095,7.369,1.916
net-long-term-debt,,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,,-0.517,-0.446,,,,,,,,,,,,
net-common-equity-issued-repurchased,16.001,11.697,12.38,10.906,11.722,10.057,-11.554,14.68,1.374,0.979,46.23,2.07,66.557,2.093,4.087
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,-71.776,-20.317,-8.067,-3.746,-2.199,-0.425,-0.257,,,,,,,,
cash-flow-from-financial-activities,-55.775,-9.137,3.867,7.16,9.523,9.632,-11.811,14.68,1.374,0.979,46.23,2.07,66.557,2.093,4.087
net-cash-flow,78.046,3.935,-9.191,25.83,1.485,11.465,3.461,0.159,1.043,3.003,-0.257,-67.604,61.814,0.214,0.783
stock-based-compensation,,,,,,,,,,,,,,,
