,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,11188.0,21355.0,7246.0,6986.0,9168.0,22072.0,14598.0,10049.0,8288.0,8643.0,8127.0,8186.0,19337.0,8085.0
total-depreciation-amortization-cash-flow,6384.0,6269.0,5757.0,5157.0,5537.0,6410.0,7655.0,9026.0,8399.0,4757.0,5090.0,5200.0,5293.0,5576.0
other-non-cash-items,-818.0,-12158.0,3091.0,1805.0,754.0,-7420.0,-3140.0,-1368.0,5129.0,-8800.0,113.0,767.0,-10052.0,1869.0
total-non-cash-items,5566.0,-5889.0,8848.0,6962.0,6291.0,-1010.0,4515.0,7658.0,13528.0,-4043.0,5203.0,5967.0,-4759.0,7445.0
change-in-accounts-receivable,-644.0,259.0,-134.0,21.0,148.0,940.0,367.0,140.0,-608.0,252.0,195.0,-320.0,-172.0,-803.0
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,82.0,-60.0,-270.0,900.0,511.0,-3939.0,-3172.0,1694.0,296.0,-851.0,-538.0,-707.0,611.0,734.0
total-change-in-assets-liabilities,-926.0,1334.0,98.0,741.0,1623.0,-3378.0,-2367.0,2533.0,-10362.0,11987.0,4908.0,-800.0,3016.0,-797.0
cash-flow-from-operating-activities,15827.0,16802.0,16192.0,14688.0,17084.0,17684.0,16746.0,20240.0,11454.0,16587.0,18238.0,13353.0,17594.0,14733.0
net-change-in-property-plant-equipment,-2042.0,-1956.0,-1823.0,-1397.0,-1199.0,-1206.0,-1327.0,-1660.0,-1513.0,-1205.0,-1701.0,-1880.0,-2050.0,-2106.0
net-change-in-intangible-assets,-154.0,-261.0,-176.0,-99.0,-384.0,-259.0,-92.0,-222.0,,,,,,
net-acquisitions-divestitures,,-1000.0,-18368.0,-16466.0,-195.0,-15.0,10800.0,-906.0,-273.0,-43123.0,-1184.0,-464.0,-2120.0,-1977.0
net-change-in-short-term-investments,1987.0,-2236.0,9239.0,17251.0,350.0,-5911.0,2743.0,6603.0,567.0,12808.0,716.0,4862.0,11174.0,-1261.0
net-change-in-long-term-investments,4447.0,42.0,3257.0,-2613.0,-4573.0,-3465.0,-6155.0,-2473.0,609.0,-384.0,-8348.0,-1463.0,-1692.0,622.0
net-change-in-investments-total,6434.0,-2194.0,12496.0,14638.0,-4223.0,-9376.0,-3412.0,4130.0,1176.0,12424.0,-7632.0,3399.0,9482.0,-639.0
investing-activities-other,288.0,671.0,80.0,344.0,347.0,312.0,185.0,501.0,118.0,632.0,-2318.0,-260.0,-211.0,-350.0
cash-flow-from-investing-activities,4525.0,-4740.0,-7791.0,-2980.0,-5654.0,-10544.0,6154.0,1843.0,-492.0,-31272.0,-12835.0,795.0,5101.0,-5072.0
net-long-term-debt,1408.0,-880.0,3287.0,-2990.0,2381.0,2472.0,-1513.0,-6986.0,-6.0,23056.0,-448.0,2509.0,995.0,-18.0
net-current-debt,-2343.0,-61.0,-681.0,4309.0,-1838.0,3564.0,-212.0,1444.0,-4146.0,-2936.0,2855.0,2391.0,-10929.0,-303.0
debt-issuance-retirement-net-total,-935.0,-941.0,2606.0,1319.0,543.0,6036.0,-1725.0,-5542.0,-4152.0,20120.0,2407.0,4900.0,-9934.0,-321.0
net-common-equity-issued-repurchased,-10939.0,-4138.0,-3981.0,-4897.0,-3998.0,-14540.0,-7660.0,-8847.0,-1000.0,,-500.0,-9535.0,-6247.0,-3346.0
net-total-equity-issued-repurchased,-10939.0,-4138.0,-3981.0,-4897.0,-3998.0,-14540.0,-7660.0,-8847.0,-1000.0,,-500.0,-9535.0,-6247.0,-3346.0
total-common-preferred-stock-dividends-paid,-7978.0,-7659.0,-7317.0,-6940.0,-6609.0,-6580.0,-6534.0,-6234.0,-6088.0,-5548.0,-8541.0,-7975.0,-6919.0,-5555.0
financial-activities-other,-588.0,-611.0,-536.0,109.0,-123.0,109.0,-80.0,16.0,66.0,-91.0,74.0,,,
cash-flow-from-financial-activities,-20441.0,-13350.0,-9228.0,-10409.0,-10187.0,-14975.0,-15999.0,-20607.0,-11174.0,14481.0,-6560.0,-12610.0,-23100.0,-9222.0
net-cash-flow,-205.0,-1235.0,-1041.0,298.0,1160.0,-7898.0,6899.0,1447.0,-243.0,-144.0,-1284.0,1579.0,-420.0,439.0
stock-based-compensation,949.0,840.0,691.0,669.0,586.0,523.0,481.0,419.0,405.0,349.0,384.0,437.0,655.0,157.0
common-stock-dividends-paid,-7978.0,-7659.0,-7317.0,-6940.0,-6609.0,-6580.0,-6534.0,-6234.0,-6088.0,-5548.0,-8541.0,-7975.0,-6919.0,-5555.0
