,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31,2010-03-31,2009-03-31,2008-03-31,2007-03-31,2006-03-31,2005-03-31
net-income-loss,-35.8,339.57,69.395,99.907,78.26,72.615,65.505,37.212,29.22,32.115,-186.776,33.919,36.078,26.277,10.22
total-depreciation-amortization-cash-flow,37.702,40.168,34.425,32.67,26.561,23.998,27.699,13.394,11.853,16.127,263.042,14.021,13.641,22.743,12.743
other-non-cash-items,195.698,-153.866,58.188,65.843,35.813,26.914,31.798,22.28,14.242,15.01,-17.516,11.235,10.317,15.359,35.207
total-non-cash-items,233.4,-113.698,92.613,98.513,62.374,50.912,59.497,35.674,26.095,31.137,245.526,25.256,23.958,38.102,47.95
change-in-accounts-receivable,-2.98,-5.043,-18.938,1.824,1.608,9.735,-12.882,-15.854,4.918,6.404,8.193,-9.052,4.875,-1.35,-7.227
change-in-inventories,-10.535,-2.482,-10.262,-3.005,15.36,-2.85,-9.342,3.71,12.443,-3.351,2.719,0.477,4.292,-7.156,2.922
change-in-accounts-payable,-3.993,-10.028,21.447,-11.348,-17.637,-4.641,24.677,5.127,1.784,-3.127,-2.265,-0.975,-0.186,-6.037,5.059
change-in-assets-liabilities,5.458,33.286,-7.996,-7.921,4.664,-2.13,3.096,-3.009,0.154,-3.559,0.458,-0.381,-1.235,2.623,-1.49
total-change-in-assets-liabilities,-8.316,-15.762,-13.336,-22.11,15.621,-11.945,12.603,-5.434,31.355,-3.825,7.929,-14.186,11.863,-10.518,-7.128
cash-flow-from-operating-activities,189.284,210.11,148.672,176.31,156.255,111.582,137.605,67.452,86.67,59.427,66.679,44.989,71.899,53.861,51.042
net-change-in-property-plant-equipment,-10.48,-12.532,-2.892,-3.224,3.899,-2.761,-10.253,-0.606,-0.643,-0.673,-0.481,-0.488,-0.54,-0.519,-0.365
net-change-in-intangible-assets,,,,,,,,,,,,-0.033,,-22.655,
net-acquisitions-divestitures,,,,,,,,,,,,,,,
investing-activities-other,,,1.419,7.237,,,,,,,,-0.016,0.75,,
cash-flow-from-investing-activities,55.432,-11.562,-694.595,-222.971,-805.258,-57.976,11.221,-662.206,-275.68,7.32,-4.672,-0.537,-31.051,-54.163,-425.844
net-long-term-debt,,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,-200.0,-209.0,569.5,58.9,656.1,-40.5,-157.0,633.1,162.099,-54.204,-32.888,-52.125,-35.28,3.27,168.974
net-common-equity-issued-repurchased,-47.047,1.62,4.028,7.233,4.011,5.907,6.029,0.889,0.331,,-0.016,-0.007,-0.01,-0.089,245.466
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,-2.281,-1.575,-12.571,-14.057,-16.846,-6.56,-1.146,-33.555,-1.183,-6.627,,,,-0.013,-37.697
cash-flow-from-financial-activities,-249.328,-208.955,560.957,52.076,643.265,-41.153,-152.117,600.434,161.247,-60.831,-32.904,-52.132,-35.29,3.168,376.743
net-cash-flow,-5.018,-9.307,14.625,5.912,-7.013,12.661,-3.345,5.681,-27.763,5.916,29.103,-7.68,5.558,2.866,1.941
stock-based-compensation,,,,,,,,,,,,,,,
