,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2005-02-28
net-income-loss,176.942,220.645,125.27,135.996,128.175,123.009,153.893,112.762,82.364,78.888,25.834,36.967,96.633,72.327,-100.251
total-depreciation-amortization-cash-flow,214.767,171.141,160.967,114.524,75.907,72.825,70.877,79.524,77.749,72.662,73.278,58.622,48.02,39.941,6.177
other-non-cash-items,18.19,-57.91,-26.947,-20.66,31.636,29.755,6.039,62.159,11.978,19.185,23.483,8.63,5.602,33.962,-55.417
total-non-cash-items,232.957,113.231,134.02,93.864,107.543,102.58,76.916,141.683,89.727,91.847,96.761,67.252,53.622,73.903,-49.24
change-in-accounts-receivable,,,,,,,,,,,,,,,
change-in-accounts-payable,-1.778,3.903,-15.492,2.345,5.997,-1.283,-6.117,20.629,-7.161,0.963,-1.351,-0.112,12.081,1.879,5.25
change-in-assets-liabilities,3.705,0.711,26.74,2.21,-1.832,-11.651,4.255,-3.055,-7.089,1.193,15.78,9.843,9.167,3.442,1.861
total-change-in-assets-liabilities,84.295,-95.745,87.313,-21.445,-65.076,-33.066,67.873,-37.317,-27.554,-5.096,-15.157,-18.206,77.396,-108.075,168.547
cash-flow-from-operating-activities,494.194,238.131,346.603,208.415,170.642,192.523,298.682,217.128,144.537,165.639,107.438,86.013,227.651,38.155,19.056
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,,,,,,,
net-change-in-long-term-investments,-13.482,-12.682,-0.944,30.749,-4.634,-34.893,-14.689,-15.699,,,,,,,
net-change-in-investments-total,-13.482,-12.682,-0.944,30.749,-4.634,-34.893,-14.689,-15.699,,,,,,,
investing-activities-other,,,,,,,,,,,0.281,4.335,2.01,0.578,0.108
cash-flow-from-investing-activities,-697.137,-192.965,-554.32,-1211.754,-101.091,-107.306,-72.406,-54.735,-216.998,-77.917,-60.438,-382.676,-81.481,-110.054,-110.757
net-long-term-debt,785.299,-13.981,363.63,589.679,101.619,665.676,214.491,-909.018,-1.089,-36.668,-6.67,-1.323,-0.721,480.839,-0.528
net-current-debt,-214.38,0.101,-69.254,246.869,15.246,-712.05,-146.898,850.067,42.569,-344.563,23.206,222.361,-97.942,680.005,
debt-issuance-retirement-net-total,570.919,-13.8799,294.376,836.548,116.865,-46.374,67.593,-58.951,41.48,-381.231,16.536,221.038,-98.663,1160.844,-0.528
net-common-equity-issued-repurchased,-5.115,-2.736,-1.257,-15.273,-133.34,-10.256,-45.085,-72.596,-43.903,315.932,-0.522,0.252,-0.041,-963.952,1.023
net-total-equity-issued-repurchased,-5.115,-2.736,-1.257,-15.273,-133.34,-10.256,-45.085,-72.596,-43.903,315.932,-0.522,0.252,-0.041,-963.952,1.023
total-common-preferred-stock-dividends-paid,,,,-13.129,-53.366,-41.961,-210.888,,,,,,,-175.0,
financial-activities-other,-310.232,-5.03,-0.808,206.274,-0.675,-22.451,-9.795,-23.168,-4.431,-3.003,-3.283,-1.698,-1.762,-70.496,-0.401
cash-flow-from-financial-activities,255.572,-21.646,292.311,1014.42,-70.516,-121.042,-198.175,-154.715,-6.854,-68.302,12.731,219.592,-100.466,-48.604,0.094
net-cash-flow,52.629,23.52,84.594,11.081,-0.965,-35.825,28.101,7.678,-79.315,19.42,59.731,-77.071,45.739,-119.859,-91.756
stock-based-compensation,23.326,19.284,17.413,14.985,11.186,7.033,5.677,3.725,2.236,5.147,2.093,3.746,3.782,10.312,
common-stock-dividends-paid,,,,-13.129,-53.366,-41.961,-210.888,,,,,,,,
