,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2015-04-30,2014-04-30,2013-04-30,2012-04-30,2011-04-30,2010-04-30,2009-04-30,2008-04-30,2007-04-30,2006-04-30,2005-04-30
net-income-loss,-189.399,-25.089,-62.789,0.0,57.848,54.89,46.3575,36.0777,46.7257,78.4489,26.7206,-10.3348,-51.1801,-59.0692,-18.6095
total-depreciation-amortization-cash-flow,83.31,114.719,129.663,,6.807,5.631,3.1444,3.2089,1.7988,1.079,1.8225,3.4624,4.5268,3.7705,10.3779
other-non-cash-items,-78.709,105.326,31.658,,21.354,4.705,36.9738,35.5769,5.7004,-35.9534,-1.3049,11.1371,19.4242,0.2989,-0.0343
total-non-cash-items,4.601,220.045,161.321,,28.161,10.336,40.1182,38.7858,7.4992,-34.8744,0.5176,14.5994,23.951,4.0694,10.3435
change-in-accounts-receivable,21.181,-48.934,-16.448,,-2.654,-10.656,-10.1846,-1.2472,-1.9528,-3.8253,-3.3122,-0.287,2.8094,-4.9959,0.7479
change-in-inventories,,,,,,,,,,,,,,,
change-in-assets-liabilities,287.576,-20.737,-20.281,,-2.112,-2.716,6.1586,0.7274,0.0365,-1.0887,-0.3557,10.664,1.9373,-1.8624,-0.3718
total-change-in-assets-liabilities,305.287,-103.617,-8.381,,-6.333,-11.03,-7.422,0.1626,-4.3528,-0.689,-2.6482,10.1906,6.5403,-15.8764,4.2963
cash-flow-from-operating-activities,120.489,91.339,90.151,,79.676,54.196,79.0538,75.0262,49.8721,42.8855,24.59,14.4552,-20.6889,-70.8762,-3.9697
net-change-in-property-plant-equipment,-23.777,-28.172,-37.217,,-6.687,-15.222,-9.7054,-17.4841,-3.5426,-4.1226,-2.6683,-0.8171,-1.4253,-4.2989,-3.7136
net-change-in-intangible-assets,,,,,,-3.839,-4.6,-0.5,-3.8444,-2.0,,,,,
net-acquisitions-divestitures,-93.009,-14.194,,,,,,,,,,,,,
net-change-in-short-term-investments,0.0,0.0,6.997,,-1.896,-9.995,-15.0,0.0,0.0,,,,,22.8,-7.8995
net-change-in-long-term-investments,,3.192,,,,,-6.5882,-4.0,,,,,,,
net-change-in-investments-total,,3.192,6.997,,-1.896,-9.995,-21.5882,-4.0,,,,,,22.8,-7.8995
investing-activities-other,-3.77,-13.681,-14.296,,-1.182,-5.356,-0.0996,,-4.0,-0.1,-0.25,,,-1.0,
cash-flow-from-investing-activities,-120.556,-52.855,-44.516,,-9.765,-34.412,-35.9932,-21.9841,-11.387,-6.2226,-2.9183,-0.8171,-1.4253,17.5011,-11.6132
net-long-term-debt,79.743,-20.707,-13.878,,,,,-7.044,-8.2413,-43.0463,-50.4024,-0.0586,-0.2467,120.508,-0.1411
net-current-debt,-50.745,32.396,-33.708,,,,,,,,,-7.5,5.0,-0.5,-7.031
debt-issuance-retirement-net-total,28.998,11.689,-47.586,,,,,-7.044,-8.2413,-43.0463,-50.4024,-7.5586,4.7533,120.008,-7.1721
net-common-equity-issued-repurchased,-57.433,0.89,-46.427,,-51.831,-62.622,-23.2665,-39.6719,1.0534,-0.6729,3.7754,0.1294,9.6847,25.6866,18.0238
net-total-equity-issued-repurchased,,,,,,,,,,,,,,,
financial-activities-other,-13.913,-1.285,-24.026,,3.575,25.355,4.4166,,,,,,-0.0036,-38.6998,0.0007
cash-flow-from-financial-activities,-42.348,11.294,-118.039,,-48.256,-37.267,-18.8499,-46.7159,-7.1878,-43.7192,-46.627,-7.4292,14.4344,106.9948,10.8517
net-cash-flow,-46.411,53.826,-72.824,,20.888,-17.41,24.0543,7.3404,30.0839,-6.9956,-24.8332,6.2538,-7.5502,53.6792,-4.7874
stock-based-compensation,,,,,,,,,,,,,,,
