,2018-12-31,2017-12-31,2016-12-31,2015-12-31
net-income-loss,-27.897,-25.98,-12.086,-5.889
total-depreciation-amortization-cash-flow,1.081,0.551,0.345,0.147
other-non-cash-items,4.396,12.058,0.948,0.692
total-non-cash-items,5.477,12.609,1.293,0.839
change-in-accounts-receivable,,,,
change-in-accounts-payable,-0.193,0.665,0.053,-0.028
change-in-assets-liabilities,0.001,-0.985,1.315,-1.771
total-change-in-assets-liabilities,2.168,0.586,1.556,-1.641
cash-flow-from-operating-activities,-20.252,-12.785,-9.237,-6.691
net-change-in-property-plant-equipment,,,,
investing-activities-other,0.05,,,
cash-flow-from-investing-activities,-1.797,-0.779,-10.424,-0.665
net-long-term-debt,,,,
debt-issuance-retirement-net-total,1.24,6.957,,
net-common-equity-issued-repurchased,60.098,61.557,,
net-total-equity-issued-repurchased,60.098,61.557,,
total-common-preferred-stock-dividends-paid,,,,-0.11
financial-activities-other,-0.665,-3.312,,31.85
cash-flow-from-financial-activities,60.673,65.202,0.0,31.74
net-cash-flow,38.624,51.638,-19.661,24.384
stock-based-compensation,4.385,12.092,0.948,0.692
common-stock-dividends-paid,,,,-0.11
