,2018-12-31,2017-12-31,2016-12-31
net-income-loss,-17.453,-23.039,-20.589
total-depreciation-amortization-cash-flow,0.981,1.298,1.337
other-non-cash-items,2.976,3.829,2.697
total-non-cash-items,3.957,5.127,4.034
change-in-accounts-receivable,-1.023,-1.313,-0.098
change-in-inventories,-0.759,-0.98,1.186
change-in-accounts-payable,0.251,0.811,-1.469
change-in-assets-liabilities,-0.752,0.072,0.215
total-change-in-assets-liabilities,-1.023,0.382,-0.198
cash-flow-from-operating-activities,-14.519,-17.53,-16.753
net-change-in-property-plant-equipment,,,
net-change-in-short-term-investments,,,
net-change-in-investments-total,,,
cash-flow-from-investing-activities,-97.825,-0.478,-0.441
net-long-term-debt,,38.881,4.0
net-current-debt,,0.084,0.113
debt-issuance-retirement-net-total,,38.965,4.113
net-common-equity-issued-repurchased,117.047,0.383,0.317
net-total-equity-issued-repurchased,,,
financial-activities-other,-1.897,-31.913,
cash-flow-from-financial-activities,115.15,12.862,24.755
net-cash-flow,2.712,-5.492,7.628
stock-based-compensation,,,
