,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,1125.0,670.9,738.3,588.8,418.8,671.0,656.6,495.1,381.8,232.6,204.3,144.537,72.044,94.134
total-depreciation-amortization-cash-flow,133.4,110.0,102.2,115.9,108.3,104.1,57.8,69.1,58.2,34.6,25.1,13.027,10.009,6.732
other-non-cash-items,294.9,290.5,264.2,194.0,123.8,126.9,165.3,133.3,88.8,87.0,58.6,46.153,45.968,-20.378
total-non-cash-items,428.3,400.5,366.4,309.9,232.1,231.0,223.1,202.4,147.0,121.6,83.7,59.18,55.977,-13.646
change-in-accounts-receivable,-161.3,-81.4,-34.2,-79.2,-13.7,68.9,-68.9,-51.1,-41.5,-35.3,-39.7,-35.687,-41.853,-17.385
change-in-inventories,-279.0,-115.5,-46.7,-10.7,-26.8,-70.0,-7.1,-25.3,-29.2,5.9,-31.1,-8.213,-9.02,-9.205
change-in-accounts-payable,16.7,14.0,15.9,-11.3,17.7,-8.9,8.4,10.3,8.1,7.0,-9.2,18.646,3.107,3.505
change-in-assets-liabilities,13.7,224.2,28.6,-12.8,15.6,21.3,-6.6,18.7,27.6,15.0,28.6,10.535,11.712,6.588
total-change-in-assets-liabilities,-383.7,72.5,-17.7,-92.5,14.2,-22.0,-65.5,-19.9,17.0,38.0,-9.8,1.97,-28.176,-9.701
cash-flow-from-operating-activities,1169.6,1143.9,1087.0,806.2,665.1,880.0,814.2,677.6,545.8,392.2,278.2,205.687,99.845,70.787
net-change-in-property-plant-equipment,-187.4,-190.7,-53.9,-81.0,-105.6,-104.6,-114.2,-82.9,-96.0,-53.4,-106.0,-24.007,-15.854,-31.044
net-change-in-intangible-assets,,,,,,,,,,,,,-2.2,
net-acquisitions-divestitures,-87.9,,,,-84.3,,-27.6,,,,,,,
net-change-in-short-term-investments,,,,233.1,1380.6,363.6,,1136.1,987.1,,,,,
net-change-in-long-term-investments,-774.2999,569.4001,-1225.5,-1001.6,-1344.6,,-703.9,-1532.2,-1385.4,-246.1,-198.5,-212.393,-95.299,-72.263
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,,,,,,,,,,,,,,
net-current-debt,,,,,,,,,,,,,,-0.608
debt-issuance-retirement-net-total,,,,,,,,,,,,,,-0.608
net-common-equity-issued-repurchased,236.6,-1858.5,538.4,177.4,-716.4,-948.6,25.0,-71.2,-57.5,-91.3,44.7,55.979,19.143,32.924
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-110.3,-54.6,-24.0,-18.3,24.0,38.0,94.2,58.8,65.2,25.1,53.3,62.868,23.04,
cash-flow-from-financial-activities,126.3,-1913.1,514.4,159.1,-692.4,-910.6,119.2,-12.4,7.7,-66.2,98.0,118.847,42.183,32.316
net-cash-flow,246.2,-388.4,322.0,114.3,-181.8,228.4,87.9,186.0,58.4,26.8,71.8,88.435,28.882,-0.263
stock-based-compensation,,,,,,,,,,,,,,
