,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,589.2,417.9,713.7,651.6,340.1,174.56,304.442,217.868,105.916,19.462,-49.327,12.353,73.965,65.016
total-depreciation-amortization-cash-flow,35.9,31.0,31.6,32.9,32.2,48.361,42.813,44.368,37.333,28.659,18.207,13.063,1.464,2.414
other-non-cash-items,28.9,103.7,15.7,-99.6,183.5,314.669,184.565,99.213,140.694,102.892,-27.114,29.324,-20.867,-17.223
total-non-cash-items,64.8,134.7,47.3,-66.7,215.7,363.03,227.378,143.581,178.027,131.551,-8.907,42.387,-19.403,-14.809
change-in-accounts-receivable,121.4,-82.7,-21.7,-30.5,-35.7,-10.027,-23.991,-16.158,-23.452,-21.956,-2.329,-4.03,-8.869,-0.454
change-in-inventories,9.3,-0.5,-24.5,-6.8,-21.0,-12.394,-5.933,-16.055,-6.798,-9.061,-2.63,-2.339,-1.006,-3.233
change-in-accounts-payable,-11.0,66.2,0.6,17.0,-6.8,7.507,-22.804,20.251,-2.734,-3.645,18.509,-1.072,-1.082,-2.122
change-in-assets-liabilities,4.7,-61.4,-71.8,-181.8,-137.0,-97.409,-155.464,-99.292,-65.039,-25.831,0.614,-1.029,0.76,-3.937
total-change-in-assets-liabilities,124.4,-78.4,-117.4,-202.1,-200.5,-112.323,-208.192,-111.254,-72.411,-51.29,17.805,-5.803,-5.305,-7.041
cash-flow-from-operating-activities,778.4,474.2,643.6,382.8,355.3,425.267,323.628,250.195,211.532,99.723,-40.429,48.937,49.257,43.166
net-change-in-property-plant-equipment,-184.4,-78.0,-38.0,-49.8,-47.4,-31.91,-111.905,-35.978,-18.64,-95.4,-124.415,-38.658,-15.634,-6.117
net-change-in-intangible-assets,,,,350.0,,0.0,,-3.547,0.0,-3.568,,,,
net-acquisitions-divestitures,-124.1,,-5.2,,,,,,,,,,,
net-change-in-short-term-investments,-461.1,-697.3,129.6,257.6,430.9,-232.298,-51.458,-81.808,-204.497,-61.551,-314.113,-243.936,-118.355,-64.625
net-change-in-long-term-investments,-51.0,-60.4,-38.1,-54.2,-45.0,-30.766,,,,,266.051,260.888,32.36,
net-change-in-investments-total,-512.1,-757.7,91.5,203.4,385.9,-263.064,-51.458,-81.808,-204.497,-61.551,-48.062,16.952,-85.995,-64.625
investing-activities-other,,0.1,,,,,,,13.901,-2.099,-8.766,,,
cash-flow-from-investing-activities,-820.6,-835.6,48.3,503.6,338.5,-294.974,-163.363,-121.333,-209.236,-162.618,-181.243,-21.706,-101.629,-70.742
net-long-term-debt,,,-8.8,-133.2,-177.8,-1.32,-0.999,-34.289,38.558,,,,242.008,-0.795
net-current-debt,,250.0,,,,,,,,,,,,
debt-issuance-retirement-net-total,,250.0,-8.8,-133.2,-177.8,-1.32,-0.999,-34.289,38.558,,,,242.008,-0.795
net-common-equity-issued-repurchased,19.5,-206.0,-488.0,-351.2,-429.6,-13.094,-171.195,-187.602,85.427,32.071,191.936,-8.715,-178.641,14.965
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
financial-activities-other,-13.2,-0.7,-0.9,37.4,30.8,9.299,3.054,3.812,22.771,4.406,21.09,29.604,10.761,
cash-flow-from-financial-activities,6.3,43.3,-497.7,-447.0,-576.6,-5.115,-169.14,-218.079,146.756,36.477,213.026,20.889,74.128,14.17
net-cash-flow,-35.9,-317.9,191.2,434.1,113.4,124.859,-8.646,-89.486,151.81,-29.1,-9.871,48.256,21.887,-13.406
stock-based-compensation,,,,,,,,,,,,,,
