,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31,2010-03-31,2009-03-31,2008-03-31,2007-03-31,2006-03-31,2005-03-31
net-income-loss,24.494,2.42,18.241,5.657,27.332,15.68,42.724,75.657,61.606,48.379,46.119,40.078,33.232,23.322,16.109
total-depreciation-amortization-cash-flow,43.842,45.763,41.51,62.235,29.267,54.708,41.555,17.95,14.65,11.373,9.108,6.518,5.181,3.828,2.964
other-non-cash-items,22.81,19.07,20.637,18.778,-5.721,0.083,1.269,-3.018,2.593,4.779,8.612,4.091,3.963,5.143,3.966
total-non-cash-items,66.652,64.833,62.147,81.013,23.546,54.791,42.824,14.932,17.243,16.152,17.72,10.609,9.144,8.971,6.93
change-in-accounts-receivable,-6.178,-5.409,5.535,9.929,4.744,37.461,-7.988,-10.389,-36.094,-18.944,-11.369,-13.811,-20.76,-12.484,-13.879
change-in-inventories,0.07,-0.073,-0.021,0.017,0.187,-0.081,0.339,-1.024,1.052,-0.238,-0.088,0.099,-0.649,0.22,-0.395
change-in-accounts-payable,1.07,-1.232,-6.59,-0.271,1.281,-4.17,6.223,-2.184,3.344,-1.81,-0.299,-0.561,2.312,0.65,0.629
change-in-assets-liabilities,-36.69,19.806,-9.101,-9.164,-0.608,5.559,-19.812,1.503,13.863,10.216,3.467,4.134,3.75,9.125,9.019
total-change-in-assets-liabilities,-40.671,6.79,29.8,-45.874,31.88,33.58,-17.483,-12.484,-8.532,-9.311,-15.127,-7.088,-12.806,-1.615,-4.088
cash-flow-from-operating-activities,50.475,74.043,110.188,40.796,82.758,104.051,68.065,78.105,70.317,55.22,48.712,43.599,29.57,30.678,21.631
net-change-in-property-plant-equipment,,,,,,,,,,,,,,,
net-acquisitions-divestitures,,-62.867,,-163.843,-2.345,-35.033,-7.106,-11.494,,1.486,-25.191,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,,
net-change-in-investments-total,,,9.291,2.158,-1.046,0.089,-7.124,,6.58,0.425,14.825,-22.82,,,
investing-activities-other,,,-0.282,,,,,,,-3.0,,0.755,,,
cash-flow-from-investing-activities,,,,,,,,,,,,,,,
net-current-debt,-26.0,22.0,-90.0,105.0,,,,,,,,,,,
debt-issuance-retirement-net-total,-26.0,22.0,-90.0,105.0,,,,,,,,,,,
net-common-equity-issued-repurchased,7.533,4.889,1.31,0.992,0.383,2.2,0.948,12.789,5.717,5.855,12.519,4.76,6.062,4.481,2.152
net-total-equity-issued-repurchased,7.533,4.889,1.31,0.992,0.383,2.2,0.948,12.789,5.717,5.855,12.519,4.76,6.062,4.481,2.152
total-common-preferred-stock-dividends-paid,,,,-42.85,-42.77,-42.203,-41.535,-40.989,-34.716,-34.275,-30.763,-20.455,-27.074,-23.384,-19.646
financial-activities-other,-3.181,-20.77,,-5.382,,-3.24,-2.269,2.826,1.271,1.576,0.113,1.311,2.527,,
cash-flow-from-financial-activities,-21.648,6.119,-88.69,57.76,-42.387,-43.243,-42.856,-25.374,-27.728,-26.844,-18.131,-14.384,-18.485,-18.903,-17.494
net-cash-flow,3.304,-11.371,10.093,-91.817,15.848,-2.854,-28.445,17.827,32.006,14.431,11.134,-0.982,2.803,6.068,-0.238
stock-based-compensation,16.102,12.297,7.598,3.295,3.472,2.49,2.327,3.321,3.748,2.073,1.977,3.757,3.923,0.428,0.431
common-stock-dividends-paid,,,,-42.85,-42.77,-42.203,-41.535,-40.989,-34.716,-34.275,-30.763,-20.455,-27.074,-23.384,-19.646
