,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-379.3,1813.4,304.6,146.2,719.2,778.6,752.9,760.0,596.9,717.4,848.6,773.2,834.5,732.5
total-depreciation-amortization-cash-flow,2020.2,1394.2,1070.4,712.4,375.8,358.5,459.1,359.9,544.2,410.4,275.1,230.0,197.4,185.7
other-non-cash-items,78.9,-1689.5,280.7,281.8,-46.8,-39.9,3.3,60.1,-6.2,39.1,84.6,154.8,126.3,93.1
total-non-cash-items,2099.1,-295.3001,1351.1,994.2001,329.0,318.6,462.4,420.0,538.0,449.5,359.7,384.8,323.7,278.8
change-in-accounts-receivable,213.6,161.7,-141.6,-56.1,-40.4,-74.3,-45.5,-63.2,-33.0,-4.6,-44.4,-12.5,-76.9,-35.3
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,8.4,5.7,18.5,-21.8,114.4,-49.7,-57.4,18.3,58.9,44.6,-19.7,-71.1,3.6,-9.7
total-change-in-assets-liabilities,27.6,64.2,-23.5,-290.6,12.3,-134.1,-63.4,-3.1,58.6,-49.4,-170.2,-73.6,-117.5,-133.1
cash-flow-from-operating-activities,1747.4,1582.3,1632.2,849.8,1060.5,963.1,1151.9,1176.9,1193.5,1117.5,1038.1,1084.4,1040.7,878.2
net-change-in-property-plant-equipment,-439.0,-493.0,-530.2,-364.2,-342.3,-292.9,-263.6,-269.2,-271.7,-228.8,-487.9,-331.2,-252.1,-255.3
net-change-in-intangible-assets,,,,,-54.3,-74.2,,,-8.5,-35.8,-109.4,,,
net-acquisitions-divestitures,-15.3,-4.0,-1443.0,-7760.1,,,-59.0,-56.8,-82.6,-39.5,-381.8,,-34.9,-55.8
net-change-in-short-term-investments,0.0,0.0,-1.5,-214.8,-1350.9,98.1,-251.6,-267.3,-345.8,-66.4,,,,
net-change-in-long-term-investments,,,286.2,802.9,1282.2,,,,,,54.9,,,
net-change-in-investments-total,,,284.7,588.1,-68.7001,98.1,-251.6,-267.3,-345.8,-66.4,54.9,,,
investing-activities-other,37.7,-13.8,-3.0,-21.7,-4.1,-13.5,-17.9,-31.1,-18.3,-10.7,,-160.3,,
cash-flow-from-investing-activities,-416.6,-510.8,-1691.5,-7557.9,-469.4,-282.5,-592.1,-624.4,-726.9,-381.2,-924.2,-491.5,-287.0,-311.1
net-long-term-debt,-1154.4,-1248.2,-259.6001,7366.3,-247.7,-97.5,97.2,0.5,-2.2,-330.0,330.0,,18.8,-555.3
net-current-debt,,,,,,,,549.3,,998.8,,,,
debt-issuance-retirement-net-total,-1154.4,-1248.2,-259.6001,7366.3,-247.7,-97.5,97.2,549.8,-2.2,668.8,330.0,,18.8,-555.3
net-common-equity-issued-repurchased,107.9,145.5,-278.9,-44.8,-116.2,-246.0,-438.7,-1006.6,-488.7,-922.8,-680.0,-426.5,-757.5,72.6
net-total-equity-issued-repurchased,107.9,145.5,-278.9,-44.8,-116.2,-246.0,-438.7,-1006.6,-488.7,-922.8,-680.0,-426.5,-757.5,72.6
total-common-preferred-stock-dividends-paid,-195.2,-193.6,-188.4,-157.1,-145.5,-132.4,-94.4,,,,,,,
financial-activities-other,-60.5,85.8,-16.3,-57.7,-60.7,8.6,-0.6,1.0,1.3,-8.1,6.5,27.0,8.0,-1.9
cash-flow-from-financial-activities,-1302.2,-1210.5,-743.2,7106.7,-570.1,-467.3,-436.5,-455.8,-489.6,-262.1,-343.5,-399.5,-730.7,-484.6
net-cash-flow,18.4,-109.7,-825.2,376.0,2.7,196.3,116.0,99.4,-22.8,479.1,-251.3,198.2,32.5,78.6
stock-based-compensation,65.5,53.7,57.3,46.4,49.4,48.5,,60.5,62.0,75.3,69.9,70.1,76.0,
common-stock-dividends-paid,-195.2,-193.6,-188.4,-157.1,-145.5,-132.4,-94.4,,,,,,,
