,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31
net-income-loss,-80.33,62.971,-103.023,-32.231,-68.375,-83.479,-53.552,-19.7699,-53.2417,-58.3605,-48.6542,-23.8962,-14.752,-13.2754
total-depreciation-amortization-cash-flow,-0.702,1.858,15.594,1.677,3.219,2.343,1.079,1.0958,1.5079,1.4437,1.0479,0.5765,0.244,0.2063
other-non-cash-items,37.237,32.461,29.041,22.968,17.532,9.694,8.365,5.5683,4.8799,4.5287,3.7006,2.5835,1.2882,0.1852
total-non-cash-items,36.535,34.319,44.635,24.645,20.751,12.037,9.444,6.6642,6.3878,5.9725,4.7484,3.16,1.5322,0.3916
change-in-accounts-receivable,11.613,-6.453,16.73,-23.261,-0.052,6.606,-13.441,0.0658,1.9156,3.0205,-6.4846,-0.4163,0.0138,-0.3774
change-in-inventories,,,,,,,,,,,,,,
change-in-assets-liabilities,-5.534,18.11,-3.347,-17.019,1.21,11.108,-1.364,-21.5985,-4.8505,11.9378,9.966,18.7364,19.4698,0.0223
total-change-in-assets-liabilities,-5.705,36.763,8.005,-29.497,0.106,22.103,-20.171,-21.1947,1.4684,12.2398,8.5319,20.5885,20.2994,-0.1124
cash-flow-from-operating-activities,-49.5,134.053,-50.383,-37.083,-47.518,-49.339,-64.279,-34.3004,-45.3855,-40.1483,-35.3739,-0.1477,7.0796,-12.9962
net-change-in-property-plant-equipment,,,,,,,,,,,,,,
net-change-in-short-term-investments,,,,,,,,,,,,,,
net-change-in-investments-total,,,,,,,,,,,,,,
cash-flow-from-investing-activities,2.493,-163.732,-76.766,5.888,-32.951,-47.869,-1.413,-0.8285,-0.6465,-1.461,-1.1597,-2.3653,-0.3648,-0.3509
net-long-term-debt,-77.516,-15.995,148.756,,,19.985,,,,,,,,
net-current-debt,,,,,,,29.661,,,,,,,
debt-issuance-retirement-net-total,-77.516,-15.995,148.756,,,19.985,29.661,,,,,,,
net-common-equity-issued-repurchased,13.719,147.65,1.865,13.098,114.501,5.079,83.157,4.7486,61.8234,45.3579,2.5704,56.0027,18.3425,16.4716
net-total-equity-issued-repurchased,,,,,,,,,,,,,,
cash-flow-from-financial-activities,-63.797,131.655,150.621,13.098,114.501,25.064,112.818,4.7486,61.8234,45.3579,2.5704,56.0027,18.3425,16.4716
net-cash-flow,-110.804,101.976,23.472,-18.097,34.032,-72.144,47.126,-30.3803,15.7913,3.7486,-33.9632,53.4897,25.0572,3.1245
stock-based-compensation,,,,,,,,,,,,,,
