,2018-12-31,2017-12-31,2016-12-31,2015-12-31
net-income-loss,86.5,-310.7,-47.9,-210.8
total-depreciation-amortization-cash-flow,296.0,318.4,254.4,236.9
other-non-cash-items,134.0,112.6,118.8,-3.8
total-non-cash-items,430.0,431.0,373.2,233.1
change-in-accounts-receivable,-122.0,48.4,-80.7,-94.6
change-in-inventories,-20.1,-39.0,-89.1,14.9
change-in-accounts-payable,116.1,-8.4,37.1,116.4
change-in-assets-liabilities,-3.2,52.5,-36.7,-52.4
total-change-in-assets-liabilities,-29.2,53.5,-169.4,-15.7
cash-flow-from-operating-activities,487.3,173.8,155.9,6.6
net-change-in-property-plant-equipment,-125.1,-61.0,-102.9,-79.8
net-change-in-intangible-assets,,,,410.0
net-acquisitions-divestitures,,,,
investing-activities-other,-1.9,-21.5,-34.2,-42.5
cash-flow-from-investing-activities,-127.0,-964.6,-182.1,-4995.4
net-long-term-debt,,,,
debt-issuance-retirement-net-total,2338.1,848.3,-149.6,5353.2
net-common-equity-issued-repurchased,1659.7,,,
net-total-equity-issued-repurchased,,,,
financial-activities-other,-4033.0,-0.8,,
cash-flow-from-financial-activities,-35.2,847.5,-149.6,5353.2
net-cash-flow,354.1,64.6,-201.8,344.6
stock-based-compensation,,,,
