,2019-10-31,2018-10-31,2017-10-31,2016-10-31,2015-10-31,2014-10-31,2013-10-31,2012-10-31,2011-10-31,2010-10-31,2009-10-31,2008-10-31,2007-10-31,2006-10-31,2005-10-31
net-income-loss,1071.0,316.0,684.0,462.0,401.0,549.0,734.0,1153.0,1012.0,684.0,-31.0,693.0,638.0,3307.0,327.0
total-depreciation-amortization-cash-flow,238.0,210.0,212.0,246.0,253.0,362.0,372.0,301.0,253.0,202.0,162.0,201.0,191.0,170.0,180.0
other-non-cash-items,106.0,90.0,193.0,125.0,173.0,5.0,135.0,-50.0,154.0,-116.0,172.0,41.0,20.0,-2558.0,128.0
total-non-cash-items,344.0,300.0,405.0,371.0,426.0,367.0,507.0,251.0,407.0,86.0,334.0,242.0,211.0,-2388.0,308.0
change-in-accounts-receivable,-106.0,-65.0,-81.0,-33.0,-24.0,-119.0,14.0,19.0,11.0,-166.0,193.0,-44.0,22.0,8.0,47.0
change-in-inventories,-36.0,-83.0,-61.0,-7.0,-24.0,-99.0,-100.0,-52.0,-208.0,-51.0,47.0,-14.0,-21.0,-55.0,12.0
change-in-accounts-payable,30.0,40.0,2.0,-15.0,-26.0,50.0,-27.0,-31.0,-35.0,113.0,-7.0,-21.0,-13.0,56.0,19.0
change-in-assets-liabilities,-305.0,548.0,-98.0,0.0,-249.0,-26.0,8.0,-58.0,49.0,35.0,-42.0,-90.0,-13.0,-121.0,47.0
total-change-in-assets-liabilities,-394.0,471.0,-200.0,-40.0,-315.0,-185.0,-89.0,-176.0,-159.0,-52.0,105.0,-179.0,120.0,-285.0,264.0
cash-flow-from-operating-activities,1021.0,1087.0,889.0,793.0,512.0,731.0,1152.0,1228.0,1260.0,718.0,408.0,756.0,969.0,634.0,899.0
net-change-in-property-plant-equipment,-155.0,-176.0,-176.0,-139.0,-86.0,-191.0,-193.0,-194.0,-170.0,-114.0,-127.0,-140.0,-142.0,22.0,-66.0
net-change-in-intangible-assets,-1.0,,,,,,,,,,,-256.0,,,
net-acquisitions-divestitures,-1408.0,-516.0,-126.0,-261.0,-71.0,-11.0,-21.0,-2257.0,-97.0,-1108.0,43.0,-172.0,-330.0,3434.0,-42.0
net-change-in-short-term-investments,,,,,,,,,,,,,,,-25.0
net-change-in-long-term-investments,-26.0,-13.0,-2.0,-83.0,-3.0,-24.0,-34.0,85.0,16.0,38.0,64.0,136.0,13.0,-84.0,-10.0
net-change-in-investments-total,-26.0,-13.0,-2.0,-83.0,-3.0,-24.0,-34.0,85.0,16.0,38.0,64.0,136.0,13.0,-84.0,-35.0
investing-activities-other,,1.0,-1.0,245.0,-240.0,-4.0,,,1545.0,10.0,6.0,33.0,3.0,-1576.0,-57.0
cash-flow-from-investing-activities,-1590.0,-704.0,-305.0,-238.0,-400.0,-230.0,-248.0,-2366.0,1294.0,-1174.0,-14.0,-399.0,-456.0,1796.0,-200.0
net-long-term-debt,-15.0,-210.0,110.0,262.0,,99.0,347.0,148.0,-1500.0,718.0,748.0,16.0,594.0,1500.0,-688.0
net-current-debt,615.0,,,,,,,,,,,,,,
debt-issuance-retirement-net-total,600.0,-210.0,110.0,262.0,,99.0,347.0,148.0,-1500.0,718.0,748.0,16.0,594.0,1500.0,-688.0
net-common-equity-issued-repurchased,-669.0,-366.0,-128.0,-372.0,-209.0,-12.0,-739.0,-72.0,-193.0,-112.0,-86.0,-790.0,-1569.0,-3688.0,-92.0
net-total-equity-issued-repurchased,-669.0,-366.0,-128.0,-372.0,-209.0,-12.0,-739.0,-72.0,-193.0,-112.0,-86.0,-790.0,-1569.0,-3688.0,-92.0
total-common-preferred-stock-dividends-paid,-206.0,-191.0,-170.0,-150.0,-133.0,-176.0,-156.0,-104.0,,,,,,-16.0,
financial-activities-other,-24.0,-30.0,-14.0,-8.0,-747.0,-28.0,-6.0,-9.0,,-5.0,-5.0,,-5.0,-204.0,
cash-flow-from-financial-activities,-299.0,-797.0,-202.0,-268.0,-1089.0,-117.0,-554.0,-37.0,-1693.0,601.0,657.0,-774.0,-980.0,-2408.0,-780.0
net-cash-flow,-866.0,-431.0,389.0,286.0,-215.0,353.0,324.0,-1176.0,878.0,170.0,1074.0,-421.0,-436.0,36.0,-89.0
stock-based-compensation,72.0,70.0,60.0,58.0,54.0,96.0,85.0,74.0,72.0,66.0,71.0,82.0,139.0,94.0,8.0
common-stock-dividends-paid,-206.0,-191.0,-170.0,-150.0,-133.0,-176.0,-156.0,-104.0,,,,,,-16.0,
