,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30
net-income-loss,284.079,257.57,449.477,235.161,234.785,332.617,375.086,326.668,312.26
total-depreciation-amortization-cash-flow,140.164,123.065,104.0,84.156,54.322,39.823,29.22,25.398,22.878
other-non-cash-items,85.901,89.039,-125.075,47.919,41.75,-19.837,-8.71,-14.975,-6.752
total-non-cash-items,226.065,212.104,-21.075,132.075,96.072,19.986,20.51,10.423,16.126
change-in-accounts-receivable,-6.699,-13.59,2.726,-37.25,-18.964,-18.924,-14.005,-11.983,-8.805
change-in-inventories,,,,,,,,,
change-in-assets-liabilities,-39.831,34.305,-1.174,-12.766,3.566,-3.472,-0.069,10.039,1.488
total-change-in-assets-liabilities,-4.805,38.032,-36.155,4.234,33.201,15.519,-17.327,-22.439,26.59
cash-flow-from-operating-activities,505.339,507.706,392.247,371.47,364.058,368.122,378.269,314.652,354.976
net-change-in-property-plant-equipment,,,,,,,,,
net-acquisitions-divestitures,,,,,,,,,
net-change-in-long-term-investments,-11.5,,-17.647,363.911,-14.514,-314.444,45.754,-99.377,34.27
net-change-in-investments-total,-11.5,,-17.647,363.911,-14.514,-314.444,45.754,-99.377,34.27
investing-activities-other,3.538,-0.255,6.575,22.066,9.382,15.65,11.503,11.139,12.456
cash-flow-from-investing-activities,-129.47,-92.68,-465.053,-159.636,-231.873,-397.103,14.83,-126.197,-27.574
net-long-term-debt,-93.651,-128.002,200.555,-12.948,-26.61,-3.297,-2.157,-3.409,-12.826
net-current-debt,,,,,,,-10.0,,
debt-issuance-retirement-net-total,-93.651,-128.002,200.555,-12.948,-26.61,-3.297,-12.157,-3.409,-12.826
net-common-equity-issued-repurchased,-227.59,-189.491,-111.68,5.869,1.508,278.114,0.525,0.15,0.7
net-total-equity-issued-repurchased,-227.59,-189.491,-111.68,5.869,1.508,278.114,0.525,0.15,0.7
total-common-preferred-stock-dividends-paid,-57.825,-79.255,-90.434,-92.707,-92.212,-319.687,-329.047,-290.983,-280.606
financial-activities-other,-8.134,-22.627,-17.717,-9.753,-0.135,7.341,5.054,,
cash-flow-from-financial-activities,-387.2,-419.375,-19.276,-109.539,-117.449,-37.529,-335.625,-294.242,-292.732
net-cash-flow,-11.331,-4.349,-92.082,102.295,14.736,-66.51,57.474,-105.787,34.67
stock-based-compensation,29.001,28.844,26.097,48.67,28.498,19.476,0.0,0.0,
common-stock-dividends-paid,-57.825,-79.255,-90.434,-92.707,-92.212,-319.687,-329.047,-290.983,-280.606
