,Ticker,Drug,Indication,Stage,Catalyst-date,Catalyst-note
0,SPPI,ZEVALIN,Non-Hodgkin’s lymphoma,crl,07/05/2009,"CRL received July 5, 2009."
1,ZGNX,Sumavel,Migraine,approved,07/16/2009,"Approved July 16, 2009."
2,ARDM,Sumavel,Migraine,approved,07/16/2009,"Approval granted July 16, 2009."
3,SPPI,ZEVALIN,Non-Hodgkin’s lymphoma,approved,09/04/2009,"Approved September 4, 2009."
4,SPPI,FUSILEV,Colorectal cancer,crl,10/09/2009,"CRL received October 9, 2009."
5,PRTK,Intermezzo,Insomnia,crl,11/02/2009,"CRL issued November 2, 2009."
6,AIM,Ampligen,CFS,crl,12/01/2009,"CRL issued December 1, 2009."
7,FCSC,Laviv,Wrinkles,crl,12/18/2009,"CRL issued December 18, 2009."
8,ACOR,Ampyra,Improve walking in patients with multiple sclerosis,approved,01/22/2010,"Approved January 22, 2010."
9,ALKS,BYDUREON,Type 2 diabetes,approved,01/27/2010,"Approved January 27, 2010."
10,ALKS,BYDUREON,Type 2 diabetes,crl,03/15/2010,"CRL received March 15, 2010."
11,MNKD,AFREZZA ,Type 1/2 diabetes,crl,03/15/2010,"CRL issued March 15, 2010."
12,HRTX,APF530 - Sustol,Prevention of acute- and delayed-onset chemotherapy-induced nausea and vomiting (CINV),crl,03/19/2010,"CRL issued March 19, 2010."
13,CTIC,PIXUVRI - PIX306 Trial,B-cell non-Hodgkin lymphoma,crl,04/09/2010,"CRL received April 9, 2010."
14,JAZZ,JZP-6,Fibromyalgia,crl,10/11/2010,"CRL received October 11, 2010."
15,VVUS,Qnexa,Obesity,crl,10/28/2010,"October 28, 2010."
16,MNKD,AFREZZA ,Type 1/2 diabetes,crl,01/19/2011,"CRL received January 19, 2011."
17,ASRT,GRALISE,Postherpetic neuralgia - shingles,approved,01/28/2011,"Approved January 28, 2011."
18,PLX,Taliglucerase alfa,Gaucher disease,crl,02/25/2011,"CRL issued February 25, 2011."
19,SPPI,FUSILEV,Colorectal cancer,approved,04/29/2011,"Approved April 29, 2011."
20,FCSC,Laviv,Wrinkles,approved,06/22/2011,"Approved June 22, 2011."
21,SGEN,ADCETRIS,Hodgkin lymphoma and Anaplastic large cell lymphoma,approved,08/19/2011,"Approval announced August 19, 2011."
22,PCRX,EXPAREL,Postsurgical pain,approved,10/31/2011,"Approved October 31, 2011."
23,EYPT,Iluvien,Diabetic macular edema,crl,11/11/2011,"CRL November 11, 2011."
24,ALIM,Iluvien,Diabetic macular edema,crl,11/11/2011,CRL November 2011.
25,INCY,Jakafi,Myelofibrosis,approved,11/16/2011,"Approved November 16, 2011."
26,PRTK,Intermezzo,Insomnia,approved,11/23/2011,"Approved November 23, 2011."
27,ATRS,Anturol,Overactive bladder,approved,12/08/2011,"Approved December 8, 2011."
28,CRIS,Vismodegib,Basal Cell Carcinoma,approved,01/30/2012,"Approved January 30, 2012."
29,CORT,Corlux - Korlym,Cushing's Syndrome,approved,02/17/2012,"Approved February 17, 2012."
30,VVUS,Avanafil,Erectile dysfunction,approved,04/27/2012,"Approved April 27, 2012."
31,PLX,Taliglucerase alfa,Gaucher disease,approved,05/01/2012,"Approved May 1, 2012."
32,EBS,BioThrax,Anthrax Vaccine,approved,05/17/2012,"Approved May 17, 2012."
33,RGEN,RG1068,Detection of pancreatic duct abnormalities,crl,06/22/2012,"CRL received June 22, 2012."
34,ARNA,Lorcaserin,Obesity,approved,06/27/2012,"Approved June 27, 2012."
35,VVUS,Qnexa,Obesity,approved,07/17/2012,"Approved July 17, 2012."
36,AMRN,Vascepa,High Triglycerides With Mixed Dyslipidemia,approved,07/26/2012,"Approved July 26, 2012."
37,HALO,HYQVIA,Subcutaneous treatment for patients with primary immunodeficiency (PI),crl,08/01/2012,"CRL issued August 1, 2012."
38,NAVB,Lymphoseek,Lymphatic-tissue tracing agent,crl,09/10/2012,"CRL issued September 10, 2012."
39,SUPN,Oxtellar,Epilepsy,approved,10/22/2012,"Approved October 22, 2012."
40,EXEL,Cabozantinib,Medullary thyroid cancer,approved,11/29/2012,"Approved November 29, 2012."
41,AIM,Ampligen,CFS,crl,02/04/2013,"CRL February 4, 2013."
42,IMGN,Kadcyla,2nd-line HER2+ Metastatic Breast Cancer,approved,02/22/2013,"Approved February 22, 2013 - under priority review."
43,DVAX,HEPLISAV-B ,Hepatitis B,crl,02/25/2013,"CRL issued February 25, 2013."
44,NAVB,Lymphoseek,Lymphatic-tissue tracing agent,approved,03/13/2013,"Approved March 13, 2013."
45,HRTX,APF530 - Sustol,Prevention of acute- and delayed-onset chemotherapy-induced nausea and vomiting (CINV),crl,03/28/2013,"CRL March, 28 2013."
46,TTNP,Probuphine,Opioid dependence,crl,04/30/2013,"CRL issued April 30, 2013."
47,ENDP,AVEED (testosterone undecanoate) intramuscular injection,Men diagnosed with hypogonadism,crl,05/30/2013,"CRL issued September 5, 2013. "
48,ASRT,SEFELSA,Hot flashes,crl,05/31/2013,"CRL issued May 31, 2013."
49,AVDL,Bloxiverz (neostigmine methylsulfate),Reversal of the effects of non-depolarizing neuromuscular blocking agents after surgery,approved,06/03/2013,"Approved June 3, 2013."
