,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-09-30,2016-07-31,2016-06-30,2016-04-30,2016-03-31,2016-01-31,2015-12-31,2015-09-30,2015-06-30,2015-04-30,2015-03-31,2015-01-31,2014-12-31,2014-10-31,2014-09-30,2014-07-31,2014-06-30,2014-04-30,2014-03-31,2014-01-31,2013-01-31
current-ratio,8.2852,6.4007,6.59,6.2122,2.4095,2.5577,2.7285,9.7179,7.8686,11.3314,11.8566,,18.9387,,19.677,7.5934,12.8347,,12.8647,16.2006,16.0775,,0.3915,34.5,,0.6467,,,,,,2.5089,
long-term-debt-capital,0.0114,,,,,0.0021,0.0041,0.0048,0.0079,,,,,,,,0.059,,0.0601,0.0618,0.0637,,-0.5665,,,,,,,,,,
debt-equity-ratio,0.0172,,0.001,0.0015,0.0082,0.0102,0.0119,0.0119,0.0155,,,,,,,,0.108,,0.0935,0.0836,0.0761,,-1.0627,,,,,,,,,0.524,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.7633,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.4286,100.0,100.0,99.8878,100.0,100.0,,,100.0,,100.0,,100.0,100.0,
operating-margin,-283.8824,-384.6257,-171.2082,-87.5,-188.5153,-61.343,-186.4436,-526.7969,-5680.208,-245.0081,-3272.984,-2043.147,-34357.14,-525.1282,-99485.71,-45.1723,-93257.14,-1096.264,-165228.5,-69985.71,-80957.15,77.4973,-70014.28,-14271.43,,,-35680.0,,-48720.0,,-30933.33,-7183.333,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-217.8094,-287.0515,-101.6966,-59.0844,-135.2878,-13.5744,-224.5388,-442.4135,-5133.333,-340.3383,-3082.258,-1672.589,-34071.43,-352.5128,-105000.0,119.3675,-94385.71,-560.9196,-149757.1,-71300.0,-128742.9,400.505,-74057.14,-74057.14,,,-39950.0,,-52699.99,,-33583.33,-33583.34,
net-profit-margin,-217.8094,-291.288,-101.6967,-59.0844,-135.2878,-13.5744,-224.5388,-442.4135,-5133.333,-256.4412,-3167.339,-2152.792,-34071.43,-458.9744,-105000.0,-46.1886,-94385.71,-879.0229,-166742.9,-71300.0,-128742.9,222.8395,-74057.14,-74057.14,,,-39950.0,,-52700.0,,-33583.34,-33583.34,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,0.2669,0.2587,0.4337,0.7952,0.6635,0.7082,0.4635,0.2444,0.0332,0.4876,0.0766,,,,,0.791,,,,,,,,,,,,,,,,,
days-sales-in-receivables,337.2663,347.9159,207.5321,113.176,135.6536,127.0785,194.1699,368.2254,2714.063,184.5652,1175.081,,,,,113.7832,,,,,,,,,,,,,,,,,
roe,-7.2035,-8.8135,-3.8026,-3.0893,-19.1619,-2.4107,-18.3212,-16.043,-18.4335,-13.4932,-21.9346,,-7.0277,,-20.3963,-12.1767,-15.3398,,-21.2594,-9.1375,-15.1912,,10.5863,,,8.3621,,,,,,5.9775,
return-on-tangible-equity,-7.2035,-8.8135,-3.8026,-3.0893,-19.1619,-2.4107,-18.3212,-16.043,-18.4335,-13.4932,-21.9346,,-7.0277,,-20.3963,21.0225,-15.3398,,-21.2594,-9.1375,-15.1912,,55.0728,-1614.953,,86.3784,,,,,,-34.4445,
roa,-6.1209,-7.2174,-3.1267,-2.4925,-8.7299,-1.0702,-7.8521,-14.3519,-16.0083,-12.3075,-20.0894,,-6.6503,,-19.3385,18.2623,-13.3005,,-18.4589,-8.0398,-13.3318,,-67.2199,-751.3043,,-60.1294,,,,,,-19.9505,
roi,-7.1212,-8.8135,-3.8026,-3.0893,-19.1619,-2.4056,-18.2465,-15.9664,-18.2878,-13.4932,-21.9346,,-7.0277,,-20.3963,21.0225,-14.4346,,-19.9813,-8.5724,-14.2235,,86.2706,-13.1055,,86.3784,,,,,,-34.5034,
book-value-per-share,5.718,5.5989,6.0319,6.2091,2.4306,2.5234,2.6469,2.882,2.7524,3.2253,3.5879,,18.0424,,19.1641,9.9197,22.9088,,26.2372,29.0631,31.5656,,-186.2072,,,,,,,,,,
operating-cash-flow-per-share,-0.6447,-2.4113,-1.5004,-0.9927,-0.5752,1.0229,1.5305,-1.1702,-0.4579,-5.1048,-2.7528,-13.8689,-7.422,-8.4145,-6.5648,-22.2494,-2.7041,-17.0671,,-8.4049,-6.4945,,-80.7839,,,,-142.8654,,-83.61,,-53.487,,
free-cash-flow-per-share,-0.6503,-2.483,-1.5472,-1.0447,-0.6275,0.8846,1.4987,-1.1863,-0.4693,-5.1207,-2.7616,-13.9549,-7.455,-8.4784,-6.5978,-22.268,-2.802,-17.0814,,-8.5538,-6.6549,,-84.3752,,,,-144.58,,-85.3311,,-53.5175,,
