,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
current-ratio,14.9492,16.7894,14.5053,14.3837,14.5645,22.0574,23.1156,12.3482,14.0472,13.6956,16.8387,9.6532,16.8174,17.7847,11.878,15.5525,24.4526,8.1036,11.0078,21.1246,,,,
long-term-debt-capital,0.0347,0.033,0.042,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,,,,,,,,,,,,,,,,,,,,,,,,
roe,-9.8081,-8.14,-8.7906,-8.5896,-9.1207,-7.9692,-7.7276,-12.9396,-11.0572,-8.4779,-7.7133,-14.6037,-9.9881,-7.9471,-13.1619,-11.0693,-9.5364,12.6989,12.8656,10.7854,,,,
return-on-tangible-equity,-9.8081,-8.14,-8.7906,-8.5896,-9.1207,-7.9692,-7.7276,-12.9396,-11.0572,-8.4779,-7.7133,-14.6037,-9.9881,-7.9471,-13.1619,-11.0693,-9.5364,-22.688,-16.2134,-10.0691,,,,
roa,-8.8743,-7.4556,-7.9801,-7.9659,-8.4379,-7.4861,-7.2476,-11.5643,-10.0532,-7.9115,-7.3446,-13.4436,-9.367,-7.464,-11.9449,-10.2548,-9.0557,-19.2139,-14.6938,-9.5416,,,,
roi,-9.4673,-7.8712,-8.4214,-8.5896,-9.1207,-7.9692,-7.7276,-12.9396,-11.0572,-8.4779,-7.7133,-14.6037,-9.9881,-7.9471,-13.1619,-11.0693,-9.5364,-22.688,-16.2134,-10.0691,,,,
book-value-per-share,10.9304,11.7549,9.8787,10.2947,9.0599,9.7664,10.4143,6.9107,5.9541,6.5338,7.0332,5.0851,5.7536,6.1684,4.2701,4.7955,5.2864,15.6719,22.196,27.0394,,,,
operating-cash-flow-per-share,-2.1977,-1.384,-0.717,-2.6466,-1.9559,-1.3702,-0.7696,-2.1979,-1.5642,-0.9765,-0.577,-2.0394,-1.3113,-0.95,-0.4971,-2.412,-1.2287,-5.5895,-2.9523,-12.0191,-8.6879,-6.0752,-2.8577,
free-cash-flow-per-share,-2.2177,-1.3937,-0.718,-2.7394,-2.0509,-1.434,-0.7802,-2.2711,-1.6052,-0.9899,-0.5814,-2.0801,-1.3417,-0.9814,-0.5099,-2.4895,-1.2735,-5.8396,-3.0346,-12.2103,-8.8021,-6.1624,-2.8704,
