,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
current-ratio,6.3223,6.4901,6.7187,5.8148,7.0747,7.6278,7.9037,5.5794,6.9279,6.8612,8.451,7.086,6.082,6.0102,5.8148,5.1144,5.3277,5.3278,0.7338,0.5228,,,,
long-term-debt-capital,0.2968,0.2984,0.0616,,,,,,,,,,,,,0.008,0.0311,0.1093,1.4658,1.6476,,,,
debt-equity-ratio,0.4221,0.4253,0.0656,,,,,,,,,,0.0276,0.0503,0.0765,0.1019,0.1251,0.2208,-5.1311,-5.4894,,,,
gross-margin,86.8345,86.57,86.8378,86.837,86.31,85.7279,85.5829,88.8836,85.8507,86.6247,85.5738,85.4968,86.8614,84.7353,86.4845,82.2746,82.5353,81.5197,80.9491,65.3298,81.4778,78.926,76.4335,
operating-margin,-21.219,-10.6485,-3.5909,3.508,-15.7989,-9.8422,-9.2542,1.2773,1.8509,-9.3618,0.8466,1.4109,3.4824,7.431,2.6892,-9.8886,-9.077,-30.3143,-8.0731,-35.7614,-15.5204,-20.218,-48.8059,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-22.764,-10.6433,-2.2582,4.2699,-14.995,-12.4812,-6.7426,2.3265,3.4099,-7.9424,2.5984,0.1115,4.3919,8.1664,3.8845,-11.1314,-10.824,-183.1249,-9.9686,-37.1998,-16.2131,-22.4705,-52.5761,
net-profit-margin,-23.0836,-10.7662,-2.484,3.2898,-15.0793,-12.5067,-6.755,2.4154,3.2787,-7.9956,2.4452,0.404,3.9186,8.1664,3.8845,-11.2942,-10.824,-179.8355,-6.5867,-32.6366,-12.2794,-18.6864,-47.9695,
asset-turnover,0.1903,0.194,0.2369,0.2613,0.2305,0.2523,0.2457,0.2512,0.2648,0.2837,0.2604,0.2469,0.2288,0.2301,0.1985,0.1738,0.1615,0.1385,0.5191,0.5424,,,,
inventory-turnover,0.6017,0.5606,0.5294,0.5359,0.444,0.446,0.4527,0.4126,0.6377,0.6588,0.6921,0.703,0.6022,0.791,0.6167,0.8772,1.0526,1.1283,1.1009,2.1701,,,,
receiveable-turnover,2.4033,2.6587,2.6198,2.8959,2.2335,2.5257,2.2869,2.5006,2.3845,2.4719,2.4877,2.3189,2.5178,2.4581,2.4132,2.6859,2.7226,2.7305,2.353,2.6145,,,,
days-sales-in-receivables,37.4481,33.8514,34.3535,31.0779,40.2959,35.6343,39.3544,35.9914,37.7442,36.4098,36.1785,38.8113,35.745,36.6133,37.2947,33.5081,33.0562,32.9605,38.2497,34.4236,,,,
roe,-7.1041,-3.3593,-0.7235,1.0232,-4.0518,-3.6342,-1.8954,0.7279,1.003,-2.6212,0.7141,0.1143,1.0517,2.218,0.9148,-2.4057,-2.1705,-34.2986,0.904,2.8626,,,,
return-on-tangible-equity,-7.1041,-3.3593,-0.7235,1.0232,-4.0616,-3.6666,-1.9254,0.7449,1.0351,-2.7302,0.7505,0.121,1.1283,2.4104,1.0107,-2.695,-2.4511,-39.14,8.6233,27.0941,,,,
roa,-4.3931,-2.0885,-0.5885,0.8595,-3.4756,-3.1551,-1.6596,0.6066,0.8682,-2.2683,0.6367,0.0997,0.8967,1.8792,0.7712,-1.963,-1.7479,-25.3659,-5.1747,-17.7011,,,,
roi,-4.9953,-2.357,-0.6789,1.0232,-4.0518,-3.6342,-1.8954,0.7279,1.003,-2.6212,0.7141,0.1143,1.0517,2.218,0.9148,-2.3865,-2.1031,-30.5481,-15.6397,-84.6224,,,,
book-value-per-share,5.1498,5.126,5.1052,4.8151,4.5432,4.2271,4.1068,3.9921,3.823,3.6574,3.5867,3.455,3.3085,3.1938,3.0294,2.958,2.9523,2.967,-1.6443,-1.4435,,,,
operating-cash-flow-per-share,0.1038,0.1867,0.0057,0.5341,0.0488,-0.0752,-0.1861,0.7589,0.362,0.1934,0.0616,0.3376,0.2439,0.141,-0.0262,-0.1252,-0.0505,-0.3644,-0.4286,-2.9857,-2.4149,-2.5269,-2.1499,
free-cash-flow-per-share,0.0079,0.1175,-0.0122,0.2421,-0.0281,-0.1326,-0.222,0.5753,0.2437,0.1331,0.0415,0.1654,0.1295,0.1073,-0.0368,-0.1754,-0.0662,-0.4739,-0.5178,-3.3474,-2.6629,-2.6612,-2.2371,
