,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
current-ratio,19.2913,23.4957,13.801,13.3086,14.7534,10.2174,12.3655,9.4349,13.4783,10.7831,14.7298,12.6234,14.3617,18.5723,18.5789,17.1848,8.9803,13.0935,9.8765,,,,
long-term-debt-capital,0.0311,0.0295,0.0478,0.0445,0.0193,0.0356,0.0375,0.0652,0.0632,0.1358,0.1275,0.1141,0.103,0.0943,,,,,,,,,
debt-equity-ratio,,,,,,,,,,,,,,,,,,,,,,,
roe,-7.0176,-6.0601,-9.3204,-9.9991,-8.5947,-13.1133,-11.7019,-13.4577,-10.4631,-17.9206,-14.9937,-12.9176,-10.8787,-9.5101,-8.7109,-7.8852,-16.1179,-12.8912,-9.1545,,,,
return-on-tangible-equity,-7.0176,-6.0601,-9.3204,-9.9991,-8.5947,-13.1133,-11.7019,-13.4577,-10.4631,-17.9206,-14.9937,-12.9176,-10.8787,-9.5101,-8.7109,-7.8852,-16.1179,-12.8912,-9.1545,,,,
roa,-6.4383,-5.6243,-8.2185,-8.8261,-7.8366,-11.3703,-10.3239,-11.2132,-9.0511,-14.0025,-12.1659,-10.5226,-9.0769,-8.1486,-8.2431,-7.4193,-14.22,-11.75,-8.1655,,,,
roi,-6.7993,-5.8812,-8.8753,-9.554,-8.4291,-12.6464,-11.2632,-12.5808,-9.8018,-15.4876,-13.0827,-11.4439,-9.7585,-8.6134,-8.7109,-7.8852,-16.1179,-12.8912,-9.1545,,,,
book-value-per-share,5.1567,5.4567,3.9185,4.22,4.5932,3.3882,3.7984,2.7143,3.0624,2.1832,2.5545,2.9396,3.3429,3.7369,4.1248,4.5266,3.455,4.0837,4.7392,,,,
operating-cash-flow-per-share,-0.9024,-0.7368,-0.3734,-1.3826,-1.0173,-0.7717,-0.4038,-1.224,-0.8613,-0.7445,-0.443,-1.3555,-0.9873,-0.7084,-0.4009,-1.8046,-1.1489,-0.7572,-1.2949,,,,
free-cash-flow-per-share,-0.9024,-0.7368,-0.3734,-1.3826,-1.0173,-0.7717,-0.4038,-1.224,-0.8613,-0.7445,-0.443,-1.3555,-0.9873,-0.7084,-0.4009,-1.811,-1.1535,-0.7598,-1.2981,,,,
