,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-10-31,2006-09-30,2006-07-31,2006-06-30,2006-04-30,2006-03-31,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
current-ratio,0.7745,0.7996,0.719,0.8713,1.1161,1.0627,1.1237,1.2283,1.2859,1.3679,1.3115,1.4028,1.5578,1.483,1.54,1.4613,1.8777,1.8965,1.4648,1.4408,1.4998,1.4757,1.5053,1.4895,1.4199,1.3473,1.3128,1.3096,1.2657,1.2088,1.2144,1.2447,1.2666,1.1831,1.0995,1.0547,1.2786,1.325,1.0195,1.0932,1.1201,1.1353,1.0615,1.0254,1.0835,1.097,1.2761,1.3111,1.6002,1.7245,1.5191,1.5329,,,0.9811,,0.8534,,0.8194,,0.4021,0.4004,0.4013
long-term-debt-capital,0.8336,0.8359,0.8257,0.7597,0.8201,0.8179,0.8304,0.8916,0.8874,0.9043,0.9197,0.9216,0.9389,0.9427,0.9426,0.9433,0.9589,0.9806,0.9888,0.9867,0.9956,1.0047,1.0158,0.9962,0.9994,0.9915,0.9972,1.0118,1.1228,1.1359,1.1437,1.1468,1.1748,1.1786,1.1955,1.2038,1.219,1.2196,1.23,1.2103,1.2199,1.2127,1.2334,1.2225,1.1923,1.2,1.2062,1.206,1.1539,1.1527,1.1528,1.1449,,,1.7676,,1.7874,,1.804,,2.0758,2.0238,1.983
debt-equity-ratio,5.5364,5.6066,5.2229,3.3571,4.8343,4.7617,5.1903,8.7111,8.3554,9.8818,11.9728,12.2708,16.0713,17.2323,17.2623,17.5179,24.5403,53.0737,91.8356,77.6315,234.4763,-222.0881,-67.0572,263.1792,1614.66,118.1672,361.842,-87.1345,-9.3044,-8.5275,-8.1316,-8.0053,-6.8773,-6.7643,-6.282,-6.1181,-5.7756,-5.7783,-5.6205,-6.0368,-5.8283,-6.0023,-5.5733,-5.7489,-6.4674,-6.2346,-6.0609,-6.0404,-7.7265,-7.741,-7.7256,-8.0646,,,-2.3393,,-2.307,,-2.286,,-2.3648,-2.4238,-2.4231
gross-margin,13.0885,14.7144,10.4924,9.278,13.8911,14.051,6.8101,15.0069,12.9601,13.6527,10.2872,14.5719,14.1963,11.2109,9.0402,12.8717,15.7103,13.9474,6.8109,15.4878,16.8745,17.4635,14.1204,16.6611,13.3674,15.7614,13.518,13.5044,16.9707,17.4157,16.428,16.7498,17.6715,19.3542,19.6102,5.1457,23.8834,23.5666,20.5665,26.6263,23.5975,23.9657,24.2104,23.1953,23.9492,22.6558,21.8891,15.0301,24.1931,26.0159,22.1235,29.4085,26.6649,24.2645,25.3644,25.6722,25.6669,24.7667,24.3111,,25.9495,25.7261,21.2401
operating-margin,5.7569,7.6044,2.6772,-0.2115,6.7925,6.4936,-0.3838,7.7702,4.7622,6.1566,2.9461,6.6543,5.5426,3.6959,1.3785,4.8445,8.2686,6.5515,-1.0736,8.0172,8.2772,8.7368,4.4696,7.6843,4.9027,7.3561,4.8138,4.1875,8.6256,8.1433,6.9444,10.4079,7.6772,10.2486,6.1763,13.9143,8.126,7.1363,3.5038,10.3138,6.8536,7.0395,7.6553,4.9138,7.2879,5.964,5.2117,-3.9314,7.8605,9.4855,4.1667,16.0794,11.9124,8.9465,9.758,10.8462,12.0441,10.9836,10.2055,,11.6065,8.8974,5.9015
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,2.3602,3.6528,-1.1607,11.2383,3.5515,3.6711,-3.4362,5.772,2.1796,3.9763,-0.5755,2.6518,1.5353,2.5782,-1.2076,1.3755,6.4742,2.8171,-4.1745,3.8658,3.7178,3.6235,-9.9795,2.2945,-0.4852,2.9787,-1.5115,-1.7479,3.123,2.0079,-0.7215,5.5795,-0.5286,1.8118,-1.4887,3.991,-1.5832,-9.956,-4.5225,1.8155,-2.4152,-2.0977,-2.6718,-5.7266,-1.9152,-3.9088,-6.6903,-14.1477,-2.6423,0.3962,-6.0748,11.1247,-5.7137,-6.3939,-3.4584,-1.4075,-6.8228,-7.4224,-1.2377,,-0.1023,-1.6937,-6.4439
net-profit-margin,1.0916,1.6946,-1.3747,11.3277,2.081,2.212,-3.1712,-3.0876,1.4174,2.3086,-0.5284,1.4942,0.7318,1.6572,-0.6456,0.4084,3.8332,1.6619,-2.5123,2.2662,2.4182,2.8724,-7.3569,0.697,-0.2666,1.5216,-0.776,32.6022,3.1492,1.7817,-0.0685,3.0249,0.0273,2.3839,-0.608,2.8588,-0.2034,-8.4605,-3.3106,0.4716,-1.2938,-0.2562,-0.6578,-4.1975,0.1054,-1.698,-4.807,-11.6359,-1.8991,1.1427,-5.2582,13.8782,-10.5861,-6.1866,-3.4584,-1.4075,-6.8228,-7.4224,-1.2377,,-0.1023,-1.6937,-6.4439
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.9416,1.8145,1.7322,1.7272,1.5483,1.606,1.4314,1.5146,1.35,1.3518,1.3508,1.3698,1.226,1.3239,1.2168,1.3246,1.3088,1.3098,1.1828,1.2517,1.1874,1.2181,1.2009,1.3349,1.3048,1.2665,1.2816,1.2333,1.2473,1.258,1.2093,1.1704,1.172,1.2634,1.3766,1.2013,1.4808,1.4727,1.4076,1.5379,1.4435,1.3839,1.3159,1.3249,1.2153,1.2548,1.1734,1.1503,1.188,1.3469,1.2767,-0.7968,,,1.5922,,1.6819,,1.6743,,1.7579,1.7178,1.7704
days-sales-in-receivables,46.3536,49.5995,51.9576,52.1079,58.1301,56.039,62.8738,59.4205,66.6648,66.5783,66.6269,65.7018,73.4081,67.9786,73.963,67.9437,68.7658,68.7103,76.0934,71.8998,75.7963,73.8853,74.9462,67.422,68.9765,71.0603,70.2238,72.9759,72.154,71.544,74.421,76.8962,76.7946,71.2339,65.3786,74.9206,60.7765,61.1121,63.9381,58.5231,62.3491,65.0353,68.3935,67.9288,74.0574,71.7225,76.7004,78.2403,75.7563,66.8195,70.492,-112.9558,,,56.5267,,53.5094,,53.7553,,51.1969,52.3913,50.8364
roe,2.3676,3.5734,-0.9001,15.6537,4.7598,5.1763,-4.6869,-9.3486,5.2043,8.8344,-1.6193,7.1927,4.9275,9.1408,-2.9495,3.4557,31.4804,29.2433,-68.4508,55.7937,172.2305,-190.5724,132.8073,60.9959,-101.3811,55.8906,-84.6343,-776.121,-8.4069,-4.4629,0.2218,-6.4406,-0.063,-4.679,0.9874,-4.1129,0.2891,13.2847,5.1551,-0.8828,2.1692,0.4017,0.9757,6.5629,-0.2223,2.7705,6.9367,15.8915,3.871,-2.4635,11.2566,6.0899,,,1.8708,,3.6766,,0.6722,,0.0526,0.8472,3.1511
return-on-tangible-equity,-1.8971,-2.8504,0.7638,-12.1296,-3.0055,-3.4013,2.8396,2.8763,-1.7487,-2.5292,0.3756,-1.6265,-0.816,-1.3648,0.4466,-0.5077,-3.7629,-1.5459,1.8602,-1.7879,-1.8323,-2.1158,4.8462,-0.5519,0.1489,-1.138,0.5514,-20.567,-1.7407,-1.0258,0.0542,-1.592,-0.0169,-1.2747,0.2818,-1.1979,0.0954,4.4222,1.6801,-0.2802,0.7135,0.1305,0.3346,2.1883,-0.0697,0.8972,2.3528,5.2066,1.0651,-0.7036,3.2701,1.6926,,,1.4283,,2.7972,,0.5071,,0.0396,0.6378,2.3672
roa,0.3147,0.4754,-0.1259,2.8258,0.6339,0.7083,-0.5905,-0.7523,0.4539,0.6601,-0.1007,0.4407,0.2357,0.4079,-0.1309,0.1506,1.025,0.4519,-0.6029,0.5799,0.6024,0.7118,-1.6785,0.1866,-0.0513,0.3799,-0.1879,7.2976,0.7969,0.4619,-0.0243,0.7261,0.0084,0.6314,-0.1452,0.6287,-0.0471,-2.2183,-0.8688,0.1373,-0.3574,-0.0645,-0.1671,-1.0729,0.0319,-0.4166,-1.0947,-2.5592,-0.4823,0.3109,-1.4041,-0.725,,,-1.1019,,-2.1963,,-0.4022,,-0.0302,-0.4754,-1.7493
roi,0.3939,0.5865,-0.1568,3.7619,0.8562,0.9424,-0.795,-1.0135,0.5858,0.8452,-0.1301,0.5637,0.3009,0.5242,-0.1692,0.196,1.2945,0.5665,-0.7692,0.7403,0.7627,0.8988,-2.0999,0.2334,-0.0636,0.4755,-0.2366,9.1479,1.0328,0.6064,-0.0319,0.9454,0.011,0.8357,-0.1931,0.8381,-0.0633,-2.9175,-1.1858,0.1857,-0.4769,-0.0854,-0.2277,-1.4599,0.0427,-0.554,-1.4303,-3.2736,-0.5958,0.3762,-1.7197,-0.8822,,,-1.4359,,-2.895,,-0.5404,,-0.0566,-0.8674,-3.0975
book-value-per-share,4.2797,4.2378,4.2639,4.0887,2.5093,2.5874,2.4124,1.4652,1.5558,1.3466,1.1248,1.1176,0.8683,0.7961,0.794,0.7878,0.5919,0.2744,0.1493,0.1798,0.0613,-0.0651,-0.2266,0.0551,0.009,0.1232,0.0405,-0.1734,-1.5453,-1.6943,-1.7928,-1.8652,-2.0356,-2.0592,-2.1934,-2.2156,-2.3669,-2.3887,-2.1792,-2.0619,-2.1684,-2.1552,-2.3451,-2.2586,-2.0744,-2.1483,-2.2032,-1.9816,-1.5542,-1.4319,-1.4328,-1.3798,,,-3.5316,,-3.506,,-3.4274,,-3.4218,-3.4227,-3.3937
operating-cash-flow-per-share,1.6403,0.8881,0.5428,2.3984,1.8072,0.9675,0.5084,3.0004,1.5886,1.0628,0.6636,1.9642,1.1812,1.0969,0.45,1.4841,0.8953,0.6256,0.4087,1.4138,0.7731,0.4548,-0.1215,1.6683,1.0834,0.7225,0.3872,1.9179,1.3953,1.0352,0.4096,1.486,0.8852,0.5743,0.4079,1.8149,1.3563,0.6094,0.4566,2.1255,1.3918,0.9152,0.4646,1.2719,0.6036,0.3085,-0.0757,0.732,0.5957,0.3197,0.2621,0.0142,0.4878,0.3644,0.2204,0.4011,0.3032,0.2453,0.1209,,0.3311,0.1478,0.0815
free-cash-flow-per-share,0.2997,-0.098,-0.1066,0.9737,0.5729,0.0853,0.0519,1.7348,0.4907,0.1605,0.0125,0.711,0.0579,0.2393,-0.033,0.5711,0.0442,-0.0826,-0.0503,0.4717,0.0208,-0.1645,-0.5474,0.5614,0.095,0.0234,0.0652,0.8834,0.5891,0.462,0.1109,0.393,0.0021,-0.0441,-0.005,0.7401,0.4628,0.0455,0.1018,1.2965,0.7601,0.4812,0.2729,0.5373,0.0421,-0.1996,-0.3433,-0.0301,0.0737,0.0286,0.1228,-0.0663,0.0403,0.0119,-0.067,0.1773,0.1467,0.1484,0.0807,,0.1969,0.0599,0.0416
