,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
current-ratio,1.8834,2.5607,1.7837,2.4457,3.4533,5.0224,7.2481,7.9838,6.001,6.3681,7.2098,1.9557,2.9912,4.497,2.493,3.5027,7.0745,4.055,9.3411,8.8518,12.3132,9.7713,0.2986,0.4709,,,,
long-term-debt-capital,0.2113,0.1336,0.1429,,,,,,,,,,,,,,,,,,,0.0276,-0.7297,-0.9647,,,,
debt-equity-ratio,0.2809,0.1629,0.1789,0.0143,,0.0015,0.0032,0.0058,,0.001,0.0036,0.0305,,0.0013,0.0145,0.018,,,0.0155,0.0246,0.0107,0.0857,-0.8136,-0.9459,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,
operating-margin,-969.0662,5.8609,-1406.535,-912.7243,-1365.688,-1451.863,-1248.361,,-873.6257,-2082.198,-576.0654,-2015.714,-718.2967,-1056.896,-727.9976,-686.4757,-1322.892,-2255.18,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-802.8008,7.3988,-1391.264,-897.9471,-1338.483,-1413.859,-1230.521,,-874.7321,-2083.718,-577.0624,-2015.139,-720.0472,-1056.332,-729.2626,-685.877,-1322.283,-2255.043,,,,,,,,,,
net-profit-margin,-802.8008,7.3988,-1391.264,-897.9473,-1338.482,-1413.859,-1230.521,,-874.7321,-2083.718,-577.0624,-2015.139,-720.0472,-1056.332,-729.2626,-685.8768,-1322.283,-2255.043,,,,,,,,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,,,,,,,,,1.5926,,,0.2824,,,,,,,,,,,,,,,,
days-sales-in-receivables,,,,,,,,,56.5105,,,318.7296,,,,,,,,,,,,,,,,
roe,-70.1428,4.544,-62.0194,-62.8764,-34.0587,-21.7524,-17.8448,-18.5065,-21.7808,-19.4136,-17.1281,-84.8758,-40.1583,-23.7313,-45.163,-27.8085,-20.1711,-37.8563,-32.7335,-21.4964,-9.4019,-6.7729,6.1383,17.3845,,,,
return-on-tangible-equity,-70.1428,4.544,-62.0194,-62.8764,-34.0587,-21.7524,-17.8448,-18.5065,-21.7808,-19.4136,-17.128,-84.8758,-40.1583,-23.7313,-45.163,-27.8085,-20.1711,-37.8563,-32.7335,-21.4964,-9.4019,-6.7729,14.7707,45.9539,,,,
roa,-30.5162,2.559,-25.8742,-36.83,-23.8654,-17.1712,-15.1613,-15.9659,-18.1303,-16.375,-14.7517,-42.32,-27.0627,-18.5146,-27.5576,-19.4061,-16.9035,-26.7915,-29.2721,-19.0929,-8.6456,-5.9124,-60.0218,-101.4664,,,,
roi,-55.3227,3.9367,-53.1578,-62.8764,-34.0587,-21.7524,-17.8448,-18.5065,-21.7808,-19.4136,-17.128,-84.8758,-40.1583,-23.7313,-45.163,-27.8085,-20.1711,-37.8563,-32.7335,-21.4964,-9.4019,-6.5858,25.5486,90.2879,,,,
book-value-per-share,0.4583,0.7328,0.6563,0.4808,0.749,0.9702,1.147,1.0392,0.6368,0.7484,0.8692,0.1996,0.3027,0.4035,0.1703,0.2389,0.2971,0.2202,0.1804,0.226,0.2719,0.295,-0.157,-0.0969,,,,
operating-cash-flow-per-share,-0.3582,-0.0886,0.1673,-0.536,-0.2797,-0.1252,-0.0284,-0.554,-0.372,-0.2461,-0.1431,-0.3299,-0.1848,-0.1301,-0.0669,-0.1475,-0.1077,-0.0469,-0.0495,-0.1171,-0.0407,-0.0209,-0.0201,-0.0517,-0.035,-0.0314,-0.0097,
free-cash-flow-per-share,-0.3806,-0.0924,0.1661,-0.577,-0.3155,-0.1592,-0.0509,-0.5681,-0.3745,-0.2477,-0.1439,-0.3385,-0.1907,-0.1349,-0.0686,-0.1512,-0.1083,-0.0475,-0.0495,-0.1203,-0.0432,-0.0213,-0.0201,-0.0517,-0.035,-0.0314,-0.0097,
