,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31
current-ratio,12.6728,16.0041,20.0587,10.981,19.0719,23.4514,28.9155,10.1071,4.9831,9.0183,10.948,11.447,19.4666,14.9467,18.9484,12.314,20.1614,20.6825,12.8037,16.6072,27.503,13.1119,,,,,
long-term-debt-capital,0.0282,0.0269,0.0255,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.029,0.0277,0.0262,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,96.1625,94.9599,100.0,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,
operating-margin,-5243.053,-20212.71,-36527.31,-60155.83,,-24.6078,,,,,,,,,,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-5040.84,-19269.3,-35141.08,-58017.02,,-18.8644,,,,,,,,,,,,,,,,,,,,,
net-profit-margin,-5040.84,-19269.3,-35141.08,-58017.02,,-18.8644,,,,,,,,,,,,,,,,,,,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,,,,,,4.8972,,,,,,,,,,,,,,,,,,,,,
days-sales-in-receivables,,,,,,18.378,,,,,,,,,,,,,,,,,,,,,
roe,-16.6463,-13.9849,-12.3836,-18.3538,-12.4347,-1.5753,-7.0424,-14.6004,-36.8499,-26.9692,-17.8297,-15.1692,-9.1353,-13.5093,-10.6237,-16.4438,-12.1325,-11.5093,-15.8398,-10.1415,-7.1231,13.8239,,,,,
return-on-tangible-equity,-16.6463,-13.9849,-12.3836,-18.3538,-12.4347,-1.5753,-7.0424,-14.6004,-36.8499,-26.9692,-17.8297,-15.1692,-9.1353,-13.5093,-10.6237,-16.4438,-12.1325,-11.5093,-15.8398,-10.1415,-7.1231,13.8239,,,,,
roa,-14.9501,-12.7872,-11.4839,-16.6251,-11.74,-1.5032,-6.7776,-13.0999,-29.3602,-23.9261,-16.1683,-13.8187,-8.6628,-12.6064,-10.0633,-15.1109,-11.5326,-10.954,-14.6097,-9.533,-6.8627,-11.9882,,,,,
roi,-16.177,-13.6081,-12.0678,-18.3538,-12.4347,-1.5753,-7.0424,-14.6004,-36.8499,-26.9692,-17.8297,-15.1692,-9.1353,-13.5093,-10.6237,-16.4438,-12.1325,-11.5093,-15.8398,-10.1415,-7.1231,13.8239,,,,,
book-value-per-share,20.8637,23.3709,25.856,18.4049,21.1079,23.126,22.8007,11.32,5.3312,6.9557,8.5358,9.9005,11.1324,8.0195,8.9737,6.0261,6.8812,7.5965,4.1452,4.757,5.195,-26.133,,,,,
operating-cash-flow-per-share,-7.9679,-5.5265,-3.0919,-5.6519,-3.4018,-1.6911,-1.7726,-5.7532,-4.2801,-3.059,-1.4814,-3.5434,-2.5747,-1.6875,-0.867,-2.5445,-1.8291,-1.1863,-0.5693,-1.2535,-0.9384,-6.4015,-3.3975,,-8.2356,-4.9904,
free-cash-flow-per-share,-8.0719,-5.5936,-3.1179,-5.7139,-3.4458,-1.7137,-1.7873,-5.7889,-4.2949,-3.0676,-1.488,-3.5858,-2.602,-1.7136,-0.8778,-2.5516,-1.8346,-1.1927,-0.5736,-1.2594,-0.9426,-6.4045,-3.3993,,-8.2376,-4.9925,
