,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
current-ratio,29.444,38.0631,45.7527,57.461,73.6683,90.374,29.1069,19.0981,7.3589,10.5573,6.8324,8.5848,10.5202,13.3279,6.0882,0.0074,2.9454,3.0914,2.5218,3.2162,3.7071,3.4998,2.4839,2.864,2.1111,3.5793,5.5507,4.3168,2.9497,2.4923,3.7074,2.6595,3.0394,4.1515,2.354,3.0784,3.6662,4.0254,4.5201,2.7065,2.981,0.4305,2.0017,2.7375,3.1186,3.9078,4.9341,5.6324,3.6538,4.1537,6.4553,4.125,,,
long-term-debt-capital,0.001,0.0011,0.0013,,,,,,,,,,,,,,0.0002,0.0005,0.0481,0.0666,0.0768,0.1115,0.2327,0.2207,0.5245,0.342,0.2663,0.0561,0.1671,0.2921,0.2359,0.4564,0.3312,0.2752,0.4673,0.3325,0.3374,0.0089,0.012,0.0311,0.0342,-0.016,-0.0216,-0.0354,-0.0712,-0.3859,0.1929,0.1016,0.0739,0.0586,0.0462,2.2277,,,
debt-equity-ratio,0.0017,0.0018,0.0019,,,,,,,,,,,0.0008,0.0526,-0.9935,0.1154,0.1346,0.2513,0.2135,0.1937,0.2503,0.5467,0.4766,1.6089,0.6697,0.4176,0.1652,0.4464,0.7983,0.4884,1.1268,0.6836,0.4654,1.3083,0.6485,0.5831,0.0393,0.0395,0.0827,0.0793,-0.0339,-0.0443,-0.0711,-0.1361,-0.5304,0.4628,0.2097,0.143,0.1088,0.0836,-3.1483,,,
gross-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,
operating-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9908.163,-299.1236,-734.2548,-886.9276,-959.4052,-207.2082,-302.4239,-269.1667,-230.1268,-149.1455,90.6192,-181.7849,-519.623,-4066.825,-2079.481,3636.608,-1378.55,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10238.78,-313.8474,-765.2644,-923.3382,-997.463,-218.5533,-303.3403,-270.0595,-231.3697,-150.3635,90.5786,-182.6881,-521.0421,-4080.662,-2069.261,3596.513,-1319.133,,,,,,,,
net-profit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10238.78,-313.8475,-765.2644,-923.3382,-997.4628,-218.5533,-303.3402,-270.0595,-231.3696,-150.3635,90.5786,-182.6882,-521.0421,-4080.661,-2069.261,3596.514,-1319.133,,,,,,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8017,,,,,,5.1268,,0.0397,0.0509,,,,,,,,,,
days-sales-in-receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5861,,,,,,17.5548,,2264.151,1768.868,,,,,,,,,,
roe,-4.8664,-4.3106,-3.2187,-2.4057,-1.7627,-1.329,-3.5917,-4.6335,-15.3992,-13.5435,-17.4131,-21.2826,-37.3725,-6.9202,-3.8641,-72.4996,-2.9813,-28.7032,-44.8787,-31.2454,-23.8463,-30.117,-61.6289,-49.2188,-154.0855,-64.3046,-36.6193,-24.1428,-46.5858,-71.4426,-44.5691,-72.7154,-51.8043,-34.3113,-87.0238,-37.5782,-39.077,-25.5469,-21.4524,-28.2486,383.0554,9.591,28.965,44.1445,76.0503,222.2505,-164.5691,-62.3554,-38.0727,-31.9113,-23.5199,761.3082,,,
