,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
current-ratio,4.3977,4.6608,4.21,4.5499,5.4768,4.4065,5.2653,6.3552,5.2831,5.6185,4.4957,5.2604,7.7406,8.9816,10.8539,12.0563,8.2352,,,,,
long-term-debt-capital,0.2378,0.2059,0.1806,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.312,0.2593,0.2203,,,,,,,,,,,,,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,
operating-margin,-240.0859,-346.5328,-56.1811,-225.002,-185.2826,-62.1286,-110.1946,-4.6059,-45.6635,-289.9109,-73.9209,-226.8813,-431.8471,-460.8274,-727.9352,-579.6782,-581.1758,-271.2678,-279.4489,,-180.8877,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-221.2379,-321.3137,-47.9227,-203.304,-167.3116,-54.6256,-101.4876,0.3767,-42.5199,-287.8199,-70.8659,-224.155,-424.4644,-458.0801,-720.9176,-577.7162,-612.0165,-283.9452,-356.5442,,-187.4151,
net-profit-margin,-221.2379,-321.3137,-47.9023,-280.9955,-187.3131,-63.019,-109.2287,2.2937,-42.4412,-288.117,-70.8573,-223.7405,-424.4933,-458.1771,-721.0526,-605.8854,-764.7241,-370.1909,-438.7486,,-248.4595,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1530.286,0.9009,670.1136,118.2577,223.375,0.8489,175.1111,2.6703,0.5998,47.3081,54.7089,2.7116,14.3917,10.8561,7.0348,5.3441,4.7759,,,,,
days-sales-in-receivables,0.0588,99.8957,0.1343,0.761,0.4029,106.0235,0.514,33.7043,150.041,1.9024,1.6451,33.1904,6.2536,8.2902,12.7935,16.8411,18.8448,,,,,
roe,-28.8628,-28.5317,-11.5231,-24.6273,-14.8616,-32.6915,-31.2063,0.8885,-22.5313,-48.2723,-11.1903,-17.8812,-16.3964,-14.0097,-14.221,-9.1117,11.1931,,,,,
return-on-tangible-equity,-29.6939,-29.2033,-11.7504,-25.0887,-15.0956,-34.789,-32.8729,0.9221,-23.8919,-50.9023,-11.6152,-18.5181,-16.9067,-14.3936,-14.5698,-9.3111,-23.5834,,,,,
roa,-6.3614,-7.1456,-3.1774,-7.0515,-4.8539,-3.5674,-4.1154,0.1562,-2.6475,-7.1666,-4.6418,-7.0472,-7.6016,-6.8529,-8.3505,-5.8246,-9.5128,,,,,
roi,-21.9985,-22.6565,-9.4425,-24.6273,-14.8616,-32.6915,-31.2063,0.8885,-22.5313,-48.2723,-11.1903,-17.8812,-16.3964,-14.0097,-14.221,-9.1117,-22.3831,,,,,
book-value-per-share,1.8075,2.2355,2.7143,2.9032,3.5038,1.0544,1.2761,1.8165,1.226,1.418,2.0095,2.1507,2.4571,2.7962,3.1232,3.4987,48.4301,,,,,
operating-cash-flow-per-share,-2.444,-1.9339,-0.8649,-1.8126,-1.0651,-1.0582,-0.3781,4.584,4.0158,4.1899,-0.5223,-0.0561,-0.1092,0.2828,-0.1536,-3.1896,-18.5058,-11.4685,-5.3852,,36.9765,
free-cash-flow-per-share,-2.5055,-1.9817,-0.9056,-1.9035,-1.1259,-1.0997,-0.3975,4.542,3.9799,4.1554,-0.5482,-0.1147,-0.1526,0.2631,-0.1627,-3.3751,-19.8635,-12.5165,-5.6409,,35.9561,
