,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
current-ratio,9.8491,9.7861,14.2621,38.0636,40.5628,12.2829,12.5296,,,,
long-term-debt-capital,0.1349,0.0026,0.0454,0.0335,,,,,,,
debt-equity-ratio,,,,,,,,,,,
roe,-9.2332,-7.3053,-4.8282,-5.3568,-4.3063,25.9542,25.4454,,,,
return-on-tangible-equity,-9.2332,-7.3053,-4.8282,-5.3568,-4.3063,25.9542,25.4454,,,,
roa,-7.3555,-6.6239,-4.3129,-5.0418,-4.2005,-16.9396,-10.9622,,,,
roi,-7.9875,-7.2865,-4.6089,-5.1771,-4.3063,25.9542,25.4454,,,,
book-value-per-share,3.8034,4.1104,4.3547,4.527,4.7549,-7.729,-5.6058,,,,
operating-cash-flow-per-share,-1.0594,-0.429,-1.094,-0.6126,-0.5389,-1.377,-3.2155,-2.3652,-1.8252,-1.1046,
free-cash-flow-per-share,-1.0955,-0.4404,-1.2061,-0.6364,-0.5437,-1.4003,-3.2416,-2.3933,-1.8521,-1.1112,
