,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
current-ratio,10.5896,10.655,11.5515,14.6659,12.1265,12.1716,21.9853,28.9189,,,,,
long-term-debt-capital,0.1376,0.1299,0.1214,,,,,,,,,,
debt-equity-ratio,0.1596,0.1492,0.1382,,,,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,
operating-margin,-368.6783,-1495.425,-1010.892,59.4561,-3176.904,-3481.917,-4016.849,,,,,,
ebit-margin,,,,,,,,,,,,,
pre-tax-profit-margin,-340.8777,-1397.427,-927.2772,61.6928,-2959.916,-3320.631,-3693.916,,,,,,
net-profit-margin,-340.047,-1389.969,-927.2771,61.6928,-2959.916,-3320.631,-3693.916,,,,,,
asset-turnover,,,,,,,,,,,,,
roe,-10.5569,-12.277,-7.5471,14.1782,-7.6697,-11.162,-4.3927,-4.9135,,,,,
return-on-tangible-equity,-10.5569,-12.277,-7.5471,14.1782,-7.6697,-11.162,-4.3927,-4.9135,,,,,
roa,-7.6719,-9.1494,-5.763,11.7122,-6.4964,-9.5662,-3.8566,-4.7023,,,,,
roi,-9.1043,-10.6828,-6.6306,14.1782,-7.6697,-11.162,-4.3927,-4.9135,,,,,
book-value-per-share,4.5651,4.9675,5.4237,5.7768,4.9075,5.2536,5.8217,5.3246,,,,,
operating-cash-flow-per-share,-1.0842,-0.7697,-0.3192,0.5411,-0.4598,-0.0888,0.3749,-2.4925,-5.6983,-3.7619,-2.0859,,
free-cash-flow-per-share,-1.2422,-0.8984,-0.3406,0.5044,-0.4807,-0.1007,0.3689,-2.5859,-5.8746,-3.9105,-2.1822,,
