,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30
current-ratio,6.2278,6.3498,7.0181,5.3637,5.1226,5.0537,4.5545,4.3168,3.1686,3.8942,2.7445,2.3017,2.2491,2.4572,2.6523,2.2554,2.6621,2.7091,2.6929,2.3978,1.2475,1.5875,2.9575,2.6187,2.5334,2.5434,2.374,2.4497,3.0795,3.5455,2.9745,3.4618,4.189,4.0827,3.6708,3.0999,3.5476,3.5413,3.01,4.8685,4.8741,4.7516,4.0174,3.5377,4.0614,3.3866,3.1789,2.9711,2.7652,1.7795,,,
long-term-debt-capital,,,,,,,,,,,,,0.314,0.3722,0.4564,0.4016,0.4148,0.3847,0.2781,0.2891,0.0005,0.0005,0.0004,0.0007,0.0007,0.0008,0.0009,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0004,0.0004,0.0005,0.0005,0.0006,0.0007,0.0006,0.0007,0.0008,0.0006,0.0007,0.0009,0.0015,0.0032,0.115,0.1399,0.2445,,,
debt-equity-ratio,,,,,,,,,,,,0.0001,0.4577,0.5932,0.8399,0.6715,0.709,0.6255,0.3856,0.4069,0.4408,0.2356,0.0007,0.001,0.0011,0.0012,0.0013,0.0004,0.0004,0.0003,0.0004,0.0004,0.0005,0.0005,0.0006,0.0007,0.0008,0.0009,0.001,0.0008,0.0015,0.0017,0.0023,0.0028,0.0035,0.0049,0.0085,0.2068,0.2493,0.4796,,,
gross-margin,68.236,67.2056,65.4577,66.4768,66.8397,67.1706,67.4614,66.6792,64.1627,65.9891,67.3373,68.926,65.697,66.6923,66.7261,60.8257,67.0044,66.0782,66.7187,67.4704,66.7675,66.0609,66.017,63.5628,66.5508,66.3882,65.8965,65.9657,65.7879,66.3262,66.5154,65.5255,65.7814,68.6816,67.9677,70.2143,70.9114,70.2488,70.4065,71.0667,71.1829,71.791,71.0558,70.4608,71.3395,71.3734,70.2981,71.1632,70.7826,71.8609,71.3319,74.4926,73.1846
operating-margin,22.5456,22.6447,24.1829,24.1588,23.0983,24.3889,25.3037,21.5092,22.2699,22.8017,26.5207,161.5965,21.8374,21.1016,21.8132,22.055,18.4434,17.8782,17.7155,20.1789,15.4512,13.0603,21.5951,8.8834,15.7805,16.8677,17.0227,16.8529,15.077,18.4671,18.7271,17.859,18.1978,20.1999,22.4598,20.4492,22.6146,20.9932,41.294,23.0551,23.8332,23.8701,23.4946,24.2097,26.2453,22.3899,19.6794,23.9304,26.2909,28.6731,25.7608,35.2167,40.3342
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,23.7347,24.1814,25.8603,24.8992,23.5864,25.0528,26.0771,21.8429,22.4183,22.8838,26.9651,160.181,21.5116,21.3745,22.1041,20.9293,17.7552,17.1558,17.8145,19.2956,15.0585,13.2895,21.7382,8.3561,15.2662,16.6946,15.3117,15.8897,15.8429,18.0908,18.239,17.4424,17.9671,20.6818,22.6314,20.595,23.8345,21.302,40.9426,22.5994,24.1706,24.3105,23.1589,24.052,26.39,23.2459,20.2686,25.3219,27.1701,28.1611,25.7082,36.9427,43.1958
net-profit-margin,21.4335,19.5461,21.2903,21.0342,27.1276,20.7224,21.4273,-3.7198,18.5421,23.472,26.2064,112.0363,16.5689,17.3909,16.1112,14.4082,12.6659,12.4263,13.2803,13.1165,10.3131,9.794,16.1872,6.5385,11.8694,12.3983,12.0846,11.3551,11.5849,14.4142,13.2301,12.3018,14.2532,15.5506,15.9348,15.2632,16.2584,14.2756,27.044,15.1815,14.9301,15.6661,15.2307,-0.638,16.7217,14.1789,12.3625,15.9969,10.6965,4.3938,3.9234,5.7975,6.928
asset-turnover,0.1743,0.1867,0.1964,0.1932,0.1922,0.2101,0.2243,0.2297,0.2134,0.2147,0.2241,0.2455,0.2621,0.2864,0.2755,0.278,0.2641,0.2668,0.2687,0.2863,0.2707,0.2825,0.3048,0.3247,0.3073,0.346,0.3505,0.3527,0.2907,0.3222,0.3134,0.3069,0.2781,0.3115,0.3447,0.3403,0.309,0.3329,0.3391,0.2599,0.2602,0.2648,0.2804,0.2832,0.2881,0.298,0.3131,0.2942,0.2865,0.3658,,,
inventory-turnover,0.6632,0.7624,0.8581,0.7896,0.7512,0.7647,0.7609,0.751,0.6994,0.7394,0.8002,0.863,0.8576,0.9228,0.9112,1.0563,0.6867,0.7379,0.7393,0.7549,0.7622,0.8206,0.8555,0.9135,0.7395,0.829,0.9566,0.9498,0.8317,0.904,0.8338,0.843,0.782,0.7633,0.8588,0.6984,0.6769,0.8023,0.8673,0.8491,0.8062,0.7908,0.8307,0.8955,0.7653,0.7316,0.8128,0.8644,0.8169,0.7932,,,
