,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31
current-ratio,9.0104,9.7304,6.1648,7.7501,6.759,7.9515,8.6051,8.713,10.8245,6.2125,4.2683,4.0924,4.105,3.7974,3.1559,2.9854,3.9427,4.1507,2.8801,3.159,,,,,
long-term-debt-capital,0.064,0.0651,0.0867,0.1553,0.1655,0.1592,0.1584,0.1515,0.1415,0.281,0.3925,0.3573,0.3301,0.3144,0.3552,0.3302,0.2908,0.2621,0.3221,0.2869,,,,,
debt-equity-ratio,0.0882,0.0882,0.118,0.1838,0.1984,0.1893,0.1882,0.1785,0.1648,0.3908,0.6461,0.556,0.4928,0.4586,0.5509,0.493,0.41,0.3552,0.4751,0.4023,,,,,
gross-margin,99.2705,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0931,100.0,100.0,100.0,,
operating-margin,-159.3236,58.893,-204.6808,18.4343,-147.3525,-52.8781,-127.1699,-115.773,-56.0764,-99.5705,-97.8874,-77.8804,-73.4237,29.6953,-94.7069,-198.212,-224.025,49.2037,-274.4079,-297.9509,-271.5196,54.6622,-79.4697,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-148.8003,60.6621,-190.4035,19.3968,-146.1811,-53.117,-129.3563,-109.7671,-60.1776,-105.2729,-103.7633,-85.0106,-79.7156,27.1091,-99.5191,-209.0213,-230.6787,47.499,-286.1578,-313.9398,-289.3793,52.0587,-90.8481,,
net-profit-margin,-149.0294,60.5551,-190.2988,19.3912,-146.6083,-53.2877,-129.6664,-110.2746,-60.3181,-105.4315,-103.9671,-85.5426,-80.2405,27.2357,-98.4407,-210.1669,-230.822,47.3289,-284.495,-313.9398,-289.3793,20.1461,-90.8481,,
asset-turnover,0.0371,0.2093,0.0294,0.1227,0.0339,0.0505,0.0368,0.0342,0.0453,0.0558,0.0666,0.0757,0.0619,0.1789,0.0639,0.0519,0.0391,0.2227,0.0374,0.0333,,,,,
inventory-turnover,0.0493,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.7256,29.6864,3.962,1.6967,1.2519,1.4559,3.2005,3.6365,4.6998,3.3883,4.0621,3.4002,3.9134,4.9359,4.7637,1.5866,2.6499,9.8949,2.3407,1.1971,,,,,
days-sales-in-receivables,52.1568,3.0317,22.7159,53.0435,71.8927,61.8177,28.1206,24.7488,19.1497,26.5617,22.1561,26.4693,22.9978,18.2339,18.8929,56.7241,33.9631,9.0956,38.4507,75.1798,,,,,
roe,-8.0557,17.8934,-8.9305,3.9648,-8.6746,-4.5495,-7.9794,-6.188,-4.1402,-12.7971,-20.2753,-17.3543,-12.2227,11.4495,-15.7987,-26.0988,-19.0645,20.908,-22.7415,-21.0075,,,,,
return-on-tangible-equity,-8.0557,17.8934,-8.9305,3.9648,-8.6746,-4.5495,-7.9794,-6.188,-4.1402,-12.7971,-20.2753,-17.3543,-12.2227,11.4495,-15.7987,-26.0988,-19.0645,20.908,-22.7415,-21.0075,,,,,
roa,-5.5303,12.677,-5.5898,2.3794,-4.9736,-2.6923,-4.7713,-3.7717,-2.7332,-5.8809,-6.9292,-6.4719,-4.9678,4.8717,-6.2913,-10.9162,-9.0332,10.5385,-10.6459,-10.4565,,,,,
roi,-7.5402,16.729,-8.1564,3.3491,-7.2386,-3.8252,-6.7157,-5.2508,-3.5544,-9.2013,-12.3175,-11.1535,-8.188,7.8496,-10.187,-17.4804,-13.5208,15.428,-15.4166,-14.981,,,,,
book-value-per-share,7.0372,7.4649,5.9038,6.1859,5.782,6.1153,6.2189,6.6394,7.2209,3.5138,2.3435,2.7505,3.133,3.3849,2.823,3.1754,3.8628,4.5202,3.4401,4.0761,,,,,
operating-cash-flow-per-share,-0.3868,-0.0673,0.2623,-0.9058,-0.6944,-0.7991,-0.3857,-0.9113,-0.8608,-0.6734,-0.4237,0.1133,0.4081,0.3973,-0.2775,-0.3078,0.3412,0.8561,-0.7127,0.6427,3.4199,2.0816,-1.1749,,
free-cash-flow-per-share,-0.433,-0.0913,0.2567,-0.999,-0.7496,-0.8412,-0.4079,-1.0277,-0.9265,-0.6965,-0.4336,0.0933,0.3905,0.3825,-0.292,-0.3405,0.3137,0.8417,-0.7203,0.4104,3.0095,1.975,-1.3514,,
