,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30
current-ratio,13.122,16.1985,18.6599,12.5954,14.8281,12.8112,12.9019,6.3485,7.3894,1.4906,2.278,1.9899,3.1583,3.9995,5.4083,6.8783,7.8942,3.3122,2.5243,1.8197,2.9536,1.8487,1.993,3.3979,14.317,,,,
long-term-debt-capital,0.0086,0.0082,0.0079,,,,0.01,0.034,0.0422,0.6825,0.3675,0.6077,0.4,0.3271,0.2719,0.2384,0.2155,0.1208,0.1322,0.1854,0.1174,0.3091,0.2649,0.1916,0.3251,,,,
debt-equity-ratio,0.0087,0.0083,0.008,,,,0.0253,0.0718,0.0787,3.5044,0.8843,2.2347,0.9221,0.6184,0.4312,0.3311,0.2746,0.2194,0.2292,0.3254,0.1787,0.5412,0.3964,0.239,0.4816,,,,
gross-margin,,,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,,,,100.0
operating-margin,,,,,,,,-83.6566,,,-61.5272,,,,,,,,,,,,,,,,,,-10.0927
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,,,,,,,,-96.8504,,,-111.642,,,,,,,,,,,,,,,,,,-17.5421
net-profit-margin,,,,,,,,-96.8504,,,-111.642,,,,,,,,,,,,,,,,,,-126.6735
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,,,,,,,,1.0414,,,,,,,,,,,,,,,,,,,,,
days-sales-in-receivables,,,,,,,,86.4221,,,,,,,,,,,,,,,,,,,,,
roe,-12.3627,-10.1831,-8.9566,-11.4125,-9.8671,-8.8001,-8.0137,-5.9366,-9.5186,-417.4412,-57.9928,-176.5817,-57.5694,-45.3407,-31.3467,-21.2662,-17.5106,-7.6753,-12.7436,-91.8555,-22.812,-37.4188,-88.4492,-21.0529,-6.5006,,,,
return-on-tangible-equity,-12.3627,-10.1831,-8.9566,-11.4125,-9.8671,-8.8001,-8.0137,-5.9366,-9.5186,-417.4381,-57.9929,-176.5812,-57.5695,-45.3408,-31.3467,-21.2662,-17.5106,-7.6753,-12.7436,-91.8556,-22.812,-37.4189,-88.4494,-21.0529,-6.5005,,,,
roa,-11.3382,-9.4849,-8.4167,-10.4146,-9.1126,-8.0356,-7.3216,-4.8376,-7.8912,-47.6671,-21.0844,-35.911,-23.719,-22.9434,-18.6239,-13.8792,-12.003,-4.7332,-6.7031,-33.9489,-13.3508,-12.1845,-32.2541,-12.0462,-4.0635,,,,
roi,-12.256,-10.0995,-8.8858,-11.4125,-9.8671,-8.8001,-7.9336,-5.7348,-9.1172,-132.5171,-36.6783,-69.2776,-34.5397,-30.5101,-22.8229,-16.1971,-13.7379,-6.7482,-11.0583,-74.8265,-20.1338,-25.8517,-65.021,-17.0195,-4.3874,,,,
book-value-per-share,3.0944,3.436,3.7504,2.8663,3.1651,3.3788,3.6141,1.9128,1.9729,0.0744,0.3209,0.1679,0.4355,0.6577,0.9317,1.1991,1.4285,1.1587,1.198,0.9424,1.7794,0.8422,1.1304,1.9668,2.2871,,,,
operating-cash-flow-per-share,-1.0156,-0.679,-0.3618,-0.9498,-0.5951,-0.327,-0.1198,-0.5625,-0.3387,-0.2815,-0.0828,-0.996,-0.7656,-0.5207,-0.2619,-1.233,-0.8364,-0.7516,-0.3912,-1.7523,-1.0129,-0.9297,-0.5075,-2.9719,-6.723,-720.0,-370.7074,,-1884.151
free-cash-flow-per-share,-1.0198,-0.6829,-0.3647,-0.959,-0.5961,-0.3278,-0.1207,-0.5632,-0.3387,-0.2815,-0.0828,-0.9978,-0.7674,-0.5223,-0.2619,-1.233,-0.8364,-0.7516,-0.3912,-1.7609,-1.0206,-0.9386,-0.5107,-2.7407,-6.1082,-695.0,-370.7074,,-1884.151
