,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
current-ratio,5.9562,7.8014,6.3232,7.7844,8.8758,12.8978,15.5678,13.0181,12.9263,18.288,10.5671,11.938,13.0044,20.0685,12.0635,13.9103,20.1968,21.0627,32.2712,22.4285,10.8628,16.3437,14.7412,3.2999,,,,,
long-term-debt-capital,0.9652,0.7979,0.6777,0.5743,0.5046,0.4457,0.4019,0.3657,0.4643,0.4262,0.107,0.1027,0.1463,0.0807,0.1418,0.1261,0.1144,,,0.0108,0.0336,0.0374,0.0411,0.2598,,,,,
debt-equity-ratio,27.9412,3.9771,2.2735,1.4397,1.0869,0.858,0.7168,0.6148,0.9243,0.7918,0.1799,0.1633,0.2195,0.0984,0.1695,0.1443,0.1291,,,0.0246,0.0683,0.0691,0.0709,0.4996,,,,,
gross-margin,86.8172,91.7537,83.3207,78.2773,76.8383,75.0856,-22.9717,,,,,,,,,,,,,,,,,,,,,,
operating-margin,-156.7979,-198.6256,-367.7016,-397.7576,-586.7097,-1087.148,-1775.479,,,,,,,,,,,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-175.4888,-215.2245,-393.2033,-425.1807,-624.3205,-1155.518,-1894.667,,,,,,,,,,,,,,,,,,,,,,
net-profit-margin,-175.4888,-215.2245,-393.2033,-425.1807,-624.3204,-1155.518,-1894.667,,,,,,,,,,,,,,,,,,,,,,
asset-turnover,0.0892,0.0729,0.0399,0.0323,0.0211,0.0105,0.0055,,,,,,,,,,,,,,,,,,,,,,
inventory-turnover,0.1944,0.1086,0.1707,0.2714,0.319,0.2804,1.0685,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,0.7431,0.7505,0.6982,0.7273,0.7945,0.7504,0.9153,,,,,,,,,,,,,,,,,,,,,,
days-sales-in-receivables,121.1071,119.9204,128.9,123.7441,113.279,119.9368,98.3273,,,,,,,,,,,,,,,,,,,,,,
roe,-532.9993,-87.9819,-57.2338,-36.8599,-29.8689,-23.6514,-18.6737,-19.4157,-19.6875,-14.2001,-14.3764,-12.3572,-12.8825,-9.2095,-18.9141,-13.0488,-9.6244,-9.8966,-6.7045,-5.3851,-11.7669,-8.9685,-9.1653,5.7029,,,,,
return-on-tangible-equity,-532.9984,-87.982,-57.2338,-36.8599,-29.8689,-23.6514,-18.6737,-19.4157,-19.6875,-14.2001,-14.3764,-12.3572,-12.8825,-9.2095,-18.9141,-13.0488,-9.6244,-9.8966,-6.7045,-5.3851,-11.7669,-8.9685,-9.1653,-36.5263,,,,,
roa,-15.6462,-15.6947,-15.6973,-13.7193,-13.1567,-12.1025,-10.4684,-11.4507,-9.746,-7.7084,-11.6886,-10.2147,-10.1948,-8.0598,-15.0039,-10.6726,-8.1138,-9.4364,-6.5054,-5.0899,-10.3275,-8.1005,-8.1877,-19.6528,,,,,
roi,-18.5312,-17.7847,-18.4487,-15.6904,-14.7964,-13.1089,-11.1684,-12.3158,-10.5457,-8.1479,-12.8377,-11.0886,-10.9972,-8.4663,-16.2323,-11.4036,-8.5236,-9.8966,-6.7045,-5.327,-11.371,-8.633,-8.7887,-27.035,,,,,
book-value-per-share,0.188,1.0883,1.9102,2.9009,3.8627,4.9066,5.9152,6.9202,5.4294,6.3745,5.231,5.9062,5.0144,5.5967,4.1216,4.8209,5.3719,5.8444,6.3759,6.7603,3.8262,4.2324,4.5731,12.7233,,,,,
operating-cash-flow-per-share,-2.8804,-2.0616,-0.9997,-4.2494,-3.1139,-2.1759,-1.1957,-3.2649,-2.065,-1.3272,-0.6748,-2.4695,-1.5072,-1.1169,-0.6489,-1.8118,-1.3002,-0.8865,-0.4652,-1.6658,-1.0761,-0.785,-0.8498,-20.4293,-16.0417,-11.288,-6.3755,,
free-cash-flow-per-share,-2.9097,-2.0897,-1.0278,-4.272,-3.1321,-2.1908,-1.2045,-3.3299,-2.124,-1.38,-0.7069,-2.8032,-1.8039,-1.4557,-0.7923,-2.0536,-1.4125,-0.9529,-0.49,-1.7236,-1.097,-0.789,-0.8557,-20.9343,-16.5307,-11.6668,-6.3823,,
