,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,2.808,2.3079,1.8494,6.3703,8.6809,10.1558,3.8718,3.631,3.8339,3.2553,2.8712,3.5292,3.3424,4.7049,6.6745,6.4697,12.0313,9.0949,11.4949,13.0666,19.8086,15.4469,8.4729,3.3059,5.153,0.522,0.9977,1.2326,1.0151,1.383,1.813,3.8193,3.2637,3.4395,1.3972,1.9016,1.9699,1.3118,1.608,1.0594,0.8079,0.939,1.8562,2.8342,5.6902,8.9585,11.4777,8.7369,10.9199,19.6249,28.3744,9.8539,18.1311,13.9475,13.4011,22.2779,25.8533,16.75
long-term-debt-capital,,,,0.0216,0.0208,0.0191,0.0313,0.0279,0.0259,0.0254,0.0249,0.026,0.0475,0.0058,0.0052,0.0049,0.0045,0.0045,0.0048,0.0045,0.0044,0.0045,0.0123,0.0414,0.0339,0.2454,0.1439,0.1941,0.2014,0.1561,0.12,0.0461,0.0504,0.0408,,,,,,0.0933,0.12,0.539,0.3021,0.0558,,,,,,,,,,,,,,
debt-equity-ratio,,,,0.0244,0.0234,0.0214,0.0354,0.0313,0.0289,0.0282,0.0276,0.0287,0.0559,0.0088,0.0076,0.0069,0.0062,0.006,0.0063,0.0062,0.0058,0.0112,0.0282,0.0895,0.0694,0.6172,0.3195,0.2766,0.2774,0.2032,0.1496,0.0483,0.0531,0.0425,0.0686,0.0619,0.0608,0.1454,0.1548,0.2525,0.3406,1.5196,0.551,0.1249,,,,,,,,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,160.1357,44.1694,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
operating-margin,43.5532,45.7144,31.5834,-99.2369,-2188.654,-2312.487,-393.5628,-117.6322,-61.1631,-68.2138,-341.3561,-69744.38,-48863.11,-48605.38,-44208.61,-57673.75,-12924.21,-67731.98,-14708.8,-51095.57,-29028.8,-25628.57,-16021.44,-18283.66,-14605.41,-12320.66,-3024.866,-12293.67,-14197.33,-15580.02,-16858.83,,,,-1126.419,,,,-1458.937,-1857.65,-87.5287,-2204.24,-1222.175,19330.03,-4204.656,-940.794,-1670.168,-1341.409,-2793.425,202131.1,-40332.13,3873.024,-1836.907,-10319.29,-1628.979,-1632.968,-1618.793,-2148.87
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,47.6284,49.6321,34.7316,-95.5919,-2145.526,-2289.454,-376.0556,-123.1324,-59.0821,-67.2446,-276.8553,-71102.66,-49063.34,-47579.11,-44032.95,-56555.82,-12877.62,-65563.41,-13221.25,-51257.68,-26574.74,-31960.46,-24424.53,-31554.43,-14120.29,-15862.13,-3006.433,-12801.59,-17195.86,-17867.62,-11213.7,,,,-947.6711,,,,-1506.512,-1828.948,-95.3085,-2235.199,-1131.044,19446.71,-4155.729,-906.634,-1588.589,-1274.801,-2755.16,193256.4,-37508.32,3545.733,-1695.579,-9772.323,-1557.778,-2087.255,-1333.554,1150.023
net-profit-margin,47.6284,49.6321,34.7316,-95.6132,-2145.526,-2289.454,-376.0556,-123.1599,-59.0821,-67.2446,-276.8553,-71110.33,-49063.34,-47579.11,-44032.95,-56561.29,-12877.62,-65563.41,-13221.25,-51269.59,-26580.39,-31868.62,-24293.29,-31296.42,-13894.88,-15446.71,-2901.695,-12145.56,-16677.82,-17072.75,-10374.43,,,,-485.4754,,,,-1043.39,-1844.532,-96.0286,-2244.549,-1144.393,14479.18,-3187.364,-785.7454,-1299.151,-1310.074,-2004.107,166995.1,-33422.02,6902.946,-1669.76,-9033.99,-1242.358,-1399.469,-1711.271,793.5811
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,20.8876,3.5872,10.938,34.3795,48.5726,39.9144,23.4096,128.5276,9.9673,15.471,72.7583,0.4167,,,,,,,1.3445,,,,0.4582,0.5833,0.1635,,1.2765,2.2663,0.0707,0.0134,0.0118,,,,0.0551,,,,1.1143,1.2738,6.6529,1.3961,0.6954,-0.6905,1.4958,1.465,0.9992,2.1106,1.6036,-1.6805,0.298,-1.2794,6.7318,1.3626,6.8801,6.2866,1.9003,2.0272
days-sales-in-receivables,4.3088,25.0894,8.2282,2.6178,1.8529,2.2548,3.8446,0.7002,9.0295,5.8173,1.237,216.0,,,,,,,66.94,,,,196.4325,154.2857,550.4092,,70.5048,39.7132,1272.413,6708.287,7616.905,,,,1632.88,,,,80.7689,70.6521,13.5279,64.4662,129.4292,-130.337,60.1688,61.4334,90.0737,42.6411,56.1245,-53.5569,301.9771,-70.3458,13.3694,66.0522,13.0812,14.3161,47.3613,44.3959
roe,9.0113,11.9104,7.0188,-11.294,-15.3362,-13.0891,-18.802,-13.2651,-6.1644,-6.4739,-12.4332,-23.3805,-32.681,-28.1576,-20.8561,-22.5692,-12.1887,-19.8923,-15.4933,-13.5072,-6.2572,-7.3773,-13.2069,-53.6436,-18.5481,-184.5416,-62.867,-63.5799,-97.528,-48.2735,-17.0588,-23.4522,-18.3993,-8.8965,-38.5085,-8.8017,0.8922,-26.5519,-34.0587,-70.6224,-67.5725,-1297.113,-158.7333,-70.3776,-59.4443,-28.4621,-21.3028,-26.4105,-36.9908,-25.2231,-12.2907,-15.5772,-10.9275,-12.6082,-13.4455,-10.9805,-8.1215,7.1736
return-on-tangible-equity,9.7683,13.078,7.8592,-14.065,-18.9003,-15.8174,-26.3136,-17.7593,-8.0401,-8.3899,-16.0142,-30.4931,-54.1115,-41.6599,-28.337,-29.1763,-15.1079,-24.207,-15.6004,-13.5902,-6.3669,-7.5045,-13.7555,-61.3714,-20.5566,792.3501,-165.1924,-139.1705,-220.9845,-62.7995,-20.6671,-27.2001,-22.155,-10.4854,-53.1002,-11.7886,1.1564,-45.9001,-53.4792,-137.4804,-151.6368,1446.203,-193.5476,-90.6336,-79.6664,-33.4752,-24.4144,-29.732,-40.9146,-29.0758,-14.3491,-18.1293,-13.955,-15.6342,-17.4318,-13.6038,-9.3753,10.2345
roa,6.0374,7.1561,3.5305,-9.6376,-13.8225,-11.72,-14.9612,-10.3123,-4.7964,-4.7627,-8.3781,-17.3333,-22.7054,-22.0023,-17.2959,-18.705,-10.976,-17.6649,-13.9236,-12.2636,-5.9131,-6.9002,-11.5282,-36.9815,-14.89,-55.8781,-31.3878,-33.8865,-49.9741,-27.8056,-11.6492,-18.5453,-14.6328,-7.1363,-18.4758,-5.7552,0.578,-18.75,-24.4342,-44.5432,-30.6106,-51.8037,-51.5707,-50.1771,-40.7156,-21.8596,-16.5141,-23.2708,-33.4241,-22.9471,-10.7786,-13.8381,-10.131,-11.5216,-12.1211,-9.879,-7.5263,6.1313
