,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31
current-ratio,1.3575,1.4344,1.4886,1.6842,1.5675,1.5932,1.7168,1.8588,2.0859,1.8941,1.782,1.9384,1.84,1.7373,2.1487,1.7153,1.6347,,,,,,
long-term-debt-capital,0.6332,0.6278,0.6215,0.609,0.5729,0.5706,0.5642,0.561,0.557,0.8505,0.8137,0.8133,0.8105,0.8087,0.8197,0.8048,0.9876,,,,,,
debt-equity-ratio,1.7629,1.7267,1.6815,1.5955,1.3754,1.3626,1.3277,1.313,1.2856,5.7848,4.4579,4.4421,4.3686,4.3191,4.6398,4.2136,81.1011,,,,,,
gross-margin,21.8805,23.5743,21.761,26.7583,22.6873,22.1026,20.4231,26.424,19.4691,24.9351,25.9397,29.9849,28.756,27.9028,26.3489,30.4373,29.5402,30.6103,30.5029,,40.5305,,
operating-margin,13.0531,12.4607,11.9002,-10.5592,10.407,9.9633,10.017,17.453,-0.5125,13.0878,14.5784,22.3548,15.1577,17.5876,12.8354,8.0236,18.4784,17.6101,17.1101,,25.7578,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,2.9425,2.0431,1.2476,-18.6224,1.8039,1.7407,1.6776,15.8177,-6.2702,4.2098,5.7792,13.9536,4.4715,8.5311,4.5407,-46.0486,7.3878,6.3665,5.6192,,10.997,,
net-profit-margin,-5.4867,-6.4212,-6.8618,-31.809,-6.753,-6.2758,-6.1512,-8.6943,-10.3752,-1.5505,-0.9623,5.5101,-0.8271,0.7318,-2.6921,6.3569,-1.303,-2.3305,-3.0168,,-9.0534,,
asset-turnover,0.0919,0.0911,0.0854,0.105,0.0949,0.0952,0.0895,0.0996,0.0666,0.1079,0.125,0.1328,0.1257,0.1309,0.1213,0.1251,0.1267,,,,,,
inventory-turnover,7.9527,7.7364,7.4452,8.2887,7.5361,7.442,6.8044,7.535,5.5409,7.2929,7.2231,7.4451,7.496,8.0541,7.4082,7.1578,6.8219,,,,,,
receiveable-turnover,1.4913,1.4753,1.4134,1.5967,1.5105,1.577,1.4938,1.5983,1.1298,1.3393,1.3127,1.3872,1.3653,1.4213,1.4285,1.4725,1.4462,,,,,,
days-sales-in-receivables,60.3518,61.0036,63.678,56.365,59.5823,57.0692,60.249,56.31,79.6593,67.197,68.5622,64.8804,65.9207,63.3226,63.0018,61.1214,62.2325,,,,,,
roe,1.083,0.7751,0.3228,-9.7394,0.1628,0.3428,0.3909,0.0723,0.1248,3.6851,4.5124,11.7345,4.515,7.1085,3.5441,12.1151,79.9258,,,,,,
return-on-tangible-equity,-0.5276,-0.3982,-0.1754,5.4084,-0.1082,-0.2336,-0.2824,-0.0556,-0.1062,-0.8962,-1.1244,-2.9799,-1.1353,-1.7853,-0.88,-3.102,-1.0091,,,,,,
roa,0.2217,0.1656,0.0717,-2.2887,0.0439,0.0938,0.111,0.0209,0.0374,0.4352,0.6299,1.6529,0.6374,1.0071,0.4703,1.7151,0.7287,,,,,,
roi,0.2872,0.2121,0.0912,-2.87,0.0541,0.1156,0.1356,0.0254,0.0447,0.5508,0.8406,2.1907,0.8556,1.3598,0.6389,2.3652,0.9929,,,,,,
book-value-per-share,28.1218,28.7175,29.4031,29.839,32.3092,32.6596,33.5294,34.2477,34.9816,6.4642,6.5517,6.6958,6.5443,6.4671,6.0263,6.1866,0.5092,,,,,,
operating-cash-flow-per-share,2.1548,0.9774,0.4267,3.0107,2.063,1.4495,0.6249,2.503,1.3763,1.1729,0.7262,2.5988,1.9338,1.5383,0.5257,2.255,1.881,0.9667,0.2968,,0.9222,,
free-cash-flow-per-share,1.48,0.6834,0.206,2.182,1.8839,1.3308,0.4166,1.8904,0.9497,0.8592,0.5939,1.7873,1.3429,1.1155,0.2799,1.3624,1.3158,0.6065,0.1264,,0.8138,,
