,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31
current-ratio,7.6901,9.2029,7.9669,12.0454,16.4187,7.4275,9.2961,9.1253,5.6184,6.4781,8.417,7.5235,7.9194,12.7066,16.5547,20.0912,25.0807,31.8456,45.2634,27.719,17.235,14.7966,16.3397,10.2822,13.9614,13.0222,18.7678,7.4847,8.8286,8.5502,8.1454,14.738,45.1051,14.8916,45.4272,8.4835,,,,
long-term-debt-capital,0.0592,0.0543,0.0524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1227,0.0937,0.0985,,,,
debt-equity-ratio,0.0834,0.0738,0.0695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1399,0.1033,0.2142,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-margin,-614.3465,-639.6104,-729.3694,-704.7391,-526.715,-844.1889,-467.6577,-370.3505,-468.12,-575.0514,-2035.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-591.1132,-601.1039,-696.4993,-669.9331,-502.5898,-834.0585,-455.7924,-360.4694,-462.7712,-579.3376,-2035.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-profit-margin,-590.7587,-600.7468,-696.3192,-700.4285,-502.4499,-833.0019,-455.7924,-90.7053,-461.4213,-576.3913,-2035.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.4372,1.061,1.3006,1.537,1.6549,1.5139,1.575,1.4581,1.8992,2.1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
days-sales-in-receivables,62.6235,84.8279,69.1969,58.5542,54.3835,59.448,57.1445,61.7244,47.388,42.4863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roe,-15.9724,-10.5909,-14.2153,-12.419,-9.3862,-30.0851,-15.8711,-2.6587,-26.0371,-24.0539,-20.5199,-14.4547,-12.8537,-10.0956,-10.055,-6.5253,-5.2774,-5.3051,-5.7334,-10.6355,-23.3469,-12.1727,-18.1354,-24.6879,-16.2468,-15.2837,-10.5993,-21.2862,-25.5041,-29.1588,-29.6829,-54.613,-11.1127,-73.7902,-21.7239,-81.8846,,,,
return-on-tangible-equity,-21.763,-13.9048,-18.194,-15.4785,-11.4673,-56.4784,-26.7504,-4.2074,-223.342,-91.2867,-53.0689,-30.194,-23.9102,-17.2296,-16.244,-10.0492,-7.9007,-7.7807,-8.6207,-37.005,-223.8905,-12.1727,-18.1354,-24.6878,-16.2467,-15.2836,-10.5992,-21.2862,-25.5041,-29.1588,-29.6829,-54.613,-11.1127,-73.7902,-21.7239,-81.8846,,,,
roa,-11.1912,-7.6613,-10.4402,-9.7599,-7.6102,-18.8221,-10.4146,-1.7764,-10.9266,-11.0763,-10.374,-11.7675,-10.6061,-8.6618,-8.8294,-5.7933,-4.7388,-4.7977,-5.1645,-8.746,-18.2473,-11.3503,-17.0259,-22.2874,-15.0833,-14.1103,-10.0346,-18.4432,-22.6163,-25.7496,-26.0396,-50.9083,-10.8664,-60.4097,-19.2567,-65.1314,,,,
