,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
current-ratio,5.3028,5.9629,6.8856,6.5643,8.2074,8.8816,10.7497,4.6899,5.9959,6.457,6.1491,6.3313,7.7041,7.1979,7.3126,6.3782,7.4697,8.6321,10.0097,5.8856,7.0562,5.4922,5.059,4.5965,5.3193,2.7727,,,,,
long-term-debt-capital,0.1943,0.1713,0.0962,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.2574,0.2187,0.1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,98.4899,98.8444,98.895,97.661,95.427,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,
operating-margin,-419.0747,-434.2359,-322.5031,-321.0475,-652.4675,-180.5043,-1072.951,-919.7874,-695.6947,-745.6372,-638.0566,-253.4837,-706.867,-809.2577,-75.426,-657.7196,-738.5949,-243.082,-15.1892,-182.6114,9.4631,-217.9289,-146.0468,-181.5243,-176.5954,-136.0243,-112.4122,,-81.5252,-97.376,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-407.981,-419.0191,-307.93,-305.8475,-622.8715,-170.1019,-1036.578,-900.9592,-679.1425,-732.2581,-629.6726,-249.4083,-699.3211,-801.8487,-74.16,-653.2808,-734.6168,-241.2966,-14.4933,-182.0306,9.6047,-217.5247,-145.6188,-181.0943,-176.388,-135.9445,-112.2846,,-81.3178,-97.0261,
net-profit-margin,-407.981,-419.0191,-307.93,-305.8475,-622.8715,-170.1019,-1036.578,-900.9592,-679.1425,-732.2581,-629.6726,-249.4083,-699.3211,-801.8486,-74.16,-653.2811,-734.6168,-241.2966,-14.4933,-182.1809,10.9263,-217.5246,-145.6188,-183.6002,-187.3644,-166.2093,-143.9853,,-45.4212,-116.2691,
asset-turnover,0.0373,0.0335,0.0368,0.035,0.0164,0.0405,0.0084,0.0159,0.0165,0.0149,0.0189,0.0366,0.0134,0.0125,0.079,0.0148,0.0122,0.0279,0.0721,0.0298,0.1257,0.0309,0.0462,0.0335,0.0286,0.0563,,,,,
inventory-turnover,0.0672,0.065,0.1435,0.8078,0.8053,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,2.0965,1.7968,2.8749,2.8743,1.8247,1.8939,1.7776,2.67,2.2433,2.0185,0.714,2.7241,0.7766,0.7072,4.2357,0.5361,0.454,0.839,2.4565,1.1554,1.5,2.1898,1.1822,14.1681,,,,,,,
days-sales-in-receivables,42.9285,50.0885,31.3051,31.3124,49.3229,47.5209,50.6289,33.7075,40.1189,44.5875,126.0497,33.0387,115.8831,127.2614,21.2477,167.8852,198.2299,107.2729,36.6373,77.8922,60.0,41.0998,76.1324,6.3523,,,,,,,
roe,-23.684,-20.6262,-15.0064,-13.3511,-12.4523,-8.3515,-10.4928,-23.5111,-17.149,-16.3229,-21.5258,-15.7522,-15.6518,-19.3557,-6.9795,-11.7702,-10.7164,-7.8921,-1.1614,-6.2833,1.7829,-9.123,-10.0937,-9.4173,-7.8383,9.9024,,,,,
return-on-tangible-equity,-23.6839,-20.6262,-15.0064,-13.3511,-12.4523,-8.3515,-10.4928,-23.5111,-17.149,-16.3229,-21.5258,-15.7522,-15.6518,-19.3557,-6.9795,-11.7702,-10.7164,-7.8921,-1.1614,-6.2833,1.7829,-9.123,-10.0937,-9.4173,-7.8383,-29.8559,,,,,
roa,-15.1976,-14.0165,-11.3216,-10.6929,-10.189,-6.8867,-8.7321,-14.3694,-11.2248,-10.9232,-11.8723,-9.124,-9.3497,-10.0346,-5.8564,-9.6702,-8.9642,-6.7239,-1.045,-5.4206,1.3738,-6.7257,-6.7329,-6.1539,-5.102,-7.7482,,,,,
roi,-19.0826,-17.0939,-13.563,-13.3511,-12.4523,-8.3515,-10.4928,-23.5111,-17.149,-16.3229,-21.5258,-15.7522,-15.6518,-19.3557,-6.9795,-11.7702,-10.7164,-7.8921,-1.1614,-6.2833,1.7829,-9.123,-10.0937,-9.4173,-7.8383,-29.8559,,,,,
book-value-per-share,7.6139,9.067,10.5738,11.8095,13.0693,14.2085,15.0428,7.6906,9.2518,10.5281,7.2524,8.4934,9.5554,7.6013,8.77,9.1551,9.9896,10.806,11.4462,11.4381,5.9969,5.8258,3.812,4.2138,4.5889,7.6584,,,,,
operating-cash-flow-per-share,-4.7108,-3.2598,-1.7667,-5.3018,-3.9673,-2.8827,-1.7776,-6.1225,-4.3496,-2.8465,-1.752,0.9856,2.3292,3.6572,-0.502,-2.0559,-1.2376,-0.5788,-0.6875,-1.7629,-1.4095,-0.8366,-0.8613,-3.6588,-1.8811,-7.4679,-3.2753,,-11.0262,-7.8976,
free-cash-flow-per-share,-4.8017,-3.3161,-1.8016,-5.4235,-4.0695,-2.9311,-1.8033,-6.2218,-4.4187,-2.8749,-1.7589,0.7322,2.1037,3.5185,-0.5689,-2.5946,-1.717,-0.972,-0.7895,-1.8288,-1.4294,-0.8395,-0.8617,-3.7427,-1.9283,-7.7301,-3.3505,,-11.4475,-7.9893,
