,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-09-30
current-ratio,7.1766,6.5119,7.7199,5.1611,,,,,
long-term-debt-capital,0.0283,0.048,0.045,0.075,,,,,
debt-equity-ratio,0.048,0.0793,0.0711,0.1091,,,,,
gross-margin,16.2206,13.0412,-3.1761,-8.1956,-14.7072,-31.2845,-73.8465,,
operating-margin,-206.7721,-193.7228,-199.243,-234.3524,-267.3292,-269.5102,-388.3839,,
ebit-margin,,,,,,,,,
pre-tax-profit-margin,-204.8676,-190.669,-196.6237,100.0,-268.3535,-272.9484,-391.4908,,
net-profit-margin,-205.2647,-191.2886,-196.9979,-235.5418,-269.4389,-273.6458,-392.6965,,
asset-turnover,0.0658,0.0967,0.0699,0.0726,,,,,
inventory-turnover,2.0731,2.6498,2.1322,1.5083,,,,,
receiveable-turnover,1.1627,1.695,1.6469,1.5514,,,,,
days-sales-in-receivables,77.4066,53.0958,54.6485,58.0124,,,,,
roe,-15.8611,-22.4567,-16.3345,9.8311,,,,,
return-on-tangible-equity,-16.0155,-22.8019,-16.5493,-22.7059,,,,,
roa,-13.4987,-18.5011,-13.7662,-17.1015,,,,,
roi,-15.4128,-21.3778,-15.6,-20.5673,,,,,
book-value-per-share,5.4201,4.1208,4.9476,27.7795,,,,,
operating-cash-flow-per-share,-2.132,-1.5236,-1.1301,-21.9509,-17.3572,-12.182,-6.0713,,
free-cash-flow-per-share,-2.4905,-1.7277,-1.2302,-23.1686,-18.2779,-12.9326,-6.644,,
