,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31
current-ratio,0.7964,0.6564,0.6894,0.693,0.6595,0.6797,0.6613,0.6745,0.679,0.793,0.8552,0.7903,0.7697,,,,,,
long-term-debt-capital,0.0624,0.0623,0.1409,0.1502,0.1981,0.2422,0.2884,0.3152,0.2629,0.2195,0.2201,0.2274,0.2312,,,,,,
debt-equity-ratio,0.0665,0.0665,0.164,0.1767,0.2471,0.3501,0.4376,0.4929,0.3848,0.305,0.3039,0.3147,0.3007,,,,,,
gross-margin,62.5015,62.9493,62.5841,64.6332,65.1219,63.8671,62.9985,50.6851,51.968,51.0855,52.0641,52.8154,52.4847,53.5327,52.8237,,54.67,,
operating-margin,13.8694,16.4682,12.8997,15.9623,15.0168,13.7207,12.3371,13.6996,15.5437,15.3263,14.9553,11.9084,11.7042,13.3209,12.9225,,7.8095,,
ebit-margin,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,13.6262,16.1099,12.2835,15.2617,14.2028,12.6452,10.8274,12.135,13.69,13.5064,12.9236,0.2088,7.0344,7.7269,5.9858,,0.5514,,
net-profit-margin,11.0882,12.8232,9.5636,11.8476,10.7697,9.7376,8.9228,10.0202,8.8853,8.9939,7.9232,-0.0194,4.6717,4.6832,3.4623,,-0.1444,,
asset-turnover,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.5425,1.4287,1.5486,1.4396,1.6554,1.4744,1.4738,1.3563,1.481,1.3855,1.2957,1.357,1.3159,,,,,,
days-sales-in-receivables,58.3478,62.9946,58.1155,62.5168,54.3681,61.0414,61.0685,66.3559,60.7695,64.9597,69.4625,66.3233,68.3956,,,,,,
roe,3.4649,4.1721,3.087,3.8597,3.4388,3.0677,2.8471,2.2424,1.7866,1.5729,1.3603,-0.0034,0.8248,,,,,,
return-on-tangible-equity,-86.3569,-42.4265,-18.492,-16.205,-10.9587,-8.0875,-6.0313,-4.4073,-4.4898,-5.5768,-5.0695,0.0113,-2.5284,,,,,,
roa,2.236,2.7,1.9074,2.3515,2.0324,1.7113,1.4954,1.1876,1.0361,0.9913,0.8743,-0.0021,0.5157,,,,,,
roi,3.2488,3.9122,2.652,3.2801,2.7574,2.3248,2.026,1.5357,1.3169,1.2277,1.0608,-0.0027,0.6341,,,,,,
book-value-per-share,19.216,18.3333,17.4059,16.534,15.7747,15.1943,14.4759,14.1971,14.711,15.3014,15.2665,15.0188,14.9951,,,,,,
operating-cash-flow-per-share,3.8305,2.1567,0.912,4.2421,3.1553,1.7631,0.6392,2.4445,1.7476,0.7283,-0.0163,2.525,1.6657,0.6242,0.387,,1.8267,,
free-cash-flow-per-share,3.5093,1.9964,0.8444,3.808,2.8166,1.496,0.5308,2.1502,1.5359,0.5809,-0.1216,2.1524,1.4572,0.4508,0.281,,1.6775,,
