,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
current-ratio,16.7489,17.537,23.8827,24.2229,34.5703,33.0974,28.3017,15.5625,17.4384,21.9659,7.7833,6.3976,8.5867,8.9478,6.9525,6.0984,7.9527,8.9411,11.537,8.6858,13.1428,18.6546,21.8323,2.1426,3.1274,,,,,
long-term-debt-capital,0.0173,0.0173,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,0.0223,0.0219,0.0212,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,,,,,,,,,,,,,100.0,,,100.0,,100.0,,,,100.0,,100.0,100.0,100.0,100.0,,,
operating-margin,,,,,,,,,,,,,-42631.12,,,-25124.69,,51.8421,,,,53.6648,,-4995.788,-7039.815,-6349.559,12.0476,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,,,,,,,,,,,,,-42457.8,,,-25108.22,,51.8553,,,,53.6932,,-4995.765,-7039.784,-6349.748,12.0729,,,
net-profit-margin,,,,,,,,,,,,,-42457.8,,,-25108.22,,51.8553,,,,53.1824,,-4995.765,-7039.784,-6349.748,12.0729,,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,,,,,,,,,,,,,,,,,,1.0018,,,,,,,,,,,,
days-sales-in-receivables,,,,,,,,,,,,,,,,,,89.8411,,,,,,,,,,,,
roe,-7.9314,-8.8653,-7.3052,-6.7685,-5.3074,-4.9469,-4.8365,-7.7341,-7.3229,-7.0533,-24.8738,-23.593,-18.813,-16.5141,-21.7297,-21.9455,-14.7173,18.8146,-16.027,-14.5539,-11.4673,12.5098,-9.2167,-134.4367,-57.0742,,,,,
return-on-tangible-equity,-7.9314,-8.8653,-7.3052,-6.7685,-5.3074,-4.9469,-4.8365,-7.7341,-7.3229,-7.0533,-24.8738,-23.593,-18.813,-16.5141,-21.7297,-21.9455,-14.7173,18.8146,-16.027,-14.5539,-11.4673,12.5098,-9.2167,-133.0159,-56.805,,,,,
roa,-7.3436,-8.2303,-6.889,-6.4732,-5.1406,-4.7853,-4.6531,-7.1999,-6.864,-6.6944,-21.3356,-19.6483,-16.3603,-14.4727,-18.562,-18.327,-12.8594,16.745,-14.6698,-12.9119,-10.5997,11.8362,-8.7866,-73.1967,-38.7082,,,,,
roi,-7.7944,-8.712,-7.1807,-6.7685,-5.3074,-4.9469,-4.8365,-7.7341,-7.3229,-7.0533,-24.8738,-23.593,-18.813,-16.5141,-21.7297,-21.9455,-14.7173,18.8146,-16.027,-14.5539,-11.4673,12.5098,-9.2167,-133.0159,-56.805,,,,,
book-value-per-share,3.8533,4.134,4.4649,4.7604,5.0559,5.2954,5.6022,3.4837,3.3162,3.5283,1.3366,1.5183,1.8103,2.1223,1.8032,2.1245,2.5584,2.9034,2.3337,2.6823,3.0543,3.3814,2.9472,2.0374,5.2121,,,,,
operating-cash-flow-per-share,-0.9052,-0.5961,-0.3324,-1.0557,-0.7744,-0.5435,-0.2904,-1.0127,-0.6539,-0.5569,-0.3859,-1.3987,-1.0316,-0.8238,-0.4839,-0.4335,-0.0675,-0.7337,-0.4591,-0.232,0.0991,0.3274,-0.1501,-12.9925,-8.0844,-6.9599,-0.3483,,,
free-cash-flow-per-share,-0.9083,-0.5988,-0.3333,-1.0588,-0.776,-0.5445,-0.2909,-1.0227,-0.6619,-0.5652,-0.3886,-1.4319,-1.0431,-0.8258,-0.4848,-0.4477,-0.0815,-0.744,-0.4592,-0.2436,0.0887,0.3227,-0.1509,-13.0612,-8.1408,-6.9922,-0.3489,,,
