,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31
current-ratio,3.953,4.7541,8.6229,7.8793,8.6578,8.582,8.6573,6.9571,6.99,7.842,9.8134,5.4215,1.6035,1.7149,1.7013,1.6863,1.603,1.5785,1.6104,1.5303,1.4734,1.6131,0.8099,0.8754,0.9548,7.6722,10.1582,4.3036,4.2934,6.5684,3.25,2.59,2.4342,3.0668,3.2562,1.9026,,,,,
long-term-debt-capital,0.4962,0.4967,0.497,0.475,0.4878,0.4937,0.501,0.497,0.5074,0.5078,0.4957,0.3318,,,,,,,,,,,,,,0.621,0.5787,0.2767,0.2366,0.207,0.3882,0.2775,0.5976,0.4702,0.3859,3.0782,,,,,
debt-equity-ratio,0.9995,1.0051,1.0052,0.9057,0.9534,0.9762,1.0054,0.9893,1.0311,1.0329,0.9857,0.4966,0.5023,0.4659,0.4652,0.4764,0.5019,0.532,0.5659,0.6024,0.6582,0.6828,2.8001,2.3991,1.9937,1.6383,1.3735,0.3825,0.3099,0.261,0.6712,0.5299,1.836,1.0999,0.8071,-1.5469,,,,,
gross-margin,78.6942,75.4386,70.0996,74.7895,77.1534,75.1317,69.3259,73.0709,72.9294,66.4322,64.5209,67.599,36.8708,66.8969,69.0289,71.9749,74.441,67.9972,69.8539,69.304,60.8227,57.6932,50.5564,45.2509,36.4074,40.4119,1.6916,7.445,-9.4391,45.8441,16.7735,-55.881,15.1416,14.3289,5.0738,4.5641,21.1606,6.743,21.6973,,
operating-margin,2.305,5.1411,1.1817,12.8928,4.8509,7.777,-9.2981,10.7046,-5.3048,-22.246,-20.2791,-3.3758,-30.5245,-9.2533,-3.4426,-1.1728,8.2121,3.0736,5.7291,12.817,-1.8925,-6.0257,-25.2523,-29.2575,-55.0926,-70.0659,-160.9131,-151.4737,-185.0813,-53.6779,-142.7089,-347.5437,-220.7533,-234.626,-184.3645,-275.6276,-142.3433,-184.2226,-96.4674,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-5.5557,1.0984,-2.7575,8.7505,-0.8412,3.0901,-14.2681,5.855,-11.2156,-27.7906,-28.6304,-5.4786,-32.3722,-11.3441,-5.8374,-3.7594,5.4121,0.0795,2.2498,9.6694,-5.7716,-10.6795,-31.3049,-35.6215,-63.5625,-81.8564,-203.5039,-156.4211,-185.5409,-67.2067,-152.409,-360.9353,-240.3438,-241.0066,-253.0417,-321.3145,-174.316,-223.0115,-112.709,,
net-profit-margin,-5.8146,2.6607,-3.0346,8.7105,-0.7669,3.0485,-14.315,5.8107,-11.2824,-27.8329,-28.6737,-5.4498,-32.4248,-11.4273,-5.8863,-3.6036,4.9604,0.0135,2.1606,9.3894,-5.7716,-10.6795,-31.3049,-35.6215,-63.5625,-81.8564,-199.6893,-156.4211,-185.5409,-67.2067,-152.409,-360.9353,-240.3438,-241.0066,-253.0417,-321.497,-174.316,-223.0115,-112.709,,
asset-turnover,0.1296,0.1302,0.127,0.138,0.1266,0.1309,0.1199,0.1258,0.1111,0.1171,0.1155,0.1862,0.1793,0.1738,0.1674,0.1788,0.1686,0.1666,0.1741,0.1895,0.1704,0.1615,0.224,0.1976,0.1349,0.0961,0.0626,0.0933,0.0639,0.0864,0.0828,0.0373,0.051,0.0417,0.0395,0.0329,,,,,
inventory-turnover,0.3703,0.4782,0.5806,0.4937,0.4248,0.4974,0.5715,0.5142,0.466,0.7086,0.811,0.7552,1.1515,0.3784,0.3181,0.3151,0.2833,0.3881,0.4848,0.6482,0.8618,1.0396,1.1798,1.1812,0.9478,0.7182,1.0586,0.8009,0.78,0.7189,1.279,5.3012,2.0138,1.6534,2.0624,1.3209,,,,,
