,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-10-31,2015-09-30,2015-07-31,2015-06-30,2015-04-30,2015-03-31,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
current-ratio,1.1655,0.9539,0.8687,1.0736,1.6517,1.5072,1.8457,2.1424,2.0262,1.9605,2.0402,2.3227,2.0427,1.9259,1.7918,,3.9768,,7.2616,,,,8.5607,8.7833,8.9066,,8.2419,7.9233,7.5717,,8.9459,7.4794,8.6194,,7.1783,4.9258,6.0842,,5.3144,6.2578,6.1414,,5.7279,6.1497,5.8608,,5.8895,6.6846,8.156,,0.8966,0.8118,0.8133,,0.8127,0.886,0.9304,,5.4266,5.5495,3.0018,,4.2057
long-term-debt-capital,0.1752,0.1301,0.1128,0.0849,0.0571,0.0275,0.0338,0.033,0.0362,0.0365,0.042,0.0422,0.0477,0.0437,0.05,,0.0288,,0.029,,,,,0.0059,0.0055,,0.0202,,0.0178,,0.0191,,,,0.0323,0.0359,0.0369,,,0.0423,0.0551,,0.1853,0.3096,0.5725,,0.8055,0.9582,1.056,,,,,,,,,,0.9609,0.8789,,,
debt-equity-ratio,0.2584,0.1749,0.1537,0.1119,0.088,0.0903,0.1008,0.0804,0.0647,0.0681,0.07,0.072,0.0796,0.0834,0.094,,0.0296,,0.0298,,,,,0.0059,0.0055,,0.0206,,0.0181,,0.0194,,0.0,,0.0334,0.0799,0.0797,,0.0407,0.0442,0.0583,,0.2275,0.4483,1.339,,4.1419,22.9518,-18.8514,,-8.438,-7.4506,-7.7035,,-8.0285,-25.4178,42.9671,,24.5789,7.2587,0.0506,,0.043
gross-margin,66.7905,71.1169,65.231,68.7154,64.0792,67.4659,64.731,61.8726,64.4207,66.4849,65.0938,31.0407,63.7133,59.0396,56.6946,,85.8769,85.877,88.3558,88.3559,,89.7465,90.9251,90.7844,91.0972,,90.5265,90.1198,90.4983,,91.4399,91.7882,91.6925,,92.4831,92.2513,86.8558,,87.6652,88.3037,87.8072,,87.8675,87.4314,86.1299,,86.0056,85.63,85.7204,,82.7034,84.1913,80.9057,,84.4387,88.8581,88.7306,,87.5966,86.9058,86.0056,,85.68
operating-margin,9.5905,-10.779,-8.2851,-93.0868,-2.1159,7.5155,5.004,6.8053,11.9489,10.8563,8.7058,39.9794,7.7845,6.8373,-12.5815,,-39.0279,-39.0279,26.2457,26.2458,,22.574,32.8403,35.7705,30.5583,,30.9453,31.223,19.7525,,32.6022,32.0447,28.6257,,30.0683,28.0598,21.8567,,24.8531,26.8953,26.0971,,22.1231,22.3076,16.914,,14.1309,12.5348,8.2479,,0.9041,-12.4655,-27.202,,-58.9332,-35.8992,-24.93,,-47.3526,-71.8203,-72.4104,,-3.9678
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,7.9911,-12.8286,-8.5578,-94.064,-3.2832,6.5263,8.8168,2.8356,11.6723,24.6401,9.2045,36.3514,7.2107,6.5134,-13.5621,,-39.3168,-39.3167,23.7233,23.7227,,22.767,33.1926,35.8196,30.8488,,30.9514,31.2297,19.6258,,32.4273,33.8791,21.9728,,29.6005,27.4285,22.059,,24.7338,26.3063,25.908,,22.3304,23.7755,20.9575,,28.5527,23.5111,6.362,,-3.3711,-14.0327,-28.0186,,-61.1542,-36.4748,-25.2397,,-47.3736,-70.5704,-71.7778,,-3.0989
net-profit-margin,11.9571,-10.5405,-5.9206,-70.9,-2.6378,5.2404,5.3008,-40.1242,11.0765,18.5653,4.969,-48.3955,-0.5314,2.7899,-14.0705,,-37.1609,-37.1603,15.3303,15.33,,14.1943,22.9535,23.5274,18.7751,,20.3836,19.812,12.5942,,21.0263,21.5499,13.3867,,17.4235,16.813,13.0731,,15.2756,52.5504,15.9899,,21.6774,123.1492,20.4291,,27.7783,23.1744,6.0856,,-3.402,-14.0857,-28.0768,,-61.2214,-36.5946,-25.298,,-47.3794,-70.6949,-71.8518,,-3.1179
asset-turnover,0.107,0.1057,0.0965,0.1165,0.1042,0.1107,0.0926,0.1112,0.0965,0.101,0.0957,0.0263,0.1183,0.1272,0.1096,,0.1888,,0.2395,,,,0.2391,0.2474,0.2484,,0.2533,0.2639,0.2591,,0.2504,0.2696,0.2834,,0.2757,0.2716,0.2634,,0.2269,0.247,0.2962,,0.2792,0.2694,0.3645,,0.3352,0.3204,0.2347,,0.2152,0.2196,0.2157,,0.2278,0.2275,0.2207,,0.1994,0.17,0.3198,,0.2908
inventory-turnover,0.5317,0.4746,0.5407,0.6051,0.6386,0.5926,0.5722,0.7346,0.4166,0.4189,0.4115,0.3192,0.5421,0.6823,0.5896,,0.3677,,0.3813,,,,0.3088,0.354,0.3431,,0.3572,0.3829,0.37,,0.308,0.3,0.3496,,0.2939,0.3044,0.5034,,0.3693,0.3516,0.3628,,0.36,0.37,0.3941,,0.4036,0.4116,0.3887,,0.3463,0.2963,0.3486,,0.2611,0.1984,0.2036,,0.231,0.2561,0.3346,,0.5277
receiveable-turnover,1.1046,1.0822,1.0151,1.1595,1.0784,1.0977,0.8948,0.9866,0.8001,0.8379,0.8353,0.2887,1.0384,1.0715,0.9946,,1.4818,,1.4732,,,,1.5249,1.5151,1.4909,,1.6192,1.6592,1.7249,,1.7568,1.7069,1.8995,,2.0276,1.7821,1.7713,,1.9853,1.8238,1.7902,,1.6604,1.6393,1.5423,,1.8003,1.7877,1.8551,,1.5785,1.6217,1.7196,,1.6727,1.6991,1.6661,,1.5612,1.4331,1.4941,,1.5693
days-sales-in-receivables,81.4791,83.1655,88.6572,77.6211,83.4578,81.9914,100.578,91.2251,112.4909,107.4173,107.7397,311.707,86.6706,83.997,90.4918,,60.7377,,61.0932,,,,59.0212,59.4038,60.3681,,55.5837,54.2432,52.1765,,51.2309,52.7265,47.3816,,44.3878,50.5019,50.8089,,45.334,49.3468,50.2742,,54.2024,54.9011,58.3551,,49.9921,50.3446,48.5143,,57.0161,55.4966,52.3393,,53.805,52.9697,54.017,,57.6493,62.7998,60.2362,,57.3517
roe,2.148,-1.9816,-0.9987,-13.9345,-0.3514,1.0952,0.9798,-1.7328,1.4111,2.4778,0.7624,2.0425,-0.0864,0.4911,-2.2122,,-9.0132,,4.236,,,,6.1012,6.4,5.1145,,5.7857,5.885,3.6966,,5.8752,6.6237,4.2766,,5.4852,5.4632,4.0489,,4.1508,15.642,5.9219,,8.962,57.3292,22.5454,,62.5673,226.4053,-30.9585,,6.7323,22.9272,47.4619,,117.4599,239.6691,-282.0429,,-291.6379,-119.3396,-32.7489,,-1.1577
return-on-tangible-equity,-21.447,14.7392,6.6338,93.7467,-19.9454,103.3073,7.0884,-6.3461,6.4985,12.4527,3.0698,6.0782,-0.3604,2.0668,-10.4618,,-9.363,,4.3842,,,,6.3557,6.6743,5.3435,,6.0885,6.2028,3.8633,,6.047,6.844,4.4367,,5.6376,5.6461,4.1853,,4.2694,16.1189,6.1508,,8.962,57.3292,22.5454,,62.5673,226.405,-30.9584,,6.7323,22.9272,47.4618,,117.4598,239.6694,-282.042,,-291.6375,-119.3396,-32.7489,,-1.1577
