,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-03-31,2005-12-31
current-ratio,1.9372,1.7904,1.7144,1.7111,1.6944,1.6771,1.6156,1.5405,1.4848,1.0862,1.0476,1.7614,1.8514,1.7205,1.6576,1.3069,1.3316,2.0853,2.0989,2.0147,2.0367,1.9747,2.0165,2.0116,2.053,2.1554,2.1564,1.6192,1.6772,1.8158,1.815,1.9149,1.9244,1.4072,3.0794,3.1256,2.9046,2.7542,2.518,2.3318,1.9277,1.7124,1.6373,1.8246,1.7191,1.6518,1.7376,2.1146,2.3976,2.217,2.8319,0.9236,,,
long-term-debt-capital,0.8393,0.7622,0.7539,0.7478,0.7324,0.7294,0.75,0.7265,0.7096,0.5256,0.5445,0.7813,0.7627,0.7408,0.7321,0.6441,0.6309,0.7249,0.7244,0.7239,0.7103,0.665,0.6786,0.6787,0.6786,0.6504,0.6183,0.351,0.3225,0.2805,0.2658,0.2508,0.2426,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,5.3961,3.2051,3.0635,2.9651,2.7369,2.6953,2.9997,3.459,3.2484,3.5367,3.7407,3.6475,3.2794,3.5269,3.363,3.3962,3.1931,2.6347,2.6279,2.6223,2.452,1.9849,2.1109,2.1127,2.1118,1.8605,1.6196,0.5408,0.4761,0.3898,0.3621,0.3347,0.3203,,,,,,,,,,,,,,,,,,,,,,
gross-margin,36.7762,39.1136,39.2033,37.5105,39.5277,42.1713,36.31,39.2259,41.8978,38.5257,36.4035,35.87,36.2333,39.2743,42.6884,39.0875,37.8195,39.7563,39.6452,39.2125,33.7469,37.6931,40.8713,40.7662,34.5481,32.1378,28.425,34.2329,28.6122,36.2966,35.4669,37.8142,24.3183,42.8406,49.8895,54.3192,47.9064,50.2662,48.8564,45.2958,42.7464,46.0691,49.5294,51.0245,50.896,52.8004,44.7309,53.5416,53.2644,56.635,56.556,55.8014,58.9027,41.5828,56.154
operating-margin,-4.778,2.7747,2.7911,-0.8483,-4.892,2.7183,-3.8274,-1.0137,-2.2562,2.5113,-1.303,-5.5119,-7.5683,-3.1167,5.1689,-0.1139,-8.0675,-1.4526,1.2019,-3.6585,-18.5383,-4.5754,-0.489,-0.7647,-16.0306,-14.9882,-35.487,-28.6273,-24.9299,-13.324,-12.4735,-5.123,-24.5762,-33.0471,-0.9608,6.7931,-16.1001,9.7056,5.3119,-4.009,-7.1616,0.5527,1.4062,1.0983,-7.5872,-1.1386,-1.8449,1.1357,0.2857,-0.9524,-4.7215,-27.821,2.966,-46.2209,-69.2831
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-9.7335,-0.4565,-0.9184,-4.0941,-9.0484,-1.1926,-8.2999,-4.7394,-9.481,-4.3348,-4.3027,-10.2203,-12.198,-7.5085,1.4048,-4.769,-13.7475,-5.3975,-2.5083,-9.2904,-25.1672,-9.1529,-3.8983,-4.7963,-19.2404,-20.0342,-43.3753,-31.9444,-25.7807,-17.6619,-13.2965,-9.3175,-27.4213,-33.0817,-0.9206,8.0393,-11.8551,8.6002,4.8749,-3.2658,-6.2027,1.6513,2.3442,2.396,-5.5946,0.8834,0.4442,5.3576,5.6551,4.0028,-1.9363,-27.4301,3.5977,-46.4663,-69.4155
net-profit-margin,-10.4446,-1.1923,-1.1471,-4.5349,-9.6067,-0.8314,-8.8669,-4.7035,-10.3156,-4.688,-5.1679,-10.7072,-11.4744,-7.5885,0.7181,-5.5338,-14.5329,-5.5037,-3.0426,-10.1798,-26.2803,-9.6167,-4.8022,-5.8109,-20.2672,-22.0436,-44.2301,-37.505,-29.1608,-20.1566,-14.6156,-9.7601,-26.391,-33.2079,-2.1188,7.5545,-12.1887,8.126,4.3743,-2.0516,-6.4775,2.0781,1.9837,2.3422,-5.6913,0.375,0.9939,4.5025,4.6561,1.1411,-2.1023,-27.673,5.9748,-47.1779,-70.0689
asset-turnover,0.1932,0.268,0.2542,0.265,0.2596,0.3004,0.2578,0.2424,0.2309,0.2758,0.2334,0.2108,0.2046,0.2025,0.2149,0.2301,0.1941,0.218,0.2103,0.2099,0.1792,0.206,0.1978,0.193,0.162,0.1784,0.1419,0.1871,0.1889,0.2125,0.2066,0.2163,0.2009,0.165,0.2092,0.2116,0.1501,0.2348,0.2013,0.22,0.1963,0.2143,0.2252,0.2018,0.1986,0.1727,0.2,0.1676,0.1519,0.1325,0.1163,0.1833,,,
inventory-turnover,0.4382,0.5917,0.5043,0.5351,0.4924,0.6062,0.5486,0.5358,0.4659,0.6559,0.5309,0.48,0.47,0.4972,0.5152,0.5949,0.4898,0.5775,0.5365,0.571,0.5458,0.7242,0.6041,0.6292,0.5701,0.7061,0.5475,0.5759,0.7227,0.7839,0.7719,0.7985,0.9124,0.4395,0.7973,0.6952,0.6607,1.0903,0.941,1.2398,1.1276,1.097,1.0832,1.1723,1.0307,1.0432,1.8208,1.5666,1.3296,1.1233,1.104,0.7795,,,
receiveable-turnover,0.8557,1.0494,1.0345,1.1852,1.4428,1.7242,1.2198,1.2401,1.3058,1.54,1.1174,1.2209,1.5193,1.6718,1.1787,1.6491,1.5826,1.3091,1.5888,1.5583,1.556,1.4137,1.6392,1.2691,1.2745,1.5309,1.3066,1.2255,1.4361,1.4808,1.4047,1.4395,1.2893,1.2162,1.2201,1.8169,1.035,1.628,1.43,1.5313,1.6689,1.6143,1.8522,1.408,2.2371,1.5018,1.8704,3.433,3.205,4.3537,2.4429,1.3984,,,
days-sales-in-receivables,105.1783,85.7597,86.9945,75.9394,62.3799,52.1985,73.7854,72.5775,68.9225,58.4421,80.547,73.7191,59.2388,53.8353,76.3526,54.5758,56.8692,68.7511,56.6461,57.7539,57.8394,63.6635,54.9057,70.9137,70.6181,58.7894,68.88,73.4404,62.6698,60.7771,64.0694,62.5196,69.8069,74.0036,73.7646,49.5344,86.9526,55.2841,62.9359,58.7738,53.9288,55.7528,48.5919,63.9199,40.2315,59.927,48.117,26.2158,28.0808,20.6721,36.8412,64.3599,,,
roe,-22.834,-2.8072,-2.4851,-10.0553,-19.5432,-1.9452,-19.7686,-9.6088,-19.2863,-11.2931,-11.0635,-20.0823,-18.5985,-12.0801,1.2126,-9.9016,-20.3119,-7.3898,-3.8793,-13.1565,-26.8967,-9.9535,-4.8681,-5.7167,-16.4082,-17.5177,-25.5668,-16.9154,-12.9694,-8.9269,-6.8228,-4.4427,-11.7492,-10.3838,-0.6471,2.3075,-2.7504,2.9522,1.4051,-0.7471,-2.1162,0.794,0.8259,0.9466,-2.4137,0.1461,0.4603,1.6692,1.6999,0.4002,-0.655,8.8788,,,
return-on-tangible-equity,53.9998,16.3208,10.8794,37.5131,80.43,9.4185,62.7802,48.6898,92.4699,42.9225,36.0967,63.765,98.3161,124.2801,-14.572,70.0002,175.7659,-259.0201,-326.0454,621.0035,-2410.968,-57.9045,-38.1751,-57.1533,-226.858,-120.1915,-109.1968,-46.2855,-31.0518,-19.1906,-13.8593,-8.7586,-23.1687,-20.8281,-0.6644,2.371,-2.8313,3.0395,1.4495,-0.7717,-2.1879,0.8216,0.8562,0.9831,-2.516,0.1524,0.4811,1.738,1.7746,0.4192,-0.688,12.0662,,,
roa,-2.0175,-0.3195,-0.2915,-1.2018,-2.494,-0.2498,-2.2855,-1.14,-2.3815,-1.2929,-1.2064,-2.2567,-2.3481,-1.5366,0.1543,-1.2733,-2.8207,-1.1997,-0.6399,-2.137,-4.7102,-1.9809,-0.95,-1.1214,-3.2828,-3.9323,-6.2773,-6.1383,-5.0067,-3.8462,-3.0006,-2.0899,-5.6162,-5.4752,-0.4432,1.5982,-1.8298,1.9078,0.8807,-0.4514,-1.2716,0.4454,0.4468,0.4728,-1.1301,0.0647,0.1987,0.7546,0.7072,0.1512,-0.2445,-5.073,,,
roi,-3.6693,-0.6676,-0.6116,-2.536,-5.2297,-0.5264,-4.9425,-2.6284,-5.6007,-5.3578,-5.0395,-4.392,-4.4136,-3.1311,0.3248,-3.5237,-7.4962,-2.0331,-1.0693,-3.6321,-7.7916,-3.3346,-1.5648,-1.8366,-5.2729,-6.124,-9.76,-10.9784,-8.7862,-6.4232,-5.0091,-3.3287,-8.8989,-10.3838,-0.6471,2.3075,-2.7504,2.9522,1.4051,-0.7471,-2.1162,0.794,0.8259,0.9466,-2.4137,0.1461,0.4603,1.6692,1.6999,0.4002,-0.655,13.3503,,,
book-value-per-share,0.4626,0.5634,0.5413,0.5251,0.5446,0.5646,0.5232,0.5758,0.5808,0.5557,0.5477,0.5628,0.6533,0.7331,0.7704,0.753,0.803,0.9535,0.9685,0.9682,1.0397,1.2769,1.2493,1.2535,1.2653,1.4324,1.6471,2.0404,2.3438,2.8368,3.0411,3.2597,3.3956,3.4303,2.9803,2.9735,2.8662,2.9059,2.7875,2.7276,2.6968,2.717,2.6335,2.5669,2.4011,2.3958,2.2551,2.609,2.4437,2.3317,2.2427,-3.3699,,,
operating-cash-flow-per-share,-0.2774,-0.3389,-0.4403,-0.3622,-0.2061,0.2159,-0.1118,-0.1624,-0.1556,-0.0046,-0.2837,-0.1339,-0.0829,0.3841,0.1352,0.2524,0.1537,-0.1841,-0.16,-0.1666,-0.1904,0.0046,0.0109,-0.1715,-0.1507,-0.9031,-0.8369,-0.5738,-0.1828,-0.54,-0.461,-0.5434,-0.7019,0.2064,-0.1516,0.0035,-0.1747,-0.0843,-0.2056,-0.1544,-0.1403,-0.0637,-0.1689,-0.2179,-0.0095,-0.3776,-0.2997,-0.2487,-0.1867,0.377,-0.0023,-0.5403,-0.0421,0.4393,0.4176
free-cash-flow-per-share,-0.2916,-0.3882,-0.4771,-0.3876,-0.2246,0.142,-0.1656,-0.1858,-0.1666,-0.0656,-0.3273,-0.172,-0.0988,0.2839,0.0635,0.2011,0.1343,-0.3175,-0.2353,-0.2202,-0.2253,-0.1528,-0.115,-0.2631,-0.1936,-1.1095,-0.9939,-0.7001,-0.2567,-0.6919,-0.5695,-0.5986,-0.716,0.1395,-0.2193,-0.0494,-0.1974,-0.1695,-0.2474,-0.1709,-0.1506,-0.1358,-0.2073,-0.2422,-0.0282,-0.4608,-0.3716,-0.3095,-0.2279,0.142,-0.1655,-0.744,-0.06,-0.2825,0.0516
