,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31
current-ratio,2.8526,2.7152,2.7683,3.0584,2.823,2.7375,4.8976,1.8573,1.823,1.935,1.8262,1.8752,1.9289,1.6906,1.6919,1.8609,2.3464,2.8855,3.6878,3.8661,4.6462,3.7516,2.9492,3.6803,4.1028,6.9032,2.8263,3.9796,2.5575,3.5558,1.9293,2.6318,,,,
long-term-debt-capital,0.398,0.4109,0.4293,0.421,0.4356,0.4519,0.4749,,,0.0064,0.0158,0.0213,0.0322,0.0492,0.0548,0.0745,0.0918,0.107,0.1526,0.3918,0.4169,0.4621,0.4943,0.5068,0.8285,0.6222,0.1619,0.1615,0.3643,0.31,0.9864,0.7063,,,,
debt-equity-ratio,0.6611,0.6975,0.7523,0.7273,0.7718,0.8244,0.9044,,,0.0064,0.0161,0.0217,0.0333,0.0517,0.0579,0.0805,0.101,0.1199,0.18,0.6443,0.7149,0.8592,0.9774,1.0278,4.8322,1.6466,0.4873,0.3977,1.0396,0.7322,106.1934,3.1225,,,,
gross-margin,95.282,96.1374,95.6899,96.3876,95.9154,96.2999,96.3751,95.3028,94.7126,94.9083,94.8781,93.9525,93.9658,94.6713,95.3953,93.6022,94.2889,95.0614,94.3698,92.6941,94.1773,94.4027,94.5601,89.6749,97.3747,98.5765,100.0,100.0,100.0,100.0,100.0,95.2381,100.0,100.0,,
operating-margin,38.8966,40.6877,29.7494,34.3773,36.3849,35.8858,34.7167,38.8353,27.7893,34.376,29.158,26.1251,34.9217,22.5565,14.5653,18.0397,12.9186,10.7742,14.0372,16.4047,-3.2441,12.6571,-147.8031,-109.9091,-1366.349,-5508.541,-12182.31,-1169.174,-13505.5,-10172.53,-3787.5,-24400.0,-90136.37,-1119.467,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,38.7605,40.8291,28.3583,33.4388,35.313,34.0131,34.4823,39.6449,28.4957,34.8481,28.1767,24.9339,33.6842,20.6408,11.3703,16.1742,10.3094,7.4612,2.8673,14.1412,-10.4509,10.7902,-171.1596,-216.8183,-1916.945,-9735.587,-12526.53,-1239.633,-14815.39,-11003.3,-4460.096,-25404.76,-92281.83,-1192.0,,
net-profit-margin,28.2553,31.2594,21.4568,22.3343,27.1962,30.8797,29.1411,15.4441,19.8525,22.9042,17.8842,22.9571,108.8294,19.8563,10.9178,15.6866,9.9487,6.8305,2.568,12.1242,-10.4509,10.7902,-171.1596,-216.8183,-1916.945,-9735.588,-12526.53,-1239.541,-14815.39,-11317.58,-4872.596,195178.6,-96290.91,-1098.0,,
asset-turnover,0.0923,0.0984,0.0834,0.1186,0.1116,0.1167,0.1096,0.2083,0.2086,0.2189,0.1787,0.2015,0.1993,0.2361,0.2272,0.2316,0.2362,0.2317,0.2061,0.2284,0.1807,0.3151,0.0931,0.0931,0.0102,0.0021,0.0019,0.0116,0.0014,0.0011,0.0048,0.0008,,,,
inventory-turnover,0.189,0.1554,0.1389,0.1632,0.1807,0.1781,0.1718,0.2548,0.2844,0.2323,0.1539,0.2245,0.1964,0.168,0.156,0.2221,0.1525,0.1296,0.1181,0.1698,0.1185,0.1644,0.0621,0.1492,0.0064,0.0009,,,,,,,,,,
