,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
current-ratio,9.5329,19.6292,20.4402,20.5908,26.6966,33.8946,33.4038,31.9215,28.1521,17.4805,17.6384,17.5456,15.913,17.1376,23.8631,21.7456,18.8181,14.4919,7.9452,4.3893,4.5792,5.1387,6.5544,2.1389,,,,,
long-term-debt-capital,0.1195,0.1091,0.0995,,,,,,,0.3119,,,,,,,,,,,0.0122,0.0414,0.0631,0.9813,,,,,
debt-equity-ratio,0.1377,0.124,0.1117,,,,,,,0.4534,,,,,,,0.006,0.0216,0.0539,0.1295,0.1448,0.1651,0.1752,110.7143,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.7877,100.0,100.0,100.0,,
operating-margin,-182430.0,-39642.86,-2029.254,-154325.0,-157636.4,-718700.0,-36.3298,-106032.6,91.65,-86513.33,-67350.0,-57866.69,-44107.69,-19116.9,-24953.57,6.4337,-508.7186,78.058,-679.2496,-667.5573,-172.2046,-625.5871,-404.1537,-396.8153,-1044.934,53.982,-19.2406,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-171850.0,-38097.96,-2171.741,-160255.5,-157900.0,-652249.9,-42.5899,-71118.66,90.5439,-86846.67,-66665.0,-57347.64,-43676.92,-18930.99,-24785.71,6.8608,-509.9474,77.9138,-689.2802,-681.4506,-177.2748,-646.9636,-430.8741,-418.9668,-1046.549,50.2552,-30.2912,,
net-profit-margin,-171850.0,-38097.96,-2171.741,-160370.9,-158063.6,-666249.9,-42.5899,-48025.63,88.5153,-86846.67,-66665.0,-57347.64,-43676.92,-18930.99,-24785.71,6.6375,-500.5266,76.8522,-689.2802,-681.4506,-177.2748,-646.9636,-434.2839,-418.6129,-1061.234,,-31.9598,,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,0.0331,0.1034,2.5573,0.0228,0.0167,0.0037,14.8009,0.0153,223.7076,0.0305,0.1036,0.1099,0.0756,0.2064,0.1055,41.0558,4.6567,142.8048,3.9939,1.021,2.8763,2.8588,4.1896,5.3931,,,,,
days-sales-in-receivables,2718.0,870.6122,35.194,3952.928,5383.636,24120.0,6.0807,5866.473,0.4023,2946.0,868.5001,818.5715,1190.769,436.0563,853.3928,2.1921,19.3271,0.6302,22.5345,88.1451,31.2902,31.4818,21.4817,16.6879,,,,,
roe,-14.4093,-13.9625,-14.5703,-12.4294,-9.3603,-6.6531,-2.1212,-3.0881,65.386,-20.2342,-17.7726,-14.0699,-11.8119,-12.6583,-11.7367,0.5236,-6.6377,30.2378,-9.6288,-16.2827,-12.4314,-11.4629,-9.0029,5.2764,,,,,
return-on-tangible-equity,-14.4093,-13.9625,-14.5703,-12.4294,-9.3603,-6.6531,-2.1212,-3.0881,65.386,-20.2342,-17.7726,-14.0699,-11.8119,-12.6583,-11.7367,0.5236,-6.6377,30.2378,-9.6288,-16.2827,-12.4314,-11.4629,-9.0029,-4225.019,,,,,
roa,-11.3091,-11.2052,-11.9014,-10.828,-8.3368,-6.0427,-1.9605,-2.8649,60.3428,-11.993,-14.9757,-11.9956,-10.1066,-10.9605,-10.413,0.4655,-5.8487,26.2773,-7.6056,-10.5703,-8.1808,-7.7044,-6.1166,-14.8719,,,,,
roi,-12.6871,-12.4389,-13.1201,-12.4294,-9.3603,-6.6531,-2.1212,-3.0881,65.386,-13.9224,-17.7726,-14.0699,-11.8119,-12.6583,-11.7367,0.5236,-6.6377,30.2378,-9.6288,-16.2827,-12.2803,-10.988,-8.4345,-78.972,,,,,
book-value-per-share,5.0024,5.6186,6.3054,7.1568,7.9287,8.5536,8.9952,8.4889,8.6089,2.8467,3.3268,3.8354,4.323,4.7779,5.325,5.8938,5.8407,6.2097,4.3081,3.0067,3.4643,3.8696,4.3127,0.1079,,,,,
operating-cash-flow-per-share,-1.4149,-0.7577,-0.0569,-2.0552,-1.384,-0.9061,-0.5376,4.4401,4.7153,-1.0423,-0.5875,-2.0394,-1.5226,-1.0611,-0.6519,1.0357,1.0037,1.3101,-0.5893,-1.8786,-1.2029,-0.848,-0.881,10.2039,14.4161,10.1217,-1.6194,,
free-cash-flow-per-share,-1.4368,-0.7775,-0.0703,-2.1779,-1.4867,-0.9711,-0.5516,4.3997,4.6874,-1.0525,-0.5942,-2.0741,-1.5359,-1.0715,-0.656,0.9967,0.9706,1.2917,-0.5974,-1.9293,-1.2164,-0.8584,-0.8919,9.9216,14.3055,10.0811,-1.6783,,
