,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31
current-ratio,1.1528,0.8913,1.0366,0.9829,1.2,0.8038,1.1985,1.2753,1.4525,1.3836,1.7579,1.6549,1.7895,1.8109,1.559,1.4975,2.0325,1.4991,1.3944,1.4115,2.6458,2.8168,2.7878,2.5946,2.4063,2.3015,2.2056,2.2659,2.0363,1.2383,1.2241,1.2471,,,,,
long-term-debt-capital,1.3304,1.3716,1.2873,1.318,1.087,1.1241,0.8969,0.8586,0.8355,0.8491,0.8796,0.8871,0.8521,0.8687,0.864,0.8811,0.8657,0.8313,0.8858,0.8581,0.757,0.735,0.7539,0.7609,0.8007,0.8011,0.8316,0.8131,,,,0.0027,,,,,
debt-equity-ratio,-4.6684,-4.3498,-4.7462,-4.7727,-13.8679,-10.9953,10.4945,7.3314,5.652,6.1969,7.3932,7.9469,5.7675,6.7101,6.8734,8.0281,6.6064,5.6546,11.0915,8.5976,3.1845,2.825,3.0671,3.2776,4.1401,4.1478,5.0852,4.6601,,,,0.004,,,,,
gross-margin,77.3558,77.9649,78.3597,75.6532,77.7198,76.6369,75.7121,70.5259,76.8978,77.981,75.283,77.1336,76.6169,78.2238,77.0225,76.9531,80.3668,83.2694,81.3095,79.4754,78.2028,77.4056,75.8931,74.9169,76.5565,77.5362,73.3657,75.7011,77.5067,76.1184,72.2981,207.9587,,,69.0176,,
operating-margin,30.8645,41.1872,38.4517,-29.3919,38.356,33.3656,36.5894,23.0262,38.5132,38.3353,36.8155,34.0494,36.7071,36.9963,38.2343,33.0156,31.7127,33.8265,33.4722,-7.6119,19.1273,30.7552,29.6077,30.0333,29.4332,30.9676,30.1455,34.9789,35.4037,31.6492,23.4364,-121.0257,100.0,100.0,21.157,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,23.5995,9.7759,32.4987,-28.5732,33.5236,24.3054,35.2533,15.4154,29.95,33.8854,31.9058,29.3997,31.3122,32.4861,29.8087,30.0625,27.7086,30.6484,27.6984,-19.0205,13.688,29.0905,28.1832,28.155,27.6084,29.156,28.6209,32.9043,35.5812,31.2041,24.1074,57.7648,,,22.0265,,
net-profit-margin,22.2196,8.9764,31.3746,-21.9868,33.3536,23.9551,35.0769,0.6719,23.3167,27.5778,26.1701,20.4679,24.8445,24.9535,22.7258,23.7031,20.8446,24.9498,20.2778,-14.8569,10.0817,22.2899,21.4771,22.07,20.6956,22.7622,22.3608,29.5813,35.1597,28.1994,21.1598,23.787,0.2949,36.0318,18.559,,
asset-turnover,0.1426,0.1445,0.1379,0.1399,0.1245,0.1343,0.1144,0.1093,0.1016,0.1037,0.0996,0.1028,0.0965,0.096,0.1109,0.1206,0.1084,0.1017,0.1888,0.1982,0.1764,0.1696,0.1592,0.175,0.1649,0.1681,0.1593,0.1928,0.1983,0.2537,0.2201,0.2492,,,,,
inventory-turnover,0.9953,0.9599,0.9953,1.2598,1.0274,1.2241,1.1087,1.4212,0.9053,0.9665,1.1324,1.0762,0.9227,0.8001,0.7652,0.8581,0.6339,0.5644,0.9217,0.9956,1.0853,1.062,0.9964,1.1148,0.9317,0.9714,1.1119,1.1595,1.0575,1.2437,1.2623,3.9354,,,,,
receiveable-turnover,1.5336,1.5058,1.3782,1.5425,1.4249,1.429,1.3583,1.521,1.4302,1.4291,1.3979,1.4283,1.2867,1.2781,1.2535,1.3531,1.2995,1.2537,1.157,1.4597,1.2563,1.2926,0.9941,1.0641,1.2264,1.2495,1.007,1.2113,1.4554,1.5007,1.1443,1.2743,,,,,
days-sales-in-receivables,58.6873,59.7674,65.304,58.3456,63.1617,62.9826,66.2579,59.1704,62.9292,62.9767,64.3821,63.0106,69.9487,70.4154,71.7976,66.5156,69.2564,71.7863,77.7857,61.6563,71.6378,69.6285,90.5326,84.5764,73.3834,72.0269,89.3763,74.3027,61.8403,59.9734,78.6505,70.6271,,,,,
roe,-22.903,-8.6505,-31.3826,21.6197,-94.0431,-58.7556,78.3282,1.0202,24.3906,31.8689,34.2337,30.0043,24.7024,28.5461,29.1622,38.4537,25.4781,24.8183,74.2193,-46.4983,10.8934,21.0426,20.8644,25.1113,26.95,30.0169,32.7359,45.7925,10.1156,11.0125,7.3273,9.6966,,,,,
return-on-tangible-equity,-4.402,-1.6589,-5.5468,4.0272,-6.0688,-4.3137,-7.0354,-0.136,-4.3811,-5.0383,-4.3736,-3.5058,-4.1722,-4.0949,-4.8111,-5.2433,-4.3933,-4.9418,-18.1367,14.3796,-17.4663,-40.3528,-29.0284,-30.6939,-20.8884,-22.9037,-18.4171,-30.2554,22.1816,42.3573,28.1025,39.5962,,,,,
roa,3.1695,1.2968,4.3263,-3.0766,4.1518,3.217,4.0134,0.0735,2.3693,2.8585,2.6057,2.1044,2.3985,2.3954,2.5205,2.8596,2.2596,2.5364,3.8279,-2.9441,1.7783,3.7803,3.4198,3.8633,3.4121,3.8266,3.5629,5.702,6.9732,7.1543,4.6568,5.927,,,,,
roi,7.5663,3.2143,9.0162,-6.876,8.1839,7.2894,8.0763,0.1442,4.0112,4.8084,4.1205,3.3864,3.6523,3.747,3.9668,4.5713,3.4206,4.1876,8.4743,-6.5961,2.6473,5.577,5.1355,6.0051,5.3699,5.9718,5.5132,8.5589,10.1156,11.0125,7.3273,9.6707,,,,,
book-value-per-share,-5.5627,-5.7942,-5.2941,-5.7113,-1.9419,-2.229,2.2391,3.2014,4.1895,3.7704,3.1407,2.9111,3.9811,3.4632,2.8707,2.4505,2.9748,3.3257,0.8644,1.0946,2.9154,3.2783,2.9541,2.8299,2.2525,2.2448,1.8668,,,,,,,,,,
operating-cash-flow-per-share,6.7761,3.7022,2.0344,8.685,6.6238,3.5057,1.6573,6.2134,4.6014,2.5656,1.3113,4.317,3.3537,2.4792,1.3095,4.6029,3.3486,2.0925,0.9857,2.2043,2.5634,1.4558,0.3878,3.9071,3.129,2.0037,0.7396,4.0235,3.4268,2.0006,1.0108,3.9415,3.9986,2.182,,,
free-cash-flow-per-share,6.5138,3.5438,1.9622,8.2723,6.2838,3.3575,1.5827,5.8833,4.3849,2.4275,1.252,4.0233,3.1311,2.3248,1.2351,4.2779,3.116,1.9333,0.8955,1.8242,2.2783,1.2823,0.3027,3.601,2.9171,1.8751,0.6847,3.8123,3.2758,1.8383,0.9081,3.7172,3.8055,2.0624,,,
