,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,86.1814,86.36,84.1599,82.251,81.536,84.7151,83.0071,83.458,83.62,85.3625,85.2035,84.3616,86.0955,82.478,85.6962,85.0956,86.3391,86.4377,86.6103,85.1396,86.0632,87.5331,85.5651,85.9831,86.0732,85.7977,85.8566,85.8268,83.8742,86.7731,86.6566,85.3536,89.9838,86.1332,87.518,83.2465,87.1668,86.5196,88.7406,88.7177,89.0685,91.2163,97.6035,92.3964,92.6965,91.621,88.3252,89.723,93.1483,93.7104,93.5125,94.5484,95.0879,95.0923,95.864,95.2639,95.5019,95.3518
operating-margin,4.1776,3.8146,3.2013,-10.5955,-28.119,2.7547,-3.7207,2.069,9.7976,9.5812,18.3999,22.4909,33.0312,13.414,23.8136,24.5681,36.8041,27.2771,35.4382,35.433,36.4874,25.5807,31.182,39.0012,29.6592,30.1497,35.2105,33.5043,34.3363,30.2129,27.0393,21.0992,32.7487,31.5884,32.9101,-116.3355,11.9304,-5.1852,15.9254,20.6851,25.6296,29.6296,67.494,22.9141,29.593,27.934,31.7722,-64.8498,42.3263,46.5672,48.4409,52.1653,52.1694,50.5619,52.1105,39.4493,55.382,-134.6577
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,4.954,4.8509,5.0987,-8.8115,-23.8224,1.6476,-3.0624,0.9572,7.0433,8.9185,22.6733,22.5846,34.3481,13.0726,23.0034,15.9698,36.7789,31.4325,35.7902,28.0517,36.9663,26.9847,36.7068,39.1481,30.0931,31.6758,44.2206,34.7901,35.3321,26.1261,28.2645,22.0272,35.195,34.4008,34.3795,-149.4501,0.9781,-3.6383,17.6342,21.867,29.9956,31.6225,68.4194,6.1362,32.1717,32.5398,38.9903,-59.8404,49.0879,53.3176,56.3799,59.3979,58.2447,29.6719,56.532,43.2345,58.2213,-132.652
net-profit-margin,6.022,5.5654,5.89,-7.6092,-12.0664,8.0491,-9.1459,1.9942,4.0472,2.8909,12.9497,14.1952,19.6976,4.9165,16.0389,7.8208,24.6575,21.1655,25.4418,15.2843,24.6169,18.0756,26.1471,25.7816,21.912,29.9525,30.6693,19.7934,21.9357,14.1114,22.709,-134.2709,29.5561,18.6591,-49.2813,-139.3209,-4.9226,-2.3257,11.0293,14.1094,19.46,20.1482,42.8452,-3.5027,19.7726,19.8662,23.6938,-65.2911,31.4548,32.6863,35.7945,35.8106,35.0515,8.2736,37.765,29.7906,36.8991,-155.1799
asset-turnover,0.1619,0.1502,0.1476,0.1404,0.1389,0.1167,0.1264,0.1468,0.1349,0.1333,0.1381,0.1366,0.1574,0.1363,0.1474,0.1759,0.1658,0.1589,0.163,0.1462,0.1451,0.1422,0.1461,0.1403,0.1375,0.1273,0.1285,0.1327,0.0885,0.0791,0.0784,0.0887,0.0749,0.0777,0.0727,0.0913,0.0975,0.0964,0.0912,0.1035,0.1001,0.1149,0.3504,0.1217,0.1243,0.1389,0.1371,0.1243,0.1077,0.1256,0.1103,0.1116,0.1256,0.1303,0.126,0.1295,0.1402,0.1434
inventory-turnover,0.8104,0.7119,0.8452,1.0182,1.0325,0.72,0.7468,0.9437,0.8314,0.7655,0.7569,0.7932,0.8302,0.8774,0.7168,0.8687,0.6276,0.6119,0.6723,0.809,0.7024,0.6149,0.7076,0.6022,0.6199,0.5782,0.608,0.5568,0.6899,0.4407,0.535,0.6401,0.3486,0.5995,0.5024,0.8549,0.6811,0.7473,0.5684,0.6508,0.6394,0.5919,0.5626,0.6665,0.5964,0.8313,1.1572,0.8767,0.9666,1.103,1.164,1.0063,0.7991,0.7596,0.5906,0.6984,0.7221,0.7359
receiveable-turnover,2.7227,2.1702,2.021,2.2971,2.3553,2.2261,2.4532,2.5682,2.2274,2.4446,2.5883,2.3994,3.4088,2.409,2.9955,2.322,2.3952,2.3439,3.1979,3.228,2.8238,2.425,2.7168,2.6814,3.0171,2.7886,3.1365,2.7309,2.6963,2.6383,2.4997,3.1701,1.4182,1.3359,1.4288,1.7302,1.7307,1.4338,1.4905,1.6967,1.5264,1.6261,5.3792,1.5929,0.9616,1.1882,1.4848,1.3199,0.574,1.6825,1.3352,1.2125,1.5292,1.4576,1.43,1.0993,1.5376,1.3927
days-sales-in-receivables,33.055,41.4716,44.5326,39.1792,38.2116,40.4287,36.6867,35.0434,40.4064,36.8165,34.7717,37.5091,26.4025,37.3603,30.0453,38.7595,37.5745,38.3975,28.1436,27.8815,31.8719,37.1141,33.1269,33.5651,29.8299,32.2738,28.694,32.956,33.3785,34.113,36.0045,28.3901,63.4618,67.3684,62.9899,52.0181,52.0034,62.7696,60.3815,53.0432,58.9607,55.3462,16.7312,56.5003,93.5925,75.744,60.6156,68.1887,156.7881,53.491,67.4032,74.2258,58.8555,61.7451,62.9371,81.8721,58.5343,64.6247
roe,1.2358,1.0944,1.153,-1.614,-2.4663,1.3533,-1.4075,0.3586,0.6584,0.4625,2.1459,2.4122,3.8266,0.8307,2.7846,1.4781,4.3732,3.5818,4.4262,2.4749,3.8808,2.7131,4.081,3.979,3.2416,3.3534,4.3039,3.0046,2.1209,1.3335,1.5076,1.5687,1.9325,1.8451,1.8479,-14.0342,-0.5246,-0.2446,1.0942,1.5722,2.1128,2.6009,17.1786,-0.574,3.3004,3.5647,4.1139,-10.6224,4.0619,4.384,4.332,4.3339,4.6679,1.1549,5.0385,4.1469,5.5924,-26.0948
return-on-tangible-equity,1.9185,1.7349,1.8738,-2.7436,-4.2448,2.3349,-2.4712,0.6278,1.174,0.8116,3.8083,4.4621,7.3708,1.7173,4.6586,1.6744,4.9465,4.09,5.0987,2.7838,4.3984,3.1006,4.6877,4.5458,3.6887,3.8036,4.914,3.4574,2.3164,1.4619,1.6584,1.7326,2.2472,2.163,2.1685,-16.525,-0.6707,-0.3137,1.4063,2.0247,2.7605,3.4476,22.5059,-0.7612,4.325,4.7294,5.4988,-14.3613,4.0619,4.384,4.332,4.5055,4.6679,1.1549,5.0385,4.1469,5.5924,-26.0948
roa,0.9751,0.8359,0.8695,-1.068,-1.6764,0.9393,-1.1564,0.2928,0.5459,0.3854,1.7881,1.9391,3.0997,0.6703,2.3642,1.3757,4.0881,3.3641,4.1481,2.3301,3.6478,2.57,3.8188,3.6626,3.0579,3.1786,3.94,2.7358,2.013,1.2603,1.4179,1.3968,1.759,1.6465,1.6596,-12.7221,-0.4799,-0.2241,1.0063,1.4604,1.9478,2.316,15.0138,-0.4261,2.4583,2.76,3.249,-8.117,3.389,4.1069,3.9491,3.998,4.403,1.078,4.7603,3.8583,5.1739,-22.2593
roi,1.2358,1.0944,1.153,-1.614,-2.4663,1.3533,-1.4075,0.3586,0.6584,0.4625,2.1459,2.4122,3.8266,0.8307,2.7846,1.4781,4.3732,3.5818,4.4262,2.4749,3.8808,2.7131,4.081,3.979,3.2416,3.3534,4.3039,3.0046,2.1209,1.3335,1.5076,1.5687,1.9325,1.8451,1.8479,-14.0342,-0.5246,-0.2446,1.0942,1.5722,2.1128,2.6009,17.1786,-0.574,3.3004,3.5647,4.1139,-10.6224,4.0619,4.384,4.332,4.3339,4.6679,1.1549,5.0385,4.1469,5.5924,-26.0948
book-value-per-share,8.7941,8.5487,8.4276,8.1064,8.1469,8.5571,8.3773,8.5191,8.3409,8.2407,8.0777,8.0885,7.8833,7.595,7.3309,7.0972,6.8905,6.5483,6.3109,7.2576,6.9637,6.6716,6.5297,6.7538,6.8688,7.0001,6.7318,6.4807,8.53,8.3184,8.155,7.9635,9.0086,8.7365,8.8494,8.859,10.0273,10.0242,10.0264,9.8662,9.5886,9.2824,9.0075,7.865,7.9924,7.857,7.5107,7.2074,7.6504,7.2139,7.5203,7.7113,7.2589,6.7789,6.6521,6.2355,5.9452,5.1066
