,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
current-ratio,7.1646,6.9258,6.1887,7.134,5.0897,6.6922,2.8526,3.0004,5.7519,8.3176,7.2495,7.9896,8.7113,8.001,10.4479,11.7367,13.7357,15.9765,16.9582,16.889,37.1104,23.9566,29.4249,47.9818,13.4099,7.1582,,,,,
long-term-debt-capital,0.6701,0.5931,0.4949,0.3592,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt-equity-ratio,2.0576,1.4761,0.9911,0.5605,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-margin,92.296,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,,100.0,,
operating-margin,-299.6502,-439.1236,-41885.16,-27890.86,-20566.53,-172.6007,-389.42,-2571.839,,-991733.4,-44527.94,-57797.88,-53629.16,-51654.23,,-117212.1,-40813.33,-22008.67,,-162137.5,-94019.05,-78323.81,-8018.713,-57847.58,,-5165.413,-2408.155,,-10691.18,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-314.4498,-457.2527,-42678.06,-28249.12,-20112.55,-169.2826,-384.47,-2544.394,,-978966.6,-43961.76,-57012.77,-52968.75,-51115.25,,-116184.0,-40497.33,-21796.67,,-162050.0,-93923.8,-78242.86,-8008.187,-57838.06,,-5164.662,-2408.155,,-10691.18,,
net-profit-margin,-314.6019,-457.337,-42684.52,-28257.37,-20118.41,-169.1971,-384.59,-2544.98,,-979566.6,-43995.59,-57308.53,-52968.75,-51115.25,,-116184.0,-40497.33,-21796.67,,-162050.0,-93923.81,-78242.86,-8008.187,-57838.06,,-5164.662,-2408.155,,-10691.18,,
asset-turnover,0.0442,0.0399,0.0005,0.0006,0.0011,0.0775,0.0683,0.0085,,0.0,0.0004,0.0003,0.0003,0.0003,,0.0001,0.0003,0.0006,,0.0001,0.0001,0.0002,0.0011,0.0001,,0.0072,,,,,
inventory-turnover,10.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.6586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
days-sales-in-receivables,54.2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roe,-69.0947,-52.644,-54.5505,-31.7792,-28.1059,-15.7655,-40.259,-30.1551,-21.7033,-17.6272,-21.6221,-16.6016,-15.2308,-19.6385,-15.2845,-14.6427,-13.7689,-13.2193,-9.4608,-12.5381,-8.6583,-12.478,-9.5031,-7.8395,19.5065,17.2246,,,,,
return-on-tangible-equity,-69.0947,-52.644,-54.5505,-31.7792,-28.1059,-15.7655,-40.259,-30.1551,-21.7033,-17.6272,-21.6221,-16.6017,-15.2308,-19.6385,-15.2845,-14.6427,-13.7689,-13.2193,-9.4608,-12.5381,-8.6583,-12.478,-9.5031,-7.8395,-17.9568,-43.1037,,,,,
roa,-13.8934,-18.2339,-23.0354,-17.0608,-21.8567,-13.1163,-26.2747,-21.6535,-18.7088,-15.8207,-19.2473,-14.932,-13.8463,-17.6469,-14.0833,-13.482,-12.8172,-12.4177,-8.9258,-11.7674,-8.3877,-11.9343,-9.1731,-7.6764,-16.6732,-37.176,,,,,
roi,-22.7949,-21.4204,-27.5546,-20.365,-28.1059,-15.7655,-40.259,-30.1551,-21.7033,-17.6272,-21.6221,-16.6017,-15.2308,-19.6385,-15.2845,-14.6427,-13.7689,-13.2193,-9.4608,-12.5381,-8.6583,-12.478,-9.5031,-7.8395,-17.9568,-43.1037,,,,,
book-value-per-share,0.9548,1.3527,1.9927,3.0112,2.82,3.5284,1.9233,2.6137,2.994,3.5378,3.3021,3.8733,4.2023,4.267,4.9279,5.5309,6.177,6.9273,7.7204,6.3242,6.9849,4.4307,4.8651,5.2366,20.034,6.5018,,,,,
operating-cash-flow-per-share,-2.4372,-1.8846,-1.0948,-2.8014,-1.8312,-1.2887,-0.6986,-1.606,-1.4463,-1.013,-0.5898,-2.249,-1.7489,-1.2254,-0.6456,-2.6398,-2.0626,-1.3537,-0.5727,-1.6523,-1.188,-0.757,-0.357,-4.9918,-7.9418,-4.7059,-2.3167,,-6.2442,,
free-cash-flow-per-share,-2.4397,-1.8854,-1.0956,-2.843,-1.8521,-1.3026,-0.7063,-1.6074,-1.4464,-1.013,-0.5898,-2.2509,-1.7501,-1.2266,-0.6467,-2.6795,-2.0881,-1.3754,-0.5777,-1.7434,-1.272,-0.7721,-0.3612,-5.0012,-7.9517,-4.7059,-2.3167,,-6.3097,,
