,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
current-ratio,,,,,,,,
debt-equity-ratio,,,4.8421,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
operating-margin,-451.7575,-442.9579,-356.9023,-326.012,-411.1374,-647.0118,-604.3848,
ebit-margin,,,,,,,,
pre-tax-profit-margin,-426.3515,-360.6606,-581.8931,-312.6113,-383.9434,-631.0566,-589.7906,
net-profit-margin,-426.3515,-360.6606,-581.8931,-312.6112,-383.9433,-631.0566,-589.7906,
asset-turnover,,,,,,,,
receiveable-turnover,19.46,21.556,0.8871,9.4455,,,,
days-sales-in-receivables,4.6249,4.1752,101.4519,9.5283,,,,
roe,-13.3143,-11.1715,-293.6074,-38.651,,,,
return-on-tangible-equity,-13.439,-11.2656,-339.1995,-40.1179,,,,
roa,-7.9686,-7.1477,-19.0544,-11.1421,,,,
roi,-13.3143,-11.1715,-293.4718,-38.6462,,,,
book-value-per-share,3.0752,3.4389,0.6746,2.5121,,,,
operating-cash-flow-per-share,-0.9967,-0.7291,-1.2468,-3.2786,-2.4538,-1.5106,-0.9203,
free-cash-flow-per-share,-1.3748,-0.9933,-1.565,-4.1827,-2.7314,-1.6217,-0.9598,
