,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-05-31,2010-03-31,2010-02-28,2009-12-31,2009-11-30,2009-09-30,2009-08-31,2009-05-31,2009-02-28,2008-11-30,2008-09-30,2008-08-31,2008-06-30,2008-05-31,2008-03-31,2008-02-29,2007-12-31,2007-11-30,2007-09-30,2007-06-30,2007-05-31,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
current-ratio,0.6571,0.9139,1.0434,1.0768,0.9434,0.9432,1.0244,0.9635,0.976,0.9262,0.898,0.9059,0.9429,0.9782,0.9934,1.0495,1.124,1.0367,1.0357,0.9344,1.0476,1.0477,1.0241,1.0441,1.0683,1.1023,0.9872,1.1051,1.1691,1.1641,1.2952,1.3234,1.2809,1.2475,1.3245,1.3349,1.428,,,,1.8171,,1.841,,1.7393,,1.664,1.6911,2.0659,,1.9974,,1.903,,1.7981,,2.4645,2.5083,,2.2446,2.148,1.6391,1.6446,1.5386,3.8524,4.1313,3.4847,2.7786
long-term-debt-capital,0.3383,0.4103,0.3717,0.2906,0.6165,0.5858,0.6046,0.4393,0.5463,0.53,0.5219,0.5061,0.4689,0.4632,0.2972,0.3017,0.3152,0.3113,0.2979,0.2957,0.3048,0.2924,0.2883,0.2926,0.285,0.2806,0.2558,0.2202,0.2294,0.2474,0.1654,0.1793,0.19,0.2145,0.2247,0.2494,0.2701,,,,0.0175,,0.0304,,0.0514,,0.0848,0.0995,0.2764,,0.2798,,0.2829,,0.2841,,0.2041,0.2025,,0.2086,0.2127,0.2183,0.2239,0.227,0.456,0.4678,0.4852,0.4976
debt-equity-ratio,0.8104,0.7312,0.6222,0.4224,1.6371,1.4422,1.5578,0.8085,1.2355,1.1553,1.1169,1.0457,0.8998,0.8861,0.4318,0.4409,0.4694,0.4762,0.4481,0.4413,0.4578,0.4302,0.4198,0.426,0.4088,0.3979,0.4079,0.3441,0.3539,0.3818,0.2307,0.2493,0.2629,0.301,0.3148,0.3545,0.3701,,,,0.0178,,0.0313,,0.0542,,0.094,0.1118,0.3828,,0.3894,,0.3953,,0.3976,,0.2573,0.2547,,0.2644,0.271,0.2801,0.2893,0.2945,0.8383,0.879,0.9426,0.9904
gross-margin,39.4661,41.426,40.2952,42.5366,41.1516,39.3615,42.5768,31.0192,44.9266,44.0026,43.2075,44.5548,42.346,43.1242,43.9573,44.4971,43.2605,40.835,38.7952,39.9979,38.0603,39.849,40.6089,39.3755,38.0225,39.5219,38.7327,38.8451,43.5372,42.5699,42.6849,45.3236,44.5304,47.0237,47.6726,46.2049,51.3266,54.6436,,56.4325,56.511,,56.4236,54.0113,54.0113,,51.8229,51.9092,49.3509,53.8797,50.4834,,49.9951,53.9369,33.8086,55.8992,51.008,50.6432,45.7298,49.634,53.4692,49.1325,52.1078,47.6851,45.5215,43.2796,47.0001,46.4478
operating-margin,0.7164,1.0671,0.6122,-5.9779,0.043,-13.6124,-1.545,-21.6847,5.6454,4.9529,2.724,7.785,4.3004,4.8054,3.4425,6.6883,2.502,1.5896,-1.7023,0.1924,-5.4547,-2.5884,-3.5003,-7.8481,-13.1597,-8.2131,-8.1492,-7.5791,2.5462,4.7854,3.5598,11.7539,9.4483,8.9894,7.2981,3.0044,-0.5029,10.7366,,17.3901,17.7108,,15.7567,13.0799,13.0799,,14.1796,-7.4129,5.2895,9.6465,5.9635,,1.6771,16.904,-54.7487,9.1964,9.8943,10.6652,-32.697,11.2623,11.781,8.9466,8.1131,4.6133,8.9569,9.1357,6.7278,5.2453
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-1.4611,-33.8516,-1.3991,-9.0526,-3.1862,20.7994,-5.7322,-9.5477,-3.9382,-33.7998,-2.0299,12.9997,-0.6369,-0.6828,0.7785,4.2876,-0.4065,-0.4959,-3.3074,-1.9469,-7.5888,-4.581,-5.6353,-9.91,-15.498,-10.9046,-7.1424,-8.5758,-2.8775,3.648,2.6106,10.8456,8.5353,7.6737,5.0545,1.1385,-1.859,10.9164,,17.0956,17.4612,,15.5423,12.7257,12.7257,,13.6388,-7.6804,3.5389,9.5754,4.7294,,0.1803,16.8453,10.8791,9.16,9.9043,14.3316,-13.7923,11.4223,11.5686,8.4787,7.5982,5.054,9.9512,9.5959,6.8836,5.0926
net-profit-margin,-1.2889,-33.7331,-1.7482,84.7258,-8.323,14.6839,-9.1934,2.7877,-6.3606,-36.0745,-4.8322,-2.7958,-2.5957,-2.6394,0.593,4.7236,-1.4794,-0.9169,-3.0142,-0.6389,-7.4591,-5.0584,-6.0955,-5.8745,-14.8217,-6.6341,-3.34,-6.9301,2.5992,2.1573,1.5939,6.6932,5.2612,4.4492,3.7616,-1.9608,0.5664,6.84,,10.0747,10.2657,,9.3177,7.8419,7.8419,,8.245,-4.6379,4.9093,5.7883,2.8855,,0.111,10.3584,13.0374,5.6606,5.9008,8.6064,-7.5082,6.87,7.0532,5.2451,4.7106,3.1348,9.9512,9.5959,6.8836,5.0926
asset-turnover,0.1375,0.1374,0.1332,0.139,0.0957,0.1014,0.0992,0.0493,0.1157,0.1126,0.1088,0.0683,0.103,0.1042,0.1317,0.1289,0.1326,0.1301,0.1336,0.1383,0.1343,0.1355,0.1292,0.134,0.1251,0.1289,0.1323,0.1494,0.1498,0.1491,0.1429,0.1551,0.1499,0.1459,0.1371,0.1307,0.1019,,,,0.1747,,0.1739,,0.171,,0.164,0.1311,0.1374,,0.1403,,0.1239,,0.0789,,0.1401,0.1402,,0.1327,0.1331,0.1335,0.1336,0.0939,0.1548,0.1474,0.146,0.1322
inventory-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.2683,168.3566,77.6216,,99.8827,59.2033,68.139,44.5755,27.4183,,,,21.6986,,19.8264,,32.6334,,12.736,10.225,7.9786,,7.512,,5.7219,,9.5586,,7.8352,8.6167,,7.693,9.1084,8.7656,5.6093,5.4342,8.5695,8.9809,8.1146,6.4675
