,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31
current-ratio,1.1011,0.9879,0.9001,0.8704,0.8914,0.9273,0.8337,0.9026,1.0052,1.1713,1.1585,1.1073,1.2497,1.1568,1.0775,1.0826,1.0517,1.0888,1.0662,1.048,1.0258,0.9924,,,,,
long-term-debt-capital,0.622,0.5258,0.5291,0.5073,0.5486,0.5714,0.5633,0.5668,0.5801,0.4836,0.5035,0.5222,0.5446,0.5525,0.554,0.5587,0.5675,0.5692,0.5903,0.5773,0.7483,0.7289,,,,,
debt-equity-ratio,1.6824,1.1379,1.1513,1.0295,1.2154,1.3632,1.417,1.437,1.4421,0.9826,1.0595,1.1358,1.1957,1.2344,1.2423,1.2658,1.3411,1.3215,1.4407,1.3659,2.9948,2.7078,,,,,
gross-margin,28.3623,28.293,28.1867,30.7571,28.3526,26.8412,25.5611,30.4807,28.8114,29.478,28.6141,29.4797,30.8725,30.5614,29.9456,29.6967,32.7843,29.6911,29.0822,29.4126,27.6456,27.4214,27.1187,,31.8672,33.4159,
operating-margin,12.2697,11.5305,10.9031,13.2607,5.4086,10.2092,10.2514,0.5508,9.927,12.1505,10.2481,8.0953,12.0934,11.0449,4.4038,10.2253,12.1878,9.7547,8.4763,3.1638,4.4984,4.8766,3.0231,,-27.9702,8.7534,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,11.0648,8.6281,10.0266,11.3647,3.0739,8.2627,8.0989,-4.3733,5.2132,7.4617,6.7789,5.2112,9.3186,10.4717,-4.8103,7.8103,9.0887,4.7965,6.7286,-6.3028,1.7353,-2.485,-4.5659,,-48.0948,2.4728,
net-profit-margin,10.6325,5.3881,6.1056,9.7927,0.2083,5.8072,5.5541,-2.4467,8.2825,5.5358,5.1714,2.969,6.9385,8.4831,-3.7118,6.6451,5.8633,3.1603,4.4231,-6.1682,0.3114,-1.1344,-2.8305,,-36.6229,2.1887,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,1.1111,1.1973,1.209,1.2844,1.1632,1.199,1.1823,1.0435,0.9267,0.8788,0.9812,1.0735,1.0137,0.9836,1.024,1.0275,1.0076,0.9905,1.0436,1.0791,1.0803,1.0517,,,,,
days-sales-in-receivables,81.0016,75.1716,74.4424,70.0734,77.3759,75.0613,76.1225,86.2482,97.1164,102.4106,91.7286,83.8358,88.787,91.5025,87.8901,87.5932,89.3182,90.8658,86.2423,83.4038,83.314,85.5726,,,,,
roe,8.7676,3.528,3.9686,6.763,0.1891,4.4315,4.1503,-1.7293,5.1913,3.4967,3.2556,1.9232,4.2613,5.4152,-2.2528,4.0562,3.4137,1.785,2.6514,-3.3717,0.2817,-0.8778,,,,,
return-on-tangible-equity,-6.9927,-4.1032,-4.1215,-6.1951,-0.1488,-3.2703,-2.9045,1.191,-3.709,-4.5125,-3.7649,-1.9569,-4.251,-4.9324,1.9282,-3.3692,-2.6784,-1.362,-1.8244,2.3818,-0.0923,0.3161,,,,,
roa,2.3713,1.1926,1.2882,2.2315,0.057,1.2998,1.194,-0.4823,1.4686,1.2308,1.1315,0.6403,1.4163,1.743,-0.724,1.2789,1.0555,0.5514,0.7794,-1.0305,0.051,-0.1716,,,,,
roi,3.3139,1.6731,1.8688,3.3324,0.0854,1.8995,1.8126,-0.7491,2.1798,1.8056,1.6164,0.9189,1.9407,2.4235,-1.0047,1.7902,1.4764,0.7689,1.0864,-1.4251,0.0709,-0.238,,,,,
book-value-per-share,14.9704,17.7026,16.9873,16.078,15.1025,14.8485,14.7499,14.719,14.7847,13.543,12.4457,11.8389,12.0377,11.7231,11.7152,11.6644,11.5117,11.5616,10.8346,11.3153,10.3543,11.4715,,,,,
operating-cash-flow-per-share,0.9967,-0.072,0.6137,4.9712,2.9859,1.3195,0.5232,3.351,1.7887,0.2425,-0.165,2.4832,1.0339,0.3734,0.3389,2.4116,1.137,0.4759,0.0543,0.7934,0.0347,-0.081,-1.0015,,-0.3752,0.8289,
free-cash-flow-per-share,0.0727,-0.6837,0.3161,4.1295,2.3838,0.9186,0.3145,2.4196,1.1932,-0.0912,-0.2864,1.9691,0.6362,0.101,0.2037,1.8931,0.7277,0.2048,-0.067,0.1564,-0.4167,-0.3759,-1.1451,,-0.7608,0.5585,
