,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
current-ratio,5.4331,2.5216,3.4701,4.3355,7.0491,10.2693,13.5723,10.0914,15.2398,22.4458,15.5003,12.2704,18.1971,7.6506,7.5216,8.0876,8.4586,8.7596,7.635,15.8712,24.5345,11.8147,17.8274,20.1801,0.3901,,,,,
long-term-debt-capital,0.4834,0.0783,0.059,,,0.3889,0.344,0.4773,0.4373,0.4006,0.5951,0.5397,0.4903,1.1642,1.0013,0.8678,0.7928,0.7858,0.7186,0.8142,0.7465,,,,,,,,,
debt-equity-ratio,0.9636,0.1203,0.0889,,,0.6363,0.5245,0.9133,0.7771,0.6685,1.4696,1.1727,0.9619,-7.0912,-795.5483,6.5638,3.8258,3.6681,2.5543,4.3829,2.9442,,,,-0.6456,,,,,
gross-margin,88.8751,95.5478,96.4891,97.3921,97.1926,97.565,,,,,,,,,,,,,,,,,,,,,,,,
operating-margin,-233.6443,-290.9694,-443.7155,-359.1934,-840.0164,-2298.143,,,,,,,,,,,,,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-266.4042,-297.8466,-442.6926,-355.9629,-1169.378,-2270.78,,,,,,,,,,,,,,,,,,,,,,,,
net-profit-margin,-266.4042,-297.8466,-441.8633,-355.9629,-1169.378,-2270.904,,,,,,,,,,,,,,,,,,,,,,,,
asset-turnover,0.0387,0.0676,0.0413,0.0507,0.0236,0.0069,,,,,,,,,,,,,,,,,,,,,,,,
inventory-turnover,0.1406,0.0677,0.0374,0.0373,0.0365,0.0103,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,0.5572,0.6173,0.7353,5.3245,3.7236,2.1538,,,,,,,,,,,,,,,,,,,,,,,,
days-sales-in-receivables,161.5088,145.7847,122.394,16.903,24.1701,41.787,,,,,,,,,,,,,,,,,,,,,,,,
roe,-23.6143,-30.2803,-24.955,-22.5885,-31.7922,-28.2348,-17.2256,-43.1515,-20.3255,-15.3657,-30.6565,-27.8345,-18.5529,133.4426,14647.21,-108.5326,-55.3038,-55.4749,-35.4573,-58.8439,-31.1843,-22.3513,-10.7129,-15.3518,12.8463,,,,,
return-on-tangible-equity,-23.6143,-30.2803,-24.955,-22.5885,-31.7922,-28.2348,-17.2256,-43.1515,-20.3255,-15.3657,-30.6565,-27.8345,-18.5529,133.4425,14647.86,-108.5326,-55.3038,-55.4749,-35.4573,-58.8439,-31.1843,-22.3513,-10.7129,-15.3518,48.0787,,,,,
roa,-10.3091,-20.1434,-18.2289,-18.0527,-27.6163,-15.5893,-10.4078,-20.1577,-10.5721,-8.6955,-11.4401,-11.8113,-8.9554,-19.3282,-16.3102,-12.8055,-10.2494,-10.6535,-8.8316,-10.3238,-7.587,-20.4742,-10.1136,-14.5931,-148.412,,,,,
roi,-12.1983,-27.9084,-23.4831,-22.5885,-31.7922,-17.2555,-11.2992,-22.5532,-11.4374,-9.2095,-12.4137,-12.8109,-9.4568,-21.9074,-18.4353,-14.3489,-11.4601,-11.8837,-9.9759,-10.9316,-7.9064,-22.3513,-10.7129,-15.3518,48.0787,,,,,
book-value-per-share,4.548,3.3898,4.1843,5.009,5.9093,4.8917,5.9811,3.67,4.3723,5.0922,2.5008,3.1485,3.8458,-0.6529,-0.0058,0.7096,1.2353,1.3281,1.9235,1.1675,1.759,2.2146,2.6693,2.8762,-21.8952,,,,,
operating-cash-flow-per-share,-2.7131,-1.8748,-1.0744,-3.6621,-2.773,-1.9844,-1.0579,-2.6388,-1.852,-1.3163,-0.7358,-2.7403,-2.076,-1.4878,-0.7244,-2.1623,-1.5928,-1.145,-0.5409,-1.4002,-0.9205,-0.5408,-0.1896,-3.319,-11.4856,-7.7159,-2.4648,,-12.387,
free-cash-flow-per-share,-2.8872,-2.0316,-1.1835,-4.4136,-3.4465,-2.5719,-1.2944,-3.0909,-2.0474,-1.3909,-0.7626,-2.9145,-2.1234,-1.5049,-0.7369,-2.2895,-1.664,-1.1857,-0.5628,-1.4077,-0.9265,-0.5432,-0.1908,-3.3317,-11.5134,-7.7332,-2.471,,-12.4399,
