,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
current-ratio,7.0082,4.7158,4.3553,3.9884,4.5844,5.542,5.4798,6.2444,4.8842,7.0545,8.5621,6.6424,6.669,3.2854,3.4524,2.9278,3.2696,3.869,4.3361,4.7001,4.3257,3.2561,4.6351,4.6773,4.1348,5.8231,4.5313,2.2768,2.3154,2.6997,3.9355,4.7378,5.5675,5.5554,7.9501,7.5175,6.5223,6.128,7.9285,7.788,5.4779,4.7894,5.0524,5.2156,6.6968,8.0438,3.4924,5.1715,5.8993,7.4994,0.6657,1.0201,,,
long-term-debt-capital,0.8675,0.7086,0.7284,0.7362,0.747,0.7631,0.7696,0.7813,0.8229,0.8404,0.8412,0.8405,0.8348,0.8649,0.8681,0.8347,0.7604,0.713,0.6837,0.6648,0.6797,0.6917,0.4968,0.4886,0.4912,0.4468,0.4505,0.7013,0.668,0.6271,0.6122,0.5675,0.5603,0.5254,0.5424,0.5118,0.7376,0.6773,0.7059,0.5901,0.9969,1.0436,0.8405,0.6816,0.7287,0.6237,0.1534,0.1478,0.1624,0.1631,,,,,
debt-equity-ratio,6.547,2.4315,2.6812,2.791,2.953,3.2215,3.3411,3.5717,4.6456,5.2659,5.2962,5.2695,5.0699,6.4861,6.7483,5.2124,3.2821,2.5731,2.2362,2.0239,2.1721,2.5868,1.0097,0.9766,0.9866,0.8165,0.9334,2.6747,2.2923,1.9163,1.5786,1.3119,1.2742,1.1071,1.1853,1.0483,2.8109,2.0985,2.4,1.4398,316.5082,-23.9352,5.2692,2.1409,2.6858,1.6572,0.326,0.2891,0.3047,0.2674,4.5423,1.6469,,,
gross-margin,64.0658,65.7224,66.871,66.8935,67.4952,66.0476,61.3499,60.9145,60.459,58.8934,58.3977,58.8337,58.6491,57.7774,54.2413,50.1104,44.22,50.3955,60.6318,135.2791,50.7328,49.6646,47.4371,48.1783,44.8341,44.6532,43.8577,43.7833,44.5463,43.7562,42.5012,42.5496,41.6222,45.1337,47.8909,49.7929,45.6845,43.1007,40.2989,36.2872,30.9528,21.6802,15.9997,10.1003,-0.8605,-31.9267,-49.8726,-53.153,-100.0264,-114.7883,-127.6893,-140.2194,-375.9782,-421.1363,-1140.09
operating-margin,8.851,4.2922,4.5533,9.8438,4.5441,3.4806,,-0.5884,1.681,-3.0595,-5.2186,-3.9923,2.5487,-1.4749,-9.48,-15.0547,-20.7233,-23.2185,-15.091,7.7033,-3.8354,-7.332,-2.727,0.3006,-28.3341,-9.6885,-10.8201,-10.5243,-15.4716,-20.6114,-22.8148,-22.2728,-21.9043,-46.3041,-25.7378,-35.0236,-32.5201,-43.1617,-51.5692,-59.1857,-71.9509,-112.506,-140.1235,-230.6467,-196.182,-298.49,-299.985,-368.1037,-384.6479,-386.3326,-537.749,-560.5727,-1036.196,-1023.523,-3110.811
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,0.5882,1.0636,2.9482,6.6025,1.2265,-1.0293,-5.0462,-5.3025,-1.7294,-6.9846,-9.7146,-8.6469,-3.1105,-4.9078,-13.0829,-18.8291,-25.1299,-28.4917,-21.6375,-12.6501,-14.4349,-40.3524,-8.7896,-3.8726,-34.8346,-17.3085,-18.366,-17.5088,-22.6275,-28.2296,-30.854,-30.111,-30.4122,-60.2993,-34.8503,-75.1143,-47.5349,-59.7768,-69.6448,-76.879,-90.3229,-138.4621,-157.5507,-246.1598,-214.3027,-324.0394,-297.9164,-359.2755,-359.7732,-394.5206,-575.6973,-663.0101,-1023.587,-990.1136,-3126.126
net-profit-margin,0.4435,0.7915,2.7439,5.9991,1.0981,-1.3608,-5.3157,-5.2557,-1.8288,-7.0766,-9.809,-8.8042,-3.2476,-4.8071,-15.3682,-32.6094,-26.511,-25.486,-24.5784,-35.6154,-14.4629,-40.4246,-8.8836,-3.6479,-34.8428,-17.5048,-18.5944,-17.6281,-22.6786,-28.3649,-30.9503,-30.3802,-30.4122,-25.097,-34.8503,-75.1143,-47.5349,-59.7768,-69.6448,-76.8789,-90.3229,-138.4621,-157.5507,-246.1597,-214.3027,-324.0394,-297.9164,-359.2755,-359.7732,-394.5206,-575.6973,-663.0103,-1023.587,-990.1136,-3226.126
asset-turnover,0.1515,0.1812,0.1675,0.1776,0.1705,0.1481,0.1489,0.1598,0.2434,0.2389,0.2286,0.2268,0.2093,0.332,0.3188,0.3046,0.2436,0.2016,0.1575,0.051,0.249,0.2214,0.2397,0.238,0.2111,0.21,0.2042,0.292,0.2692,0.2506,0.2214,0.2132,0.2067,0.1424,0.1897,0.1777,0.1699,0.1416,0.1308,0.1169,0.16,0.1472,0.104,0.1096,0.0747,0.048,0.0573,0.0334,0.028,0.0215,0.0421,0.0287,,,
inventory-turnover,0.7653,0.7134,0.716,0.7645,0.8459,1.0339,1.8137,1.5097,1.3736,1.3287,1.2325,1.2006,1.2011,1.5059,2.6499,3.477,3.0588,1.2817,0.9447,-0.4084,3.8235,4.1355,3.4791,3.7526,6.248,5.5626,3.5005,2.1867,2.0122,1.7475,1.8675,2.2903,1.9838,1.1075,1.2071,1.2197,1.071,1.2756,1.8821,1.2767,1.4099,1.0998,0.6915,0.6321,0.6192,0.7337,1.332,0.8359,1.6586,1.6709,1.0742,1.1628,,,
receiveable-turnover,2.4777,2.2497,2.0414,2.1508,1.8905,1.9528,2.2135,2.4455,2.5815,2.9072,2.5023,3.596,2.4611,2.2566,2.0065,1.9704,2.2449,1.9026,1.334,0.3802,1.5905,1.7229,1.8856,2.0726,1.7729,1.7858,1.8437,1.7369,1.8163,1.9943,1.8229,2.035,2.5823,1.582,1.8827,1.6488,1.6484,1.4516,1.3683,1.3508,1.1454,0.9425,0.9382,0.9117,0.8537,0.7599,0.9236,0.9118,1.134,1.2199,0.9481,1.1581,,,
