,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31
current-ratio,2.39,4.175,5.6758,1.406,1.4571,2.2611,2.946,2.8993,3.8578,4.7298,5.529,5.2992,5.1599,7.8213,11.5147,18.6303,,,,,
long-term-debt-capital,0.7369,0.4178,0.5199,0.7942,0.8567,0.4255,0.3203,0.285,0.3046,0.262,0.2306,0.3051,,,,,,,,,
debt-equity-ratio,,,,,,,,,,,,,,,,,,,,,
roe,-280.4745,-56.6744,-61.2442,-1023.224,-1115.027,-118.1486,-38.1813,-44.4482,-38.206,-31.1336,-27.305,-33.9752,-25.5282,-19.5167,-14.2258,-3.6904,,,,,
return-on-tangible-equity,-280.4742,-56.6744,-61.2442,-1023.222,-1115.032,-118.1486,-38.1813,-44.4482,-38.206,-31.1335,-27.305,-33.9752,-25.5282,-19.5167,-14.2258,-3.6904,,,,,
roa,-43.0597,-25.1237,-24.2372,-62.4023,-51.3584,-38.1163,-17.2,-20.8983,-19.7238,-18.145,-17.2264,-19.1794,-20.604,-17.0271,-12.9926,-3.4925,,,,,
roi,-73.7951,-32.9969,-29.4004,-210.5837,-159.7871,-67.8796,-25.9503,-31.7811,-26.5689,-22.9774,-21.0087,-23.6098,-25.5282,-19.5167,-14.2258,-3.6904,,,,,
book-value-per-share,0.1978,0.7073,0.5217,0.0312,0.0281,0.267,0.4926,0.6558,0.7115,0.9639,1.2436,1.126,1.4715,1.8228,2.1534,2.4254,,,,,
operating-cash-flow-per-share,-0.8363,-0.5379,-0.2874,-1.1179,-0.7696,-0.5563,-0.262,-1.1628,-0.8539,-0.582,-0.3397,-1.1113,-0.7344,-0.4837,-0.2062,-0.5149,-0.4671,-0.294,-0.1043,,
free-cash-flow-per-share,-0.8368,-0.5382,-0.2874,-1.1191,-0.7708,-0.5572,-0.2625,-1.1633,-0.8543,-0.5823,-0.3398,-1.1167,-0.7396,-0.4848,-0.2067,-0.5163,-0.4685,-0.295,-0.1052,,
