,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
current-ratio,1.1853,1.3933,1.9623,1.8116,2.5005,2.5939,2.8843,2.8499,3.3407,1.8929,2.0829,2.0082,2.9302,3.0066,3.189,3.0999,2.7407,4.1384,0.8708,,,,,
long-term-debt-capital,0.2098,0.2054,0.1961,0.1567,0.1043,0.1039,0.1034,0.104,0.1029,0.1191,0.1186,0.1165,,,,,,,,,,,,
debt-equity-ratio,0.2703,0.2626,0.2469,0.1858,0.1164,0.1159,0.1153,0.116,0.1148,0.1352,0.1346,0.1319,,,,,,,,,,,,
gross-margin,40.1466,43.5385,40.6132,41.5444,50.6712,52.1802,48.4841,42.3639,36.7253,36.4963,36.4371,31.9596,43.6888,42.0026,42.1424,46.2656,38.717,24.2654,,-112.1575,,,26.1755,
operating-margin,-9.1477,-13.145,-23.5877,-6.9145,-7.3559,-6.2135,-10.115,-16.0451,-12.9921,-17.8545,-20.1952,-38.4872,-26.3063,-22.3451,-354.0577,-30.8025,-42.6818,-110.8028,,-57.997,,,-57.9996,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-12.0772,-15.8899,-24.8513,-9.0775,-8.2829,-7.0271,-10.0649,-16.1955,-13.7547,-19.0509,-21.4085,-39.0099,-26.6251,-21.8868,-353.4935,-30.3118,-42.5481,3704.254,,22.571,,,-57.9099,
net-profit-margin,-11.5929,-16.4697,-23.6347,-8.6415,-8.2889,-6.8719,-9.7528,-11.5714,-11.6651,-15.7886,-16.9544,-19.7782,-18.6149,-14.8395,-248.2153,-10.8841,-29.6491,3456.04,,22.571,,,-57.9099,
asset-turnover,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,2.9402,2.6893,3.0134,2.4075,2.4969,2.0368,2.1125,2.3235,2.4541,2.3376,2.38,2.1659,2.7386,1.863,1.961,2.2599,1.323,0.4332,,,,,,
days-sales-in-receivables,30.6104,33.4661,29.8668,37.3826,36.0451,44.1873,42.6043,38.7344,36.6732,38.5012,37.8153,41.5533,32.864,48.309,45.8946,39.8257,68.0268,207.7501,,,,,,
roe,-2.2891,-2.7818,-4.2299,-1.4747,-1.1973,-0.9541,-1.3333,-1.3181,-1.2435,-2.2023,-2.5815,-2.762,-2.076,-1.5621,-22.4081,-0.8846,-1.8255,37.5763,,218.6293,,,,
return-on-tangible-equity,-72.9929,-66.4501,-111.6801,-20.349,-6.8727,-5.5952,-7.9551,-7.7977,-7.3781,-173.765,-150.611,-94.6321,-11.484,-8.391,-117.5296,-5.0866,-10.5816,207.706,-67.223,218.8406,,,,
roa,-1.5017,-1.9307,-2.9857,-1.0184,-0.9492,-0.759,-1.0767,-1.0506,-1.0107,-1.7304,-2.0052,-2.0997,-1.8531,-1.407,-20.294,-0.8141,-1.6179,34.2831,-14.8089,-12.1764,,,,
roi,-1.8088,-2.2104,-3.4005,-1.2436,-1.0725,-0.855,-1.1955,-1.181,-1.1155,-1.94,-2.2752,-2.4402,-2.076,-1.5621,-22.4081,-0.8846,-1.8255,37.5763,-65.7814,218.8406,,,,
book-value-per-share,13.3009,13.5677,13.9208,14.4406,13.2466,13.4201,13.5489,13.522,13.6561,13.0729,13.1922,13.4265,12.5854,12.7611,12.9083,15.836,15.8653,16.0833,17.003,-0.5115,,,,
operating-cash-flow-per-share,-0.6661,-0.4769,-0.3241,-0.267,0.0553,-0.2332,-0.3278,-0.4345,-0.4833,-0.6357,-0.6609,-0.7886,-0.3249,-0.5146,-0.4932,-0.4003,-0.2932,-0.1585,,-5.2377,,,,
free-cash-flow-per-share,-0.9808,-0.6924,-0.4433,-0.7784,-0.318,-0.4954,-0.4545,-0.8672,-0.7869,-0.8447,-0.7746,-1.1334,-0.5827,-0.685,-0.5726,-0.5415,-0.3874,-0.1862,,-10.0043,,,,
