,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31
current-ratio,3.7579,3.5698,4.3889,4.5511,9.0304,10.0321,6.5503,7.6909,3.1857,3.2627,7.2843,4.2595,5.6094,5.4839,6.2749,7.1412,8.1046,6.2183,7.9323,10.2816,17.0035,11.1974,12.8058,15.6833,24.5914,31.0892,11.3483,11.9138,13.5733,18.0682,12.6279,12.8697,,,,,
long-term-debt-capital,1.1448,1.0518,0.8894,0.7971,0.711,0.6477,0.48,0.4344,0.4853,0.4504,0.6177,1.0131,0.8312,0.7131,0.5463,0.4821,0.4096,0.5901,0.5323,0.4566,0.4254,,,,,,,,,,,,,,,,
debt-equity-ratio,-7.9578,-20.4434,8.1001,3.929,2.46,1.8388,0.9232,0.7682,0.9428,0.8196,1.6155,-77.3599,4.9233,2.486,1.2043,0.9309,0.6939,1.4398,1.1382,0.8403,0.7404,,,,,,,,,,,,,,,,
gross-margin,75.1456,76.7663,74.2587,77.0683,75.669,78.1159,76.3645,78.2746,79.781,78.7825,78.2115,,,,,,,,,,,,100.0,,,,,,,,,,,,,,
operating-margin,-283.0333,-283.398,-257.2589,-319.4855,-391.8003,-332.5883,-370.739,-370.9153,-360.1512,-394.9316,-797.1754,,,,,,,,,,,,-209.0496,,,,,,,,,,,,,,
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-251.1103,-365.7074,-261.4319,-324.1179,-394.828,-426.0765,-420.8498,-310.2288,-368.3089,-1208.393,-831.0433,,,,,,,,,,,,-209.8275,,,,,,,,,,,,,,
net-profit-margin,-250.1795,-365.1737,-260.9487,-327.0437,-394.8851,-425.9377,-419.4461,-304.4776,-360.9663,-1199.631,-829.8652,,,,,,,,,,,,-225.4532,,,,,,,,,,,,,,
asset-turnover,0.0525,0.0481,0.0422,0.0351,0.0255,0.0245,0.0273,0.0232,0.0209,0.0172,0.0131,,,,,,,,,,,,0.0216,,,,,,,,,,,,,,
inventory-turnover,0.3759,0.2883,0.3412,0.2571,0.1268,0.0825,0.0633,0.1346,0.6357,0.4789,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,
receiveable-turnover,2.2361,2.1449,2.0575,2.3548,1.57,1.9308,1.4319,2.7568,0.6722,0.5592,2.9626,,,,,,,,,,,,,,,,,,,,,,,,,,
days-sales-in-receivables,40.2479,41.9598,43.7418,38.2198,57.3252,46.612,62.8537,32.6461,133.8808,160.935,30.379,,,,,,,,,,,,,,,,,,,,,,,,,,
roe,107.5206,401.6657,-115.4573,-67.7693,-38.4583,-32.3964,-25.3706,-14.1126,-20.2762,-51.015,-33.5597,1946.243,-115.1777,-114.6076,-35.8459,-39.7609,-23.8088,-35.8239,-24.9987,-16.5567,-10.2094,-7.8722,-6.4978,-5.8654,-5.8808,-5.3281,-13.0854,-15.775,-11.9492,-9.2335,-16.6683,-11.3117,,,,,
return-on-tangible-equity,43.8168,76.0276,159.9412,-315.4649,-76.2315,-51.7874,-35.3015,-18.3424,-28.2153,-67.0767,-61.2067,86.3874,1770.752,-247.6048,-127.9162,-85.4945,-62.8312,125.2601,-991.2723,-104.2373,-40.0081,-27.1229,-19.653,-16.355,-5.8808,-5.3281,-13.0854,-15.775,-11.9492,-9.2335,-16.6683,-11.3117,,,,,
roa,-13.1226,-17.5556,-11.0144,-11.4944,-10.0805,-10.4564,-11.4437,-7.0567,-7.5325,-20.6362,-10.895,-19.4011,-16.4804,-27.6321,-12.9388,-16.7569,-11.0627,-10.7889,-8.9603,-7.063,-4.7674,-5.8048,-4.8806,-4.4953,-5.6404,-5.1545,-11.9151,-14.4246,-11.0502,-8.7032,-15.2955,-10.3928,,,,,
roi,-15.5673,-20.8128,-12.7672,-13.7492,-11.115,-11.4122,-13.1916,-7.9815,-10.4364,-28.0369,-12.8309,-25.4883,-19.445,-32.8765,-16.2619,-20.5915,-14.0556,-14.6828,-11.6914,-8.9966,-5.866,-7.8722,-6.4978,-5.8654,-5.8808,-5.3281,-13.0854,-15.775,-11.9492,-9.2335,-16.6683,-11.3117,,,,,
book-value-per-share,-1.5964,-0.5639,1.4124,2.7741,4.4331,5.934,6.0405,7.2706,6.1056,7.0387,3.8912,-0.0938,1.4783,2.9306,6.0646,7.8378,10.8232,5.8475,7.4153,9.7604,11.4324,13.0022,13.9444,14.6882,11.4524,12.0319,4.5668,5.0939,5.8487,6.4872,5.0933,5.8899,,,,,
operating-cash-flow-per-share,-4.6332,-3.7054,-1.8614,-7.0295,-5.3783,-4.0374,-1.9888,-5.5456,-3.993,-3.3102,-1.8265,-6.9307,-5.5012,-3.9509,-2.183,-7.0245,-4.7158,-3.0988,-1.4232,-3.454,-2.4498,-1.4431,-0.5776,-2.5011,-1.5934,-1.2085,-0.5563,-2.6243,-1.8046,-1.2603,-0.8417,-3.4632,-21.0745,-13.8661,-6.5303,,
