,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
current-ratio,7.1177,9.0395,13.303,16.6099,17.8235,,,,,
long-term-debt-capital,0.0207,0.0179,0.0167,,,,,,,
debt-equity-ratio,,,,,,,,,,
roe,-27.836,-16.6411,-12.6951,-10.008,-7.3703,,,,,
return-on-tangible-equity,-27.836,-16.6411,-12.6951,-10.008,-7.3703,,,,,
roa,-23.072,-14.3097,-11.3817,-9.2573,-6.8668,,,,,
roi,-27.2584,-16.3426,-12.483,-10.008,-7.3703,,,,,
book-value-per-share,2.4842,3.1696,3.6706,4.1097,4.5338,,,,,
operating-cash-flow-per-share,-1.4232,-0.8049,-0.3943,-1.433,-1.0117,-0.6902,-0.247,,-0.5328,
free-cash-flow-per-share,-1.447,-0.8108,-0.398,-1.4411,-1.0182,-0.6949,-0.247,,-0.5328,
