,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
current-ratio,8.3238,13.9588,15.839,16.8095,15.3878,17.8859,24.4167,17.117,21.3408,17.7871,17.5266,14.5553,2.9662,3.0913,,,,
long-term-debt-capital,0.0586,0.0919,0.0771,,,,,,,,,,,,,,,
debt-equity-ratio,0.0703,0.1144,0.0964,,,,,,,,,,,,,,,
gross-margin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,
operating-margin,65.6652,-17290.25,-14763.11,-39328.7,-8780.106,-3427.022,-1987.997,3.007,-987.4319,-594.8073,-767.4435,-1079.778,-943.1891,-2082.767,-2447.899,,,
ebit-margin,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,65.4453,-16859.75,-14732.62,-41179.12,-8982.948,-3518.75,-2077.614,1.7324,-1005.446,-613.4003,-784.1656,746.5017,-948.0955,-2158.994,-1757.563,,,
net-profit-margin,65.3161,-16886.48,-14758.54,-41382.61,-9007.281,-3527.573,-2083.947,0.4331,-1035.065,-622.976,-794.4876,729.4795,-947.7083,-2158.113,-1772.899,,,
asset-turnover,,,,,,,,,,,,,,,,,,
receiveable-turnover,5434.051,0.9907,0.9909,1.3068,1.0199,1.1525,1.0778,12.3096,0.7434,0.5257,0.4766,0.7425,0.7404,0.5871,,,,
days-sales-in-receivables,0.0166,90.8491,90.8232,68.8696,88.2416,78.0882,83.5052,7.3114,121.0683,171.206,188.8568,121.2159,121.5494,153.283,,,,
roe,23.3871,-14.6047,-12.7453,-12.1343,-12.1518,-14.4746,-9.7474,0.0745,-13.806,-11.2814,-9.9802,7.3431,23.4984,34.1695,,,,
return-on-tangible-equity,23.3969,-14.6151,-12.7546,-12.1432,-12.1606,-14.4919,-9.7585,0.0747,-13.8337,-11.3027,-9.9981,7.3557,-11.9834,-12.7215,,,,
roa,19.2097,-10.8649,-9.723,-9.7318,-9.7727,-10.8685,-7.5577,0.0516,-8.7514,-7.317,-6.6621,4.9565,-5.2732,-5.8568,,,,
roi,22.0172,-13.2628,-11.7627,-12.1343,-12.1518,-14.4746,-9.7474,0.0745,-13.806,-11.2814,-9.9802,7.3431,-11.9431,-12.682,,,,
book-value-per-share,10.7246,6.8727,7.2158,7.5636,8.0947,5.6331,6.2196,4.6273,4.4317,4.9403,5.3449,5.8622,23.1788,,,,,
operating-cash-flow-per-share,0.9254,-1.5063,-0.8396,-2.0065,-1.432,-1.0227,-0.4945,-1.7498,-1.3782,-0.9871,-0.5893,-4.5123,-6.7822,-4.3345,-1.8115,,-1.7323,
free-cash-flow-per-share,0.8259,-1.5678,-0.8607,-2.0643,-1.4694,-1.0457,-0.5066,-1.9449,-1.568,-1.1028,-0.672,-4.7584,-7.309,-4.5692,-1.8535,,-1.85,
