,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
current-ratio,2.6925,3.3922,3.9252,3.373,3.7458,2.0423,2.7932,3.4542,2.9707,3.5947,2.0005,2.2122,3.2622,2.95,4.0331,5.2844,5.4125,7.4429,8.1494,6.3538,7.3336,8.0228,10.15,10.853,14.0179,5.8593,6.6237,6.3224,7.8319,10.0395,5.0325,5.3139,6.0919,6.9051,4.3047,6.8179,6.87,8.6061,,,,,
long-term-debt-capital,0.8649,0.787,0.6901,0.5179,0.4079,0.1617,0.192,0.2202,0.1095,0.1376,0.3119,0.2375,0.2309,0.3704,0.198,0.1691,0.1529,0.1334,0.1172,,,,,,0.0004,0.0012,0.0011,0.0011,0.0011,0.0023,0.0156,0.0187,0.0227,0.0252,0.1183,,,,,,,,
debt-equity-ratio,6.6128,3.8174,2.3003,1.0744,0.6889,0.5758,0.4523,0.3939,0.3654,0.3661,0.7373,0.5194,0.4137,0.6911,0.247,0.1958,0.1806,0.1539,0.1327,,,,,0.0003,0.0014,0.0065,0.0077,0.0124,0.0153,0.0178,0.0552,0.0517,0.0511,0.0477,0.1342,,,,,,,,
gross-margin,33.703,35.7734,27.228,27.2061,35.6442,29.5429,20.1744,29.5531,36.2234,39.5178,49.3259,58.0585,59.6597,62.2762,60.4573,64.4471,60.4344,57.0233,60.5125,61.0523,58.5873,52.7079,54.619,50.4418,10.7613,38.6194,54.6527,49.5764,42.4087,40.0609,21.862,26.057,-35.6383,-43.6182,-98.0211,100.0,-84.2267,-32.2581,100.0,100.0,100.0,100.0,100.0
operating-margin,-49.1825,-64.8199,-50.6664,-54.7631,-66.9073,-105.7627,-52.2645,-87.149,-126.9585,-139.7119,-108.1452,-81.0078,-107.528,-100.6074,-114.859,-64.1665,-131.2205,-156.0293,-99.2085,-88.1031,-163.0476,-171.8535,-111.9677,-159.2156,-265.0636,-155.0719,-38.1137,-48.6656,-118.5883,-154.5127,-253.9139,-267.2567,-463.9058,-634.2952,-877.1768,-1327.573,-754.5176,-787.8647,100.0,100.0,100.0,100.0,100.0
ebit-margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pre-tax-profit-margin,-55.9709,-72.1835,-56.0256,-59.2579,-69.5663,-110.3474,-55.2337,-90.5255,-132.8708,-144.9308,-111.0172,-84.7968,-111.3844,-103.1969,-116.8022,-66.4872,-134.4429,-158.9459,-97.4275,-87.4618,-163.0794,-170.7246,-110.9187,-164.6102,-232.7798,-153.7488,-37.5462,-48.5914,-118.9307,-154.7619,-255.9518,-265.9784,-479.7873,-617.98,-874.8021,100.0,-751.9142,-788.0184,100.0,100.0,100.0,100.0,100.0
net-profit-margin,-55.8132,-72.4284,-56.0999,-59.6708,-69.598,-110.5749,-55.3306,-90.7252,-132.7932,-145.5538,-111.0251,-85.173,-111.5139,-103.157,-117.1186,-66.6009,-134.4901,-158.9328,-97.6452,-87.645,-153.3016,-171.0145,-110.9946,-164.8117,-233.2758,-153.768,-37.6092,-49.7035,-118.9498,-155.0388,-257.434,-267.2075,-479.7112,-619.3118,-876.2533,-444.7268,-752.9862,-789.0937,-1215.038,-1839.216,-2216.863,-1713.655,-2347.872
asset-turnover,0.2459,0.2108,0.2228,0.2084,0.1735,0.1526,0.1858,0.131,0.0899,0.0847,0.1956,0.1853,0.1261,0.1998,0.1802,0.1866,0.1099,0.0914,0.1094,0.1068,0.0645,0.0615,0.0693,0.053,0.0361,0.0917,0.1739,0.1388,0.0766,0.0491,0.0668,0.0533,0.0301,0.0178,0.0345,0.0316,0.023,0.0196,,,,,
inventory-turnover,1.1033,1.1906,1.6686,1.377,0.9032,1.1925,1.5767,1.0309,1.0409,1.0521,0.7043,0.9412,1.0346,1.8057,1.7923,1.535,1.2351,1.6714,1.858,1.7908,1.703,2.6933,2.0311,1.5209,2.1059,0.9346,1.5855,2.3889,1.4205,1.1522,0.8056,0.7518,0.9107,1.0783,1.7253,2.1337,1.6486,2.6061,,,,,
